class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
448;birdhouse;63;1.0;0.7777777777777778;1.0;0.7777777777777778;0.8750000000000001;49;0;14
560;football helmet;21;1.0;0.9047619047619048;0.7916666666666666;0.9047619047619048;0.8444444444444444;19;5;2
907;wine bottle;21;1.0;0.7142857142857143;1.0;0.7142857142857143;0.8333333333333333;15;0;6
518;crash helmet;42;1.0;0.6666666666666666;1.0;0.6666666666666666;0.8;28;0;14
703;park bench;63;0.6666666666666666;0.6349206349206349;1.0;0.6349206349206349;0.7766990291262136;40;0;23
827;stove;63;1.0;0.6507936507936508;0.9318181818181818;0.6507936507936508;0.7663551401869159;41;3;22
668;mosque;21;1.0;0.6190476190476191;1.0;0.6190476190476191;0.7647058823529412;13;0;8
519;crate;21;1.0;0.6666666666666666;0.875;0.6666666666666666;0.7567567567567567;14;2;7
861;toilet seat;21;1.0;0.9523809523809523;0.625;0.9523809523809523;0.7547169811320755;20;12;1
846;table lamp;63;1.0;0.6825396825396826;0.7962962962962963;0.6825396825396826;0.735042735042735;43;11;20
412;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;63;1.0;0.7619047619047619;0.7058823529411765;0.7619047619047619;0.7328244274809159;48;20;15
881;upright, upright piano;42;1.0;0.5714285714285714;1.0;0.5714285714285714;0.7272727272727273;24;0;18
453;bookcase;63;0.6666666666666666;0.5079365079365079;1.0;0.5079365079365079;0.6736842105263158;32;0;31
897;washer, automatic washer, washing machine;63;1.0;0.7301587301587301;0.6216216216216216;0.7301587301587301;0.6715328467153284;46;28;17
579;grand piano, grand;21;1.0;0.9523809523809523;0.5;0.9523809523809523;0.6557377049180327;20;20;1
404;airliner;42;0.5;0.47619047619047616;1.0;0.47619047619047616;0.6451612903225806;20;0;22
553;file, file cabinet, filing cabinet;63;1.0;0.5555555555555556;0.7608695652173914;0.5555555555555556;0.6422018348623854;35;11;28
892;wall clock;42;0.5;0.47619047619047616;0.9523809523809523;0.47619047619047616;0.634920634920635;20;1;22
761;remote control, remote;63;0.6666666666666666;0.4444444444444444;0.875;0.4444444444444444;0.5894736842105263;28;4;35
742;printer;63;1.0;0.42857142857142855;0.9;0.42857142857142855;0.5806451612903225;27;3;36
515;cowboy hat, ten-gallon hat;63;1.0;0.3968253968253968;1.0;0.3968253968253968;0.5681818181818182;25;0;38
651;microwave, microwave oven;63;0.6666666666666666;0.3968253968253968;1.0;0.3968253968253968;0.5681818181818182;25;0;38
898;water bottle;21;1.0;0.9523809523809523;0.37037037037037035;0.9523809523809523;0.5333333333333333;20;34;1
620;laptop, laptop computer;63;0.6666666666666666;0.6825396825396826;0.43;0.6825396825396826;0.5276073619631901;43;57;20
657;missile;42;1.0;0.6666666666666666;0.4307692307692308;0.6666666666666666;0.5233644859813084;28;37;14
632;loudspeaker, speaker, speaker unit, loudspeaker system, speaker system;63;0.6666666666666666;0.3968253968253968;0.6944444444444444;0.3968253968253968;0.5050505050505051;25;11;38
817;sports car, sport car;21;1.0;0.5714285714285714;0.41379310344827586;0.5714285714285714;0.48000000000000004;12;17;9
790;shopping basket;42;0.5;0.40476190476190477;0.53125;0.40476190476190477;0.4594594594594595;17;15;25
721;pillow;63;0.3333333333333333;0.2698412698412698;1.0;0.2698412698412698;0.425;17;0;46
435;bathtub, bathing tub, bath, tub;63;0.3333333333333333;0.2698412698412698;1.0;0.2698412698412698;0.425;17;0;46
564;four-poster;42;0.5;0.2619047619047619;1.0;0.2619047619047619;0.41509433962264153;11;0;31
402;acoustic guitar;21;0.0;0.23809523809523808;1.0;0.23809523809523808;0.3846153846153846;5;0;16
409;analog clock;21;1.0;0.5714285714285714;0.2857142857142857;0.5714285714285714;0.38095238095238093;12;30;9
759;reflex camera;63;0.3333333333333333;0.19047619047619047;1.0;0.19047619047619047;0.32;12;0;51
650;microphone, mike;63;0.3333333333333333;0.2222222222222222;0.42424242424242425;0.2222222222222222;0.2916666666666667;14;19;49
414;backpack, back pack, knapsack, packsack, rucksack, haversack;42;0.0;0.16666666666666666;1.0;0.16666666666666666;0.2857142857142857;7;0;35
659;mixing bowl;21;1.0;0.47619047619047616;0.2;0.47619047619047616;0.2816901408450704;10;40;11
831;studio couch, day bed;21;1.0;0.6190476190476191;0.16455696202531644;0.6190476190476191;0.26;13;66;8
737;pop bottle, soda bottle;63;0.0;0.1746031746031746;0.5;0.1746031746031746;0.2588235294117647;11;11;52
