value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
<unmapped>;231;0.0;0.0;0;
bottle;126;0.36507936507936506;0.626984126984127;126;0.5476190476190477
bag;63;0.1111111111111111;0.3492063492063492;63;0.15873015873015872
airplane;63;0.3492063492063492;0.6666666666666666;63;0.3492063492063492
basket;63;0.49206349206349204;0.873015873015873;63;0.5079365079365079
bathtub;63;0.2698412698412698;0.9365079365079365;63;0.2698412698412698
birdhouse;63;0.7777777777777778;0.8412698412698413;63;0.7777777777777778
bench;63;0.6349206349206349;0.746031746031746;63;0.6349206349206349
bowl;63;0.15873015873015872;0.7619047619047619;63;0.7777777777777778
bookshelf;63;0.5079365079365079;0.7142857142857143;63;0.5079365079365079
bus;63;0.12698412698412698;0.23809523809523808;63;0.14285714285714285
cabinet;63;0.0;0.06349206349206349;63;0.015873015873015872
chair;63;0.38095238095238093;0.6349206349206349;63;0.9047619047619048
camera;63;0.19047619047619047;0.31746031746031744;63;0.20634920634920634
cap;63;0.3968253968253968;0.6984126984126984;63;0.3968253968253968
car;63;0.19047619047619047;0.47619047619047616;63;0.7142857142857143
dishwasher;63;0.07936507936507936;0.7142857142857143;63;0.07936507936507936
clock;63;0.5079365079365079;0.8253968253968254;63;0.7301587301587301
display;63;0.0;0.6825396825396826;63;0.1746031746031746
file cabinet;63;0.5555555555555556;0.6984126984126984;63;0.5555555555555556
train;63;0.0;0.07936507936507936;63;0.0
flowerpot;63;0.0;0.06349206349206349;63;0.0
jar;63;0.14285714285714285;0.7301587301587301;63;0.14285714285714285
helmet;63;0.746031746031746;0.8571428571428571;63;0.746031746031746
keyboard;63;0.12698412698412698;0.3968253968253968;63;0.12698412698412698
knife;63;0.015873015873015872;0.09523809523809523;63;0.031746031746031744
laptop;63;0.6825396825396826;0.9682539682539683;63;0.7619047619047619
lamp;63;0.6825396825396826;0.8888888888888888;63;0.6825396825396826
microphone;63;0.2222222222222222;0.4126984126984127;63;0.2222222222222222
microwaves;63;0.3968253968253968;0.5396825396825397;63;0.3968253968253968
loudspeaker;63;0.3968253968253968;0.49206349206349204;63;0.3968253968253968
mailbox;63;0.1111111111111111;0.19047619047619047;63;0.1111111111111111
motorbike;63;0.031746031746031744;0.9047619047619048;63;0.8571428571428571
mug;63;0.06349206349206349;0.5873015873015873;63;0.06349206349206349
pillow;63;0.2698412698412698;0.42857142857142855;63;0.2698412698412698
piano;63;0.6984126984126984;0.9365079365079365;63;0.9682539682539683
washer;63;0.7301587301587301;0.7619047619047619;63;0.7301587301587301
table;63;0.12698412698412698;0.30158730158730157;63;0.4444444444444444
pistol;63;0.07936507936507936;0.09523809523809523;63;0.07936507936507936
printer;63;0.42857142857142855;0.6825396825396826;63;0.42857142857142855
remote;63;0.4444444444444444;0.47619047619047616;63;0.4444444444444444
rifle;63;0.06349206349206349;0.12698412698412698;63;0.09523809523809523
rocket;63;0.4444444444444444;0.5396825396825397;63;0.5079365079365079
stove;63;0.6507936507936508;0.7142857142857143;63;0.6507936507936508
watercraft;63;0.031746031746031744;0.09523809523809523;63;0.2698412698412698
trash bin;63;0.7619047619047619;0.9047619047619048;63;0.7619047619047619
telephone;63;0.031746031746031744;0.30158730158730157;63;0.06349206349206349
tower;63;0.20634920634920634;0.31746031746031744;63;0.23809523809523808
bed;42;0.2619047619047619;0.3333333333333333;42;0.5238095238095238
earphone;21;0.047619047619047616;0.6190476190476191;21;0.047619047619047616
guitar;21;0.23809523809523808;0.9047619047619048;21;0.8571428571428571
sofa;21;0.6190476190476191;0.7142857142857143;21;0.6190476190476191
