superclass;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
piano;63;1.0;0.9841269841269841;0.9393939393939394;0.9841269841269841;0.9612403100775193;62;4;1
guitar;21;1.0;0.9047619047619048;1.0;0.9047619047619048;0.9500000000000001;19;0;2
birdhouse;63;1.0;0.9047619047619048;0.9827586206896551;0.9047619047619048;0.9421487603305785;57;1;6
bench;63;1.0;0.9047619047619048;0.9661016949152542;0.9047619047619048;0.9344262295081968;57;2;6
helmet;63;1.0;0.8571428571428571;0.8852459016393442;0.8571428571428571;0.8709677419354839;54;7;9
stove;63;1.0;0.7936507936507936;0.8928571428571429;0.7936507936507936;0.8403361344537815;50;6;13
lamp;63;0.6666666666666666;0.746031746031746;0.9591836734693877;0.746031746031746;0.8392857142857143;47;2;16
chair;63;1.0;0.9682539682539683;0.7349397590361446;0.9682539682539683;0.8356164383561644;61;22;2
motorbike;63;1.0;0.746031746031746;0.94;0.746031746031746;0.831858407079646;47;3;16
washer;63;1.0;0.6825396825396826;0.9772727272727273;0.6825396825396826;0.8037383177570094;43;1;20
trash bin;63;1.0;0.873015873015873;0.7333333333333333;0.873015873015873;0.7971014492753622;55;20;8
basket;63;1.0;0.8888888888888888;0.6829268292682927;0.8888888888888888;0.7724137931034482;56;26;7
printer;63;1.0;0.6666666666666666;0.8936170212765957;0.6666666666666666;0.7636363636363636;42;5;21
sofa;21;1.0;0.7619047619047619;0.7619047619047619;0.7619047619047619;0.7619047619047619;16;5;5
bowl;63;1.0;0.6031746031746031;1.0;0.6031746031746031;0.7524752475247524;38;0;25
keyboard;63;0.6666666666666666;0.6031746031746031;1.0;0.6031746031746031;0.7524752475247524;38;0;25
microwaves;63;1.0;0.6190476190476191;0.9285714285714286;0.6190476190476191;0.742857142857143;39;3;24
pillow;63;0.6666666666666666;0.5714285714285714;1.0;0.5714285714285714;0.7272727272727273;36;0;27
cap;63;0.6666666666666666;0.6190476190476191;0.8666666666666667;0.6190476190476191;0.7222222222222222;39;6;24
bag;63;0.6666666666666666;0.5873015873015873;0.925;0.5873015873015873;0.7184466019417477;37;3;26
bottle;126;0.6666666666666666;0.5873015873015873;0.8409090909090909;0.5873015873015873;0.6915887850467289;74;14;52
bookshelf;63;0.3333333333333333;0.6031746031746031;0.8085106382978723;0.6031746031746031;0.6909090909090909;38;9;25
bed;42;1.0;0.5476190476190477;0.8846153846153846;0.5476190476190477;0.6764705882352942;23;3;19
laptop;63;0.6666666666666666;0.6349206349206349;0.7017543859649122;0.6349206349206349;0.6666666666666666;40;17;23
mailbox;63;1.0;0.6031746031746031;0.7307692307692307;0.6031746031746031;0.6608695652173913;38;14;25
file cabinet;63;0.6666666666666666;0.5079365079365079;0.8888888888888888;0.5079365079365079;0.6464646464646465;32;4;31
car;63;0.6666666666666666;0.6984126984126984;0.5789473684210527;0.6984126984126984;0.6330935251798561;44;32;19
dishwasher;63;1.0;0.5396825396825397;0.7391304347826086;0.5396825396825397;0.6238532110091742;34;12;29
remote;63;0.6666666666666666;0.5079365079365079;0.7441860465116279;0.5079365079365079;0.6037735849056604;32;11;31
table;63;0.6666666666666666;0.47619047619047616;0.7317073170731707;0.47619047619047616;0.576923076923077;30;11;33
microphone;63;0.3333333333333333;0.3968253968253968;1.0;0.3968253968253968;0.5681818181818182;25;0;38
watercraft;63;0.3333333333333333;0.4444444444444444;0.7777777777777778;0.4444444444444444;0.5656565656565655;28;8;35
airplane;63;0.3333333333333333;0.42857142857142855;0.7941176470588235;0.42857142857142855;0.5567010309278351;27;7;36
bathtub;63;0.0;0.4126984126984127;0.7878787878787878;0.4126984126984127;0.5416666666666666;26;7;37
clock;63;0.6666666666666666;0.6031746031746031;0.4810126582278481;0.6031746031746031;0.5352112676056338;38;41;25
loudspeaker;63;0.6666666666666666;0.5079365079365079;0.49230769230769234;0.5079365079365079;0.5;32;33;31
jar;63;0.3333333333333333;0.3333333333333333;0.9130434782608695;0.3333333333333333;0.48837209302325574;21;2;42
tower;63;0.3333333333333333;0.31746031746031744;1.0;0.31746031746031744;0.4819277108433735;20;0;43
rocket;63;0.6666666666666666;0.6666666666666666;0.3620689655172414;0.6666666666666666;0.4692737430167597;42;74;21
telephone;63;0.0;0.2857142857142857;0.9473684210526315;0.2857142857142857;0.43902439024390244;18;1;45
camera;63;0.3333333333333333;0.2698412698412698;1.0;0.2698412698412698;0.425;17;0;46
display;63;0.3333333333333333;0.23809523809523808;0.9375;0.23809523809523808;0.37974683544303794;15;1;48
rifle;63;0.6666666666666666;0.3333333333333333;0.38181818181818183;0.3333333333333333;0.3559322033898305;21;34;42
train;63;0.0;0.15873015873015872;1.0;0.15873015873015872;0.27397260273972607;10;0;53
knife;63;0.0;0.12698412698412698;1.0;0.12698412698412698;0.22535211267605632;8;0;55
pistol;63;0.0;0.1111111111111111;1.0;0.1111111111111111;0.19999999999999998;7;0;56
bus;63;0.0;0.09523809523809523;1.0;0.09523809523809523;0.17391304347826084;6;0;57
mug;63;0.0;0.09523809523809523;1.0;0.09523809523809523;0.17391304347826084;6;0;57
earphone;21;0.0;0.047619047619047616;0.3333333333333333;0.047619047619047616;0.08333333333333333;1;2;20
flowerpot;63;0.0;0.015873015873015872;1.0;0.015873015873015872;0.03125;1;0;62
cabinet;63;0.0;0.015873015873015872;0.09090909090909091;0.015873015873015872;0.027027027027027025;1;10;62
