superclass;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
piano;63;1.0;0.9523809523809523;0.967741935483871;0.9523809523809523;0.96;60;2;3
birdhouse;63;1.0;0.873015873015873;1.0;0.873015873015873;0.9322033898305084;55;0;8
guitar;21;1.0;0.9047619047619048;0.95;0.9047619047619048;0.9268292682926829;19;1;2
bench;63;1.0;0.7301587301587301;0.9583333333333334;0.7301587301587301;0.8288288288288289;46;2;17
motorbike;63;1.0;0.6984126984126984;1.0;0.6984126984126984;0.822429906542056;44;0;19
helmet;63;1.0;0.7936507936507936;0.847457627118644;0.7936507936507936;0.819672131147541;50;9;13
stove;63;1.0;0.6984126984126984;0.9565217391304348;0.6984126984126984;0.8073394495412843;44;2;19
trash bin;63;1.0;0.8095238095238095;0.7611940298507462;0.8095238095238095;0.7846153846153846;51;16;12
car;63;1.0;0.8571428571428571;0.7105263157894737;0.8571428571428571;0.776978417266187;54;22;9
lamp;63;1.0;0.746031746031746;0.7966101694915254;0.746031746031746;0.7704918032786885;47;12;16
chair;63;1.0;0.8412698412698413;0.7066666666666667;0.8412698412698413;0.7681159420289856;53;22;10
bed;42;0.5;0.6428571428571429;0.9;0.6428571428571429;0.75;27;3;15
microwaves;63;1.0;0.5873015873015873;0.9736842105263158;0.5873015873015873;0.7326732673267327;37;1;26
airplane;63;0.6666666666666666;0.6190476190476191;0.8666666666666667;0.6190476190476191;0.7222222222222222;39;6;24
bottle;126;0.6666666666666666;0.6428571428571429;0.7941176470588235;0.6428571428571429;0.7105263157894737;81;21;45
bookshelf;63;0.6666666666666666;0.5555555555555556;0.9722222222222222;0.5555555555555556;0.7070707070707072;35;1;28
keyboard;63;0.6666666666666666;0.5396825396825397;1.0;0.5396825396825397;0.7010309278350516;34;0;29
remote;63;0.6666666666666666;0.5396825396825397;0.9714285714285714;0.5396825396825397;0.6938775510204082;34;1;29
printer;63;1.0;0.5555555555555556;0.9210526315789473;0.5555555555555556;0.693069306930693;35;3;28
bowl;63;0.6666666666666666;0.5079365079365079;1.0;0.5079365079365079;0.6736842105263158;32;0;31
basket;63;0.6666666666666666;0.6190476190476191;0.6964285714285714;0.6190476190476191;0.6554621848739496;39;17;24
table;63;0.6666666666666666;0.5238095238095238;0.825;0.5238095238095238;0.6407766990291262;33;7;30
file cabinet;63;0.6666666666666666;0.5079365079365079;0.8648648648648649;0.5079365079365079;0.64;32;5;31
cap;63;0.6666666666666666;0.4603174603174603;0.9666666666666667;0.4603174603174603;0.6236559139784946;29;1;34
watercraft;63;1.0;0.5873015873015873;0.6271186440677966;0.5873015873015873;0.6065573770491803;37;22;26
clock;63;1.0;0.6825396825396826;0.5;0.6825396825396826;0.5771812080536913;43;43;20
laptop;63;1.0;0.873015873015873;0.4166666666666667;0.873015873015873;0.5641025641025641;55;77;8
microphone;63;0.6666666666666666;0.42857142857142855;0.8181818181818182;0.42857142857142855;0.5625;27;6;36
sofa;21;1.0;0.8095238095238095;0.425;0.8095238095238095;0.5573770491803278;17;23;4
washer;63;1.0;0.6825396825396826;0.46236559139784944;0.6825396825396826;0.5512820512820512;43;50;20
loudspeaker;63;0.6666666666666666;0.4603174603174603;0.6590909090909091;0.4603174603174603;0.5420560747663551;29;15;34
jar;63;0.3333333333333333;0.4444444444444444;0.6363636363636364;0.4444444444444444;0.5233644859813084;28;16;35
bag;63;0.3333333333333333;0.3492063492063492;0.88;0.3492063492063492;0.5;22;3;41
bathtub;63;0.0;0.38095238095238093;0.7058823529411765;0.38095238095238093;0.4948453608247422;24;10;39
rocket;63;1.0;0.7301587301587301;0.368;0.7301587301587301;0.4893617021276595;46;79;17
mailbox;63;0.3333333333333333;0.3492063492063492;0.7857142857142857;0.3492063492063492;0.48351648351648346;22;6;41
camera;63;0.3333333333333333;0.2857142857142857;1.0;0.2857142857142857;0.4444444444444445;18;0;45
tower;63;0.3333333333333333;0.25396825396825395;0.9411764705882353;0.25396825396825395;0.39999999999999997;16;1;47
pillow;63;0.3333333333333333;0.2222222222222222;1.0;0.2222222222222222;0.3636363636363636;14;0;49
telephone;63;0.3333333333333333;0.2222222222222222;0.8235294117647058;0.2222222222222222;0.35000000000000003;14;3;49
dishwasher;63;0.6666666666666666;0.2222222222222222;0.6666666666666666;0.2222222222222222;0.3333333333333333;14;7;49
display;63;0.3333333333333333;0.25396825396825395;0.32653061224489793;0.25396825396825395;0.2857142857142857;16;33;47
rifle;63;0.3333333333333333;0.23809523809523808;0.3409090909090909;0.23809523809523808;0.2803738317757009;15;29;48
train;63;0.0;0.12698412698412698;1.0;0.12698412698412698;0.22535211267605632;8;0;55
knife;63;0.0;0.1111111111111111;0.7777777777777778;0.1111111111111111;0.19444444444444445;7;2;56
pistol;63;0.0;0.09523809523809523;1.0;0.09523809523809523;0.17391304347826084;6;0;57
cabinet;63;0.3333333333333333;0.06349206349206349;0.26666666666666666;0.06349206349206349;0.10256410256410255;4;11;59
bus;63;0.0;0.031746031746031744;1.0;0.031746031746031744;0.06153846153846154;2;0;61
mug;63;0.0;0.031746031746031744;1.0;0.031746031746031744;0.06153846153846154;2;0;61
flowerpot;63;0.0;0.0;0.0;0.0;0.0;0;0;63
earphone;21;0.0;0.0;0.0;0.0;0.0;0;4;21
