class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
560;football helmet;21;1.0;0.9523809523809523;1.0;0.9523809523809523;0.975609756097561;20;0;1
402;acoustic guitar;21;1.0;0.8095238095238095;1.0;0.8095238095238095;0.8947368421052632;17;0;4
898;water bottle;21;1.0;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571;18;3;3
881;upright, upright piano;42;1.0;0.7619047619047619;0.9696969696969697;0.7619047619047619;0.8533333333333334;32;1;10
448;birdhouse;63;1.0;0.746031746031746;0.9038461538461539;0.746031746031746;0.8173913043478261;47;5;16
518;crash helmet;42;1.0;0.7619047619047619;0.8648648648648649;0.7619047619047619;0.810126582278481;32;5;10
515;cowboy hat, ten-gallon hat;63;1.0;0.6666666666666666;1.0;0.6666666666666666;0.8;42;0;21
907;wine bottle;21;1.0;0.7142857142857143;0.8333333333333334;0.7142857142857143;0.7692307692307692;15;3;6
846;table lamp;63;0.6666666666666666;0.6507936507936508;0.9111111111111111;0.6507936507936508;0.7592592592592592;41;4;22
703;park bench;63;0.6666666666666666;0.6507936507936508;0.8723404255319149;0.6507936507936508;0.7454545454545455;41;6;22
861;toilet seat;21;1.0;0.9047619047619048;0.6333333333333333;0.9047619047619048;0.7450980392156863;19;11;2
579;grand piano, grand;21;1.0;1.0;0.5675675675675675;1.0;0.7241379310344828;21;16;0
620;laptop, laptop computer;63;0.6666666666666666;0.6984126984126984;0.7213114754098361;0.6984126984126984;0.7096774193548387;44;17;19
761;remote control, remote;63;0.6666666666666666;0.5714285714285714;0.9230769230769231;0.5714285714285714;0.7058823529411765;36;3;27
827;stove;63;1.0;0.5714285714285714;0.75;0.5714285714285714;0.6486486486486486;36;12;27
742;printer;63;1.0;0.6031746031746031;0.6129032258064516;0.6031746031746031;0.608;38;24;25
897;washer, automatic washer, washing machine;63;0.6666666666666666;0.4603174603174603;0.8285714285714286;0.4603174603174603;0.5918367346938775;29;6;34
651;microwave, microwave oven;63;1.0;0.3968253968253968;0.9259259259259259;0.3968253968253968;0.5555555555555555;25;2;38
534;dishwasher, dish washer, dishwashing machine;63;0.6666666666666666;0.4444444444444444;0.6829268292682927;0.4444444444444444;0.5384615384615384;28;13;35
632;loudspeaker, speaker, speaker unit, loudspeaker system, speaker system;63;0.6666666666666666;0.38095238095238093;0.6857142857142857;0.38095238095238093;0.48979591836734687;24;11;39
412;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;63;0.3333333333333333;0.36507936507936506;0.696969696969697;0.36507936507936506;0.4791666666666666;23;10;40
453;bookcase;63;0.3333333333333333;0.30158730158730157;0.95;0.30158730158730157;0.4578313253012048;19;1;44
668;mosque;21;1.0;0.2857142857142857;1.0;0.2857142857142857;0.4444444444444445;6;0;15
435;bathtub, bathing tub, bath, tub;63;0.0;0.31746031746031744;0.6666666666666666;0.31746031746031744;0.43010752688172044;20;10;43
759;reflex camera;63;0.3333333333333333;0.2698412698412698;1.0;0.2698412698412698;0.425;17;0;46
553;file, file cabinet, filing cabinet;63;0.3333333333333333;0.25396825396825395;0.8888888888888888;0.25396825396825395;0.3950617283950617;16;2;47
414;backpack, back pack, knapsack, packsack, rucksack, haversack;42;0.5;0.23809523809523808;1.0;0.23809523809523808;0.3846153846153846;10;0;32
790;shopping basket;42;0.0;0.2857142857142857;0.48;0.2857142857142857;0.3582089552238806;12;13;30
532;dining table, board;63;0.3333333333333333;0.2222222222222222;0.875;0.2222222222222222;0.3544303797468354;14;2;49
637;mailbox, letter box;63;0.3333333333333333;0.20634920634920634;0.8125;0.20634920634920634;0.3291139240506329;13;3;50
487;cellular telephone, cellular phone, cellphone, cell, mobile phone;63;0.0;0.19047619047619047;1.0;0.19047619047619047;0.32;12;0;51
751;racer, race car, racing car;21;0.0;0.19047619047619047;1.0;0.19047619047619047;0.32;4;0;17
508;computer keyboard, keypad;63;0.0;0.1746031746031746;1.0;0.1746031746031746;0.29729729729729726;11;0;52
664;monitor;63;0.0;0.1746031746031746;1.0;0.1746031746031746;0.29729729729729726;11;0;52
831;studio couch, day bed;21;1.0;0.7619047619047619;0.17582417582417584;0.7619047619047619;0.28571428571428575;16;75;5
519;crate;21;1.0;0.3333333333333333;0.20588235294117646;0.3333333333333333;0.2545454545454545;7;27;14
650;microphone, mike;63;0.0;0.14285714285714285;0.8181818181818182;0.14285714285714285;0.2432432432432432;9;2;54
564;four-poster;42;0.5;0.11904761904761904;1.0;0.11904761904761904;0.21276595744680848;5;0;37
659;mixing bowl;21;1.0;0.3333333333333333;0.14893617021276595;0.3333333333333333;0.20588235294117646;7;40;14
657;missile;42;0.0;0.14285714285714285;0.3157894736842105;0.14285714285714285;0.19672131147540983;6;13;36
883;vase;63;0.0;0.12698412698412698;0.42105263157894735;0.12698412698412698;0.1951219512195122;8;11;55
721;pillow;63;0.0;0.09523809523809523;1.0;0.09523809523809523;0.17391304347826084;6;0;57
763;revolver, six-gun, six-shooter;63;0.0;0.09523809523809523;1.0;0.09523809523809523;0.17391304347826084;6;0;57
404;airliner;42;0.0;0.09523809523809523;1.0;0.09523809523809523;0.17391304347826084;4;0;38
413;assault rifle, assault gun;21;0.0;0.09523809523809523;0.4;0.09523809523809523;0.15384615384615385;2;3;19
665;moped;63;0.0;0.07936507936507936;1.0;0.07936507936507936;0.14705882352941177;5;0;58
