superclass;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
guitar;21;1.0;0.8571428571428571;1.0;0.8571428571428571;0.923076923076923;18;0;3
helmet;63;1.0;0.8253968253968254;0.9285714285714286;0.8253968253968254;0.8739495798319328;52;4;11
piano;63;1.0;0.9206349206349206;0.8285714285714286;0.9206349206349206;0.8721804511278196;58;12;5
chair;63;1.0;0.9523809523809523;0.7894736842105263;0.9523809523809523;0.8633093525179856;60;16;3
bowl;63;1.0;0.7142857142857143;0.9574468085106383;0.7142857142857143;0.8181818181818182;45;2;18
birdhouse;63;1.0;0.746031746031746;0.9038461538461539;0.746031746031746;0.8173913043478261;47;5;16
table;63;1.0;0.6825396825396826;0.9555555555555556;0.6825396825396826;0.7962962962962964;43;2;20
cap;63;1.0;0.6666666666666666;0.9333333333333333;0.6666666666666666;0.7777777777777778;42;3;21
lamp;63;0.6666666666666666;0.6507936507936508;0.9318181818181818;0.6507936507936508;0.7663551401869159;41;3;22
bench;63;0.6666666666666666;0.6507936507936508;0.8913043478260869;0.6507936507936508;0.7522935779816514;41;5;22
bed;42;1.0;0.5476190476190477;1.0;0.5476190476190477;0.7076923076923077;23;0;19
remote;63;0.6666666666666666;0.5714285714285714;0.9230769230769231;0.5714285714285714;0.7058823529411765;36;3;27
car;63;0.6666666666666666;0.5714285714285714;0.8;0.5714285714285714;0.6666666666666666;36;9;27
stove;63;1.0;0.5714285714285714;0.75;0.5714285714285714;0.6486486486486486;36;12;27
laptop;63;0.6666666666666666;0.6984126984126984;0.5866666666666667;0.6984126984126984;0.6376811594202899;44;31;19
clock;63;0.6666666666666666;0.5396825396825397;0.7555555555555555;0.5396825396825397;0.6296296296296297;34;11;29
printer;63;1.0;0.6031746031746031;0.6333333333333333;0.6031746031746031;0.6178861788617885;38;22;25
motorbike;63;0.6666666666666666;0.42857142857142855;1.0;0.42857142857142855;0.6;27;0;36
washer;63;0.6666666666666666;0.4603174603174603;0.8285714285714286;0.4603174603174603;0.5918367346938775;29;6;34
microwaves;63;1.0;0.3968253968253968;0.9259259259259259;0.3968253968253968;0.5555555555555555;25;2;38
sofa;21;1.0;0.7619047619047619;0.43243243243243246;0.7619047619047619;0.5517241379310345;16;21;5
dishwasher;63;0.6666666666666666;0.4444444444444444;0.6829268292682927;0.4444444444444444;0.5384615384615384;28;13;35
bottle;126;0.5;0.46825396825396826;0.5566037735849056;0.46825396825396826;0.5086206896551725;59;47;67
loudspeaker;63;0.6666666666666666;0.38095238095238093;0.6857142857142857;0.38095238095238093;0.48979591836734687;24;11;39
trash bin;63;0.3333333333333333;0.36507936507936506;0.696969696969697;0.36507936507936506;0.4791666666666666;23;10;40
bookshelf;63;0.3333333333333333;0.30158730158730157;0.95;0.30158730158730157;0.4578313253012048;19;1;44
bag;63;0.3333333333333333;0.3333333333333333;0.6363636363636364;0.3333333333333333;0.43749999999999994;21;12;42
bathtub;63;0.0;0.31746031746031744;0.6896551724137931;0.31746031746031744;0.43478260869565216;20;9;43
camera;63;0.3333333333333333;0.2698412698412698;0.9444444444444444;0.2698412698412698;0.41975308641975306;17;1;46
watercraft;63;0.3333333333333333;0.2698412698412698;0.9444444444444444;0.2698412698412698;0.41975308641975306;17;1;46
file cabinet;63;0.3333333333333333;0.25396825396825395;0.8888888888888888;0.25396825396825395;0.3950617283950617;16;2;47
tower;63;0.3333333333333333;0.2222222222222222;0.875;0.2222222222222222;0.3544303797468354;14;2;49
mailbox;63;0.3333333333333333;0.20634920634920634;0.8125;0.20634920634920634;0.3291139240506329;13;3;50
basket;63;0.3333333333333333;0.3333333333333333;0.3230769230769231;0.3333333333333333;0.328125;21;44;42
telephone;63;0.0;0.19047619047619047;1.0;0.19047619047619047;0.32;12;0;51
keyboard;63;0.0;0.1746031746031746;1.0;0.1746031746031746;0.29729729729729726;11;0;52
display;63;0.0;0.1746031746031746;1.0;0.1746031746031746;0.29729729729729726;11;0;52
microphone;63;0.0;0.14285714285714285;1.0;0.14285714285714285;0.25;9;0;54
airplane;63;0.3333333333333333;0.1746031746031746;0.3548387096774194;0.1746031746031746;0.2340425531914894;11;20;52
train;63;0.3333333333333333;0.12698412698412698;0.8;0.12698412698412698;0.2191780821917808;8;2;55
rocket;63;0.0;0.15873015873015872;0.2631578947368421;0.15873015873015872;0.19801980198019803;10;28;53
jar;63;0.0;0.12698412698412698;0.42105263157894735;0.12698412698412698;0.1951219512195122;8;11;55
pillow;63;0.0;0.09523809523809523;1.0;0.09523809523809523;0.17391304347826084;6;0;57
pistol;63;0.0;0.09523809523809523;1.0;0.09523809523809523;0.17391304347826084;6;0;57
rifle;63;0.0;0.12698412698412698;0.2;0.12698412698412698;0.1553398058252427;8;32;55
flowerpot;63;0.0;0.07936507936507936;1.0;0.07936507936507936;0.14705882352941177;5;0;58
knife;63;0.0;0.031746031746031744;1.0;0.031746031746031744;0.06153846153846154;2;0;61
mug;63;0.0;0.031746031746031744;1.0;0.031746031746031744;0.06153846153846154;2;0;61
bus;63;0.0;0.015873015873015872;1.0;0.015873015873015872;0.03125;1;0;62
cabinet;63;0.0;0.015873015873015872;0.3333333333333333;0.015873015873015872;0.030303030303030304;1;2;62
earphone;21;0.0;0.0;0.0;0.0;0.0;0;2;21
