value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
<unmapped>;231;0.0;0.0;0;
bottle;126;0.30158730158730157;0.5;126;0.46825396825396826
bag;63;0.1746031746031746;0.5079365079365079;63;0.3333333333333333
airplane;63;0.07936507936507936;0.31746031746031744;63;0.1746031746031746
basket;63;0.30158730158730157;0.8571428571428571;63;0.3333333333333333
bathtub;63;0.31746031746031744;0.873015873015873;63;0.31746031746031744
birdhouse;63;0.746031746031746;0.8412698412698413;63;0.746031746031746
bench;63;0.6507936507936508;0.8888888888888888;63;0.6507936507936508
bowl;63;0.1111111111111111;0.49206349206349204;63;0.7142857142857143
bookshelf;63;0.30158730158730157;0.49206349206349204;63;0.30158730158730157
bus;63;0.0;0.14285714285714285;63;0.015873015873015872
cabinet;63;0.0;0.047619047619047616;63;0.015873015873015872
chair;63;0.30158730158730157;0.6825396825396826;63;0.9523809523809523
camera;63;0.2698412698412698;0.30158730158730157;63;0.2698412698412698
cap;63;0.6666666666666666;0.7777777777777778;63;0.6666666666666666
car;63;0.09523809523809523;0.3968253968253968;63;0.5714285714285714
dishwasher;63;0.4444444444444444;0.6349206349206349;63;0.4444444444444444
clock;63;0.031746031746031744;0.7936507936507936;63;0.5396825396825397
display;63;0.1746031746031746;0.6507936507936508;63;0.1746031746031746
file cabinet;63;0.25396825396825395;0.4126984126984127;63;0.25396825396825395
train;63;0.015873015873015872;0.09523809523809523;63;0.12698412698412698
flowerpot;63;0.07936507936507936;0.49206349206349204;63;0.07936507936507936
jar;63;0.12698412698412698;0.6349206349206349;63;0.12698412698412698
helmet;63;0.8253968253968254;0.8571428571428571;63;0.8253968253968254
keyboard;63;0.1746031746031746;0.3968253968253968;63;0.1746031746031746
knife;63;0.031746031746031744;0.12698412698412698;63;0.031746031746031744
laptop;63;0.6984126984126984;0.873015873015873;63;0.6984126984126984
lamp;63;0.6507936507936508;0.7619047619047619;63;0.6507936507936508
microphone;63;0.14285714285714285;0.25396825396825395;63;0.14285714285714285
microwaves;63;0.3968253968253968;0.5238095238095238;63;0.3968253968253968
loudspeaker;63;0.38095238095238093;0.5396825396825397;63;0.38095238095238093
mailbox;63;0.20634920634920634;0.4603174603174603;63;0.20634920634920634
motorbike;63;0.07936507936507936;0.4444444444444444;63;0.42857142857142855
mug;63;0.031746031746031744;0.47619047619047616;63;0.031746031746031744
pillow;63;0.09523809523809523;0.31746031746031744;63;0.09523809523809523
piano;63;0.8412698412698413;0.9206349206349206;63;0.9206349206349206
washer;63;0.4603174603174603;0.6666666666666666;63;0.4603174603174603
table;63;0.2222222222222222;0.6349206349206349;63;0.6825396825396826
pistol;63;0.09523809523809523;0.09523809523809523;63;0.09523809523809523
printer;63;0.6031746031746031;0.8253968253968254;63;0.6031746031746031
remote;63;0.5714285714285714;0.6507936507936508;63;0.5714285714285714
rifle;63;0.07936507936507936;0.15873015873015872;63;0.12698412698412698
rocket;63;0.09523809523809523;0.1746031746031746;63;0.15873015873015872
stove;63;0.5714285714285714;0.6507936507936508;63;0.5714285714285714
watercraft;63;0.015873015873015872;0.07936507936507936;63;0.2698412698412698
trash bin;63;0.36507936507936506;0.8888888888888888;63;0.36507936507936506
telephone;63;0.19047619047619047;0.4126984126984127;63;0.19047619047619047
tower;63;0.09523809523809523;0.2698412698412698;63;0.2222222222222222
bed;42;0.11904761904761904;0.35714285714285715;42;0.5476190476190477
earphone;21;0.0;0.0;21;0.0
guitar;21;0.8095238095238095;0.9047619047619048;21;0.8571428571428571
sofa;21;0.7619047619047619;0.7619047619047619;21;0.7619047619047619
