value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
<unmapped>;231;0.0;0.0;0;
bottle;126;0.38095238095238093;0.6111111111111112;126;0.5714285714285714
bag;63;0.19047619047619047;0.7301587301587301;63;0.6349206349206349
airplane;63;0.1111111111111111;0.5873015873015873;63;0.4126984126984127
basket;63;0.47619047619047616;0.9682539682539683;63;0.5714285714285714
bathtub;63;0.8412698412698413;0.9523809523809523;63;0.8412698412698413
birdhouse;63;0.8412698412698413;0.873015873015873;63;0.8412698412698413
bench;63;0.9047619047619048;0.9206349206349206;63;0.9047619047619048
bowl;63;0.06349206349206349;0.6031746031746031;63;0.2857142857142857
bookshelf;63;0.6984126984126984;0.746031746031746;63;0.6984126984126984
bus;63;0.0;0.015873015873015872;63;0.047619047619047616
cabinet;63;0.0;0.047619047619047616;63;0.09523809523809523
chair;63;0.31746031746031744;0.38095238095238093;63;0.9523809523809523
camera;63;0.31746031746031744;0.38095238095238093;63;0.31746031746031744
cap;63;0.5238095238095238;0.8095238095238095;63;0.5238095238095238
car;63;0.14285714285714285;0.42857142857142855;63;0.6507936507936508
dishwasher;63;0.47619047619047616;0.5714285714285714;63;0.47619047619047616
clock;63;0.1111111111111111;0.8095238095238095;63;0.6349206349206349
display;63;0.015873015873015872;0.19047619047619047;63;0.09523809523809523
file cabinet;63;0.25396825396825395;0.47619047619047616;63;0.25396825396825395
train;63;0.15873015873015872;0.2222222222222222;63;0.1746031746031746
flowerpot;63;0.047619047619047616;0.36507936507936506;63;0.047619047619047616
jar;63;0.36507936507936506;0.5079365079365079;63;0.36507936507936506
helmet;63;0.9047619047619048;0.9365079365079365;63;0.9206349206349206
keyboard;63;0.38095238095238093;0.5396825396825397;63;0.38095238095238093
knife;63;0.07936507936507936;0.15873015873015872;63;0.07936507936507936
laptop;63;0.7301587301587301;0.7936507936507936;63;0.746031746031746
lamp;63;0.6825396825396826;0.8412698412698413;63;0.6825396825396826
microphone;63;0.5714285714285714;0.6190476190476191;63;0.5714285714285714
microwaves;63;0.5555555555555556;0.5873015873015873;63;0.5555555555555556
loudspeaker;63;0.49206349206349204;0.5555555555555556;63;0.49206349206349204
mailbox;63;0.6666666666666666;0.7777777777777778;63;0.6666666666666666
motorbike;63;0.4126984126984127;0.746031746031746;63;0.4444444444444444
mug;63;0.015873015873015872;0.6349206349206349;63;0.015873015873015872
pillow;63;0.746031746031746;0.8571428571428571;63;0.746031746031746
piano;63;0.9841269841269841;0.9841269841269841;63;1.0
washer;63;0.6984126984126984;0.7142857142857143;63;0.6984126984126984
table;63;0.19047619047619047;0.6825396825396826;63;0.47619047619047616
pistol;63;0.23809523809523808;0.30158730158730157;63;0.23809523809523808
printer;63;0.7142857142857143;0.7936507936507936;63;0.7142857142857143
remote;63;0.6190476190476191;0.6190476190476191;63;0.6190476190476191
rifle;63;0.12698412698412698;0.3333333333333333;63;0.1746031746031746
rocket;63;0.31746031746031744;0.47619047619047616;63;0.4126984126984127
stove;63;0.7301587301587301;0.8095238095238095;63;0.7301587301587301
watercraft;63;0.07936507936507936;0.1111111111111111;63;0.3968253968253968
trash bin;63;0.7936507936507936;0.873015873015873;63;0.7936507936507936
telephone;63;0.3492063492063492;0.42857142857142855;63;0.5555555555555556
tower;63;0.031746031746031744;0.2222222222222222;63;0.3492063492063492
bed;42;0.023809523809523808;0.8333333333333334;42;0.5
earphone;21;0.19047619047619047;0.38095238095238093;21;0.19047619047619047
guitar;21;0.8095238095238095;1.0;21;0.9047619047619048
sofa;21;1.0;1.0;21;1.0
