superclass;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
piano;63;1.0;0.6825396825396826;0.86;0.6825396825396826;0.7610619469026547;43;7;20
guitar;21;1.0;0.5714285714285714;1.0;0.5714285714285714;0.7272727272727273;12;0;9
lamp;63;0.6666666666666666;0.5714285714285714;0.9230769230769231;0.5714285714285714;0.7058823529411765;36;3;27
helmet;63;0.6666666666666666;0.5555555555555556;0.8974358974358975;0.5555555555555556;0.6862745098039216;35;4;28
clock;63;1.0;0.5714285714285714;0.782608695652174;0.5714285714285714;0.6605504587155963;36;10;27
sofa;21;1.0;0.6666666666666666;0.6363636363636364;0.6666666666666666;0.6511627906976744;14;8;7
bowl;63;0.6666666666666666;0.5555555555555556;0.7;0.5555555555555556;0.6194690265486726;35;15;28
chair;63;1.0;0.7777777777777778;0.5051546391752577;0.7777777777777778;0.6125;49;48;14
washer;63;0.6666666666666666;0.38095238095238093;0.96;0.38095238095238093;0.5454545454545454;24;1;39
stove;63;0.6666666666666666;0.36507936507936506;1.0;0.36507936507936506;0.5348837209302325;23;0;40
laptop;63;0.6666666666666666;0.6666666666666666;0.4077669902912621;0.6666666666666666;0.5060240963855422;42;61;21
remote;63;0.6666666666666666;0.31746031746031744;0.9523809523809523;0.31746031746031744;0.47619047619047616;20;1;43
bottle;126;0.5;0.3492063492063492;0.7213114754098361;0.3492063492063492;0.4705882352941177;44;17;82
birdhouse;63;0.3333333333333333;0.31746031746031744;0.7692307692307693;0.31746031746031744;0.44943820224719094;20;6;43
car;63;0.0;0.25396825396825395;0.8421052631578947;0.25396825396825395;0.3902439024390244;16;3;47
basket;63;0.3333333333333333;0.31746031746031744;0.5;0.31746031746031744;0.3883495145631068;20;20;43
cap;63;0.3333333333333333;0.23809523809523808;0.9375;0.23809523809523808;0.37974683544303794;15;1;48
dishwasher;63;0.3333333333333333;0.2698412698412698;0.4722222222222222;0.2698412698412698;0.34343434343434337;17;19;46
camera;63;0.3333333333333333;0.20634920634920634;0.9285714285714286;0.20634920634920634;0.33766233766233766;13;1;50
bookshelf;63;0.3333333333333333;0.20634920634920634;0.7222222222222222;0.20634920634920634;0.32098765432098764;13;5;50
loudspeaker;63;0.3333333333333333;0.2222222222222222;0.5384615384615384;0.2222222222222222;0.3146067415730337;14;12;49
file cabinet;63;0.3333333333333333;0.1746031746031746;0.9166666666666666;0.1746031746031746;0.29333333333333333;11;1;52
bench;63;0.0;0.20634920634920634;0.48148148148148145;0.20634920634920634;0.28888888888888886;13;14;50
display;63;0.3333333333333333;0.15873015873015872;0.5555555555555556;0.15873015873015872;0.24691358024691357;10;8;53
bag;63;0.3333333333333333;0.12698412698412698;1.0;0.12698412698412698;0.22535211267605632;8;0;55
table;63;0.3333333333333333;0.12698412698412698;1.0;0.12698412698412698;0.22535211267605632;8;0;55
printer;63;1.0;0.3492063492063492;0.14473684210526316;0.3492063492063492;0.20465116279069767;22;130;41
bed;42;0.5;0.09523809523809523;1.0;0.09523809523809523;0.17391304347826084;4;0;38
rifle;63;0.0;0.09523809523809523;0.6;0.09523809523809523;0.1643835616438356;6;4;57
bathtub;63;0.0;0.09523809523809523;0.6;0.09523809523809523;0.1643835616438356;6;4;57
airplane;63;0.3333333333333333;0.1111111111111111;0.30434782608695654;0.1111111111111111;0.1627906976744186;7;16;56
trash bin;63;0.0;0.09523809523809523;0.4;0.09523809523809523;0.15384615384615385;6;9;57
motorbike;63;0.0;0.07936507936507936;1.0;0.07936507936507936;0.14705882352941177;5;0;58
microwaves;63;0.3333333333333333;0.07936507936507936;0.8333333333333334;0.07936507936507936;0.14492753623188404;5;1;58
tower;63;0.0;0.07936507936507936;0.4166666666666667;0.07936507936507936;0.13333333333333333;5;7;58
watercraft;63;0.0;0.14285714285714285;0.11538461538461539;0.14285714285714285;0.12765957446808512;9;69;54
pistol;63;0.0;0.06349206349206349;1.0;0.06349206349206349;0.11940298507462686;4;0;59
jar;63;0.0;0.06349206349206349;0.5;0.06349206349206349;0.11267605633802816;4;4;59
pillow;63;0.0;0.047619047619047616;0.6;0.047619047619047616;0.08823529411764705;3;2;60
rocket;63;0.0;0.047619047619047616;0.3;0.047619047619047616;0.0821917808219178;3;7;60
telephone;63;0.0;0.047619047619047616;0.2;0.047619047619047616;0.07692307692307693;3;12;60
knife;63;0.0;0.031746031746031744;1.0;0.031746031746031744;0.06153846153846154;2;0;61
flowerpot;63;0.0;0.031746031746031744;1.0;0.031746031746031744;0.06153846153846154;2;0;61
mailbox;63;0.0;0.031746031746031744;0.4;0.031746031746031744;0.058823529411764705;2;3;61
keyboard;63;0.0;0.031746031746031744;0.3333333333333333;0.031746031746031744;0.057971014492753624;2;4;61
cabinet;63;0.0;0.0;0.0;0.0;0.0;0;8;63
bus;63;0.0;0.0;0.0;0.0;0.0;0;0;63
mug;63;0.0;0.0;0.0;0.0;0.0;0;1;63
microphone;63;0.0;0.0;0.0;0.0;0.0;0;0;63
earphone;21;0.0;0.0;0.0;0.0;0.0;0;0;21
train;63;0.0;0.0;0.0;0.0;0.0;0;3;63
