superclass;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
guitar;21;1.0;0.7142857142857143;1.0;0.7142857142857143;0.8333333333333333;15;0;6
piano;63;1.0;0.6666666666666666;0.8936170212765957;0.6666666666666666;0.7636363636363636;42;5;21
clock;63;1.0;0.6349206349206349;0.6557377049180327;0.6349206349206349;0.6451612903225806;40;21;23
washer;63;0.6666666666666666;0.4603174603174603;0.90625;0.4603174603174603;0.6105263157894737;29;3;34
bowl;63;0.6666666666666666;0.4444444444444444;0.9655172413793104;0.4444444444444444;0.6086956521739131;28;1;35
microwaves;63;0.6666666666666666;0.5079365079365079;0.7441860465116279;0.5079365079365079;0.6037735849056604;32;11;31
lamp;63;0.3333333333333333;0.5396825396825397;0.6415094339622641;0.5396825396825397;0.5862068965517241;34;19;29
helmet;63;0.3333333333333333;0.3968253968253968;1.0;0.3968253968253968;0.5681818181818182;25;0;38
bookshelf;63;0.6666666666666666;0.3968253968253968;1.0;0.3968253968253968;0.5681818181818182;25;0;38
laptop;63;1.0;0.6031746031746031;0.5135135135135135;0.6031746031746031;0.5547445255474451;38;36;25
bottle;126;0.5;0.4444444444444444;0.7368421052631579;0.4444444444444444;0.5544554455445545;56;20;70
remote;63;1.0;0.3968253968253968;0.8928571428571429;0.3968253968253968;0.5494505494505494;25;3;38
birdhouse;63;0.6666666666666666;0.4444444444444444;0.7;0.4444444444444444;0.5436893203883495;28;12;35
chair;63;0.6666666666666666;0.5238095238095238;0.559322033898305;0.5238095238095238;0.5409836065573771;33;26;30
car;63;0.6666666666666666;0.42857142857142855;0.6923076923076923;0.42857142857142855;0.5294117647058824;27;12;36
sofa;21;1.0;0.47619047619047616;0.5263157894736842;0.47619047619047616;0.5;10;9;11
bench;63;0.3333333333333333;0.42857142857142855;0.5869565217391305;0.42857142857142855;0.49541284403669733;27;19;36
trash bin;63;0.3333333333333333;0.5555555555555556;0.43209876543209874;0.5555555555555556;0.48611111111111116;35;46;28
display;63;1.0;0.36507936507936506;0.71875;0.36507936507936506;0.4842105263157895;23;9;40
mug;63;0.3333333333333333;0.31746031746031744;0.9523809523809523;0.31746031746031744;0.47619047619047616;20;1;43
stove;63;1.0;0.30158730158730157;1.0;0.30158730158730157;0.46341463414634143;19;0;44
dishwasher;63;0.6666666666666666;0.3333333333333333;0.7241379310344828;0.3333333333333333;0.45652173913043476;21;8;42
basket;63;0.6666666666666666;0.36507936507936506;0.5;0.36507936507936506;0.4220183486238532;23;23;40
bathtub;63;0.0;0.30158730158730157;0.6333333333333333;0.30158730158730157;0.4086021505376344;19;11;44
jar;63;0.3333333333333333;0.31746031746031744;0.5;0.31746031746031744;0.3883495145631068;20;20;43
airplane;63;0.6666666666666666;0.5714285714285714;0.2926829268292683;0.5714285714285714;0.3870967741935484;36;87;27
printer;63;0.6666666666666666;0.2222222222222222;0.6666666666666666;0.2222222222222222;0.3333333333333333;14;7;49
file cabinet;63;0.3333333333333333;0.20634920634920634;0.8666666666666667;0.20634920634920634;0.3333333333333333;13;2;50
table;63;0.6666666666666666;0.20634920634920634;0.7647058823529411;0.20634920634920634;0.32499999999999996;13;4;50
cap;63;0.3333333333333333;0.19047619047619047;0.8571428571428571;0.19047619047619047;0.31168831168831174;12;2;51
flowerpot;63;0.6666666666666666;0.15873015873015872;1.0;0.15873015873015872;0.27397260273972607;10;0;53
loudspeaker;63;0.3333333333333333;0.23809523809523808;0.26785714285714285;0.23809523809523808;0.25210084033613445;15;41;48
telephone;63;0.3333333333333333;0.1111111111111111;1.0;0.1111111111111111;0.19999999999999998;7;0;56
earphone;21;0.0;0.14285714285714285;0.3;0.14285714285714285;0.19354838709677416;3;7;18
microphone;63;0.0;0.09523809523809523;0.75;0.09523809523809523;0.16901408450704225;6;2;57
rifle;63;0.0;0.09523809523809523;0.75;0.09523809523809523;0.16901408450704225;6;2;57
pistol;63;0.0;0.06349206349206349;1.0;0.06349206349206349;0.11940298507462686;4;0;59
rocket;63;0.0;0.07936507936507936;0.22727272727272727;0.07936507936507936;0.11764705882352942;5;17;58
tower;63;0.0;0.06349206349206349;0.25;0.06349206349206349;0.10126582278481013;4;12;59
bed;42;0.0;0.047619047619047616;1.0;0.047619047619047616;0.0909090909090909;2;0;40
knife;63;0.0;0.047619047619047616;0.3333333333333333;0.047619047619047616;0.08333333333333333;3;6;60
keyboard;63;0.0;0.031746031746031744;1.0;0.031746031746031744;0.06153846153846154;2;0;61
bag;63;0.0;0.031746031746031744;0.6666666666666666;0.031746031746031744;0.06060606060606061;2;1;61
motorbike;63;0.0;0.031746031746031744;0.3333333333333333;0.031746031746031744;0.057971014492753624;2;4;61
mailbox;63;0.0;0.031746031746031744;0.15384615384615385;0.031746031746031744;0.05263157894736842;2;11;61
cabinet;63;0.0;0.015873015873015872;1.0;0.015873015873015872;0.03125;1;0;62
camera;63;0.0;0.015873015873015872;1.0;0.015873015873015872;0.03125;1;0;62
pillow;63;0.0;0.015873015873015872;1.0;0.015873015873015872;0.03125;1;0;62
watercraft;63;0.0;0.015873015873015872;0.3333333333333333;0.015873015873015872;0.030303030303030304;1;2;62
bus;63;0.0;0.0;0.0;0.0;0.0;0;0;63
train;63;0.0;0.0;0.0;0.0;0.0;0;0;63
