value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
<unmapped>;231;0.0;0.0;0;
bottle;126;0.30952380952380953;0.4444444444444444;126;0.4444444444444444
bag;63;0.0;0.06349206349206349;63;0.031746031746031744
airplane;63;0.20634920634920634;0.42857142857142855;63;0.5714285714285714
basket;63;0.36507936507936506;0.6349206349206349;63;0.36507936507936506
bathtub;63;0.30158730158730157;0.47619047619047616;63;0.30158730158730157
birdhouse;63;0.4444444444444444;0.5555555555555556;63;0.4444444444444444
bench;63;0.42857142857142855;0.5714285714285714;63;0.42857142857142855
bowl;63;0.015873015873015872;0.5079365079365079;63;0.4444444444444444
bookshelf;63;0.3968253968253968;0.47619047619047616;63;0.3968253968253968
bus;63;0.0;0.0;63;0.0
cabinet;63;0.0;0.06349206349206349;63;0.015873015873015872
chair;63;0.2857142857142857;0.5555555555555556;63;0.5238095238095238
camera;63;0.015873015873015872;0.1111111111111111;63;0.015873015873015872
cap;63;0.19047619047619047;0.2698412698412698;63;0.19047619047619047
car;63;0.047619047619047616;0.20634920634920634;63;0.42857142857142855
dishwasher;63;0.3333333333333333;0.5396825396825397;63;0.3333333333333333
clock;63;0.20634920634920634;0.7301587301587301;63;0.6349206349206349
display;63;0.1746031746031746;0.5238095238095238;63;0.36507936507936506
file cabinet;63;0.20634920634920634;0.2857142857142857;63;0.20634920634920634
train;63;0.0;0.0;63;0.0
flowerpot;63;0.15873015873015872;0.30158730158730157;63;0.15873015873015872
jar;63;0.30158730158730157;0.4444444444444444;63;0.31746031746031744
helmet;63;0.38095238095238093;0.4603174603174603;63;0.3968253968253968
keyboard;63;0.031746031746031744;0.12698412698412698;63;0.031746031746031744
knife;63;0.047619047619047616;0.047619047619047616;63;0.047619047619047616
laptop;63;0.38095238095238093;0.6825396825396826;63;0.6031746031746031
lamp;63;0.5396825396825397;0.7142857142857143;63;0.5396825396825397
microphone;63;0.09523809523809523;0.2222222222222222;63;0.09523809523809523
microwaves;63;0.5079365079365079;0.6031746031746031;63;0.5079365079365079
loudspeaker;63;0.23809523809523808;0.38095238095238093;63;0.23809523809523808
mailbox;63;0.031746031746031744;0.09523809523809523;63;0.031746031746031744
motorbike;63;0.015873015873015872;0.12698412698412698;63;0.031746031746031744
mug;63;0.31746031746031744;0.7936507936507936;63;0.31746031746031744
pillow;63;0.015873015873015872;0.06349206349206349;63;0.015873015873015872
piano;63;0.6507936507936508;0.7301587301587301;63;0.6666666666666666
washer;63;0.4603174603174603;0.6031746031746031;63;0.4603174603174603
table;63;0.1111111111111111;0.36507936507936506;63;0.20634920634920634
pistol;63;0.06349206349206349;0.06349206349206349;63;0.06349206349206349
printer;63;0.2222222222222222;0.30158730158730157;63;0.2222222222222222
remote;63;0.3968253968253968;0.5238095238095238;63;0.3968253968253968
rifle;63;0.047619047619047616;0.09523809523809523;63;0.09523809523809523
rocket;63;0.031746031746031744;0.1111111111111111;63;0.07936507936507936
stove;63;0.30158730158730157;0.5079365079365079;63;0.30158730158730157
watercraft;63;0.0;0.047619047619047616;63;0.015873015873015872
trash bin;63;0.5555555555555556;0.873015873015873;63;0.5555555555555556
telephone;63;0.1111111111111111;0.2222222222222222;63;0.1111111111111111
tower;63;0.015873015873015872;0.031746031746031744;63;0.06349206349206349
bed;42;0.0;0.0;42;0.047619047619047616
earphone;21;0.14285714285714285;0.23809523809523808;21;0.14285714285714285
guitar;21;0.6666666666666666;0.7619047619047619;21;0.7142857142857143
sofa;21;0.47619047619047616;0.5714285714285714;21;0.47619047619047616
