class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
579;grand piano, grand;21;1.0;0.9523809523809523;0.8695652173913043;0.9523809523809523;0.909090909090909;20;3;1
560;football helmet;21;1.0;0.8571428571428571;0.9;0.8571428571428571;0.8780487804878048;18;2;3
402;acoustic guitar;21;1.0;0.7619047619047619;1.0;0.7619047619047619;0.8648648648648648;16;0;5
907;wine bottle;21;1.0;0.8095238095238095;0.85;0.8095238095238095;0.8292682926829269;17;3;4
448;birdhouse;63;1.0;0.6825396825396826;0.9148936170212766;0.6825396825396826;0.7818181818181817;43;4;20
881;upright, upright piano;42;1.0;0.6428571428571429;0.9642857142857143;0.6428571428571429;0.7714285714285715;27;1;15
651;microwave, microwave oven;63;1.0;0.5714285714285714;0.9230769230769231;0.5714285714285714;0.7058823529411765;36;3;27
453;bookcase;63;0.6666666666666666;0.5238095238095238;0.9166666666666666;0.5238095238095238;0.6666666666666667;33;3;30
761;remote control, remote;63;0.6666666666666666;0.5079365079365079;0.9411764705882353;0.5079365079365079;0.6597938144329897;32;2;31
861;toilet seat;21;1.0;0.6666666666666666;0.6363636363636364;0.6666666666666666;0.6511627906976744;14;8;7
703;park bench;63;0.6666666666666666;0.5873015873015873;0.7254901960784313;0.5873015873015873;0.6491228070175439;37;14;26
897;washer, automatic washer, washing machine;63;1.0;0.49206349206349204;0.9117647058823529;0.49206349206349204;0.6391752577319587;31;3;32
846;table lamp;63;0.6666666666666666;0.6349206349206349;0.6153846153846154;0.6349206349206349;0.625;40;25;23
664;monitor;63;0.3333333333333333;0.47619047619047616;0.9090909090909091;0.47619047619047616;0.6249999999999999;30;3;33
827;stove;63;1.0;0.47619047619047616;0.8823529411764706;0.47619047619047616;0.6185567010309277;30;4;33
412;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;63;1.0;0.746031746031746;0.5164835164835165;0.746031746031746;0.6103896103896105;47;44;16
435;bathtub, bathing tub, bath, tub;63;0.6666666666666666;0.5238095238095238;0.6875;0.5238095238095238;0.5945945945945946;33;15;30
409;analog clock;21;1.0;0.7142857142857143;0.5;0.7142857142857143;0.588235294117647;15;15;6
518;crash helmet;42;1.0;0.42857142857142855;0.8181818181818182;0.42857142857142855;0.5625;18;4;24
898;water bottle;21;1.0;0.8571428571428571;0.35294117647058826;0.8571428571428571;0.5;18;33;3
515;cowboy hat, ten-gallon hat;63;0.3333333333333333;0.2857142857142857;1.0;0.2857142857142857;0.4444444444444445;18;0;45
892;wall clock;42;0.5;0.30952380952380953;0.7647058823529411;0.30952380952380953;0.4406779661016949;13;4;29
534;dishwasher, dish washer, dishwashing machine;63;0.3333333333333333;0.30158730158730157;0.7916666666666666;0.30158730158730157;0.43678160919540227;19;5;44
895;warplane, military plane;21;1.0;0.6190476190476191;0.30952380952380953;0.6190476190476191;0.41269841269841273;13;29;8
790;shopping basket;42;0.5;0.2619047619047619;0.9166666666666666;0.2619047619047619;0.4074074074074074;11;1;31
