superclass;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
piano;63;1.0;0.6190476190476191;1.0;0.6190476190476191;0.7647058823529412;39;0;24
guitar;21;1.0;0.5714285714285714;1.0;0.5714285714285714;0.7272727272727273;12;0;9
clock;63;1.0;0.6666666666666666;0.711864406779661;0.6666666666666666;0.6885245901639344;42;17;21
microwaves;63;1.0;0.47619047619047616;0.9375;0.47619047619047616;0.631578947368421;30;2;33
helmet;63;0.6666666666666666;0.42857142857142855;0.9642857142857143;0.42857142857142855;0.5934065934065934;27;1;36
birdhouse;63;0.3333333333333333;0.4444444444444444;0.8484848484848485;0.4444444444444444;0.5833333333333334;28;5;35
car;63;0.6666666666666666;0.5079365079365079;0.6808510638297872;0.5079365079365079;0.5818181818181817;32;15;31
remote;63;0.6666666666666666;0.3968253968253968;0.9615384615384616;0.3968253968253968;0.5617977528089887;25;1;38
stove;63;1.0;0.38095238095238093;0.96;0.38095238095238093;0.5454545454545454;24;1;39
airplane;63;1.0;0.49206349206349204;0.6078431372549019;0.49206349206349204;0.543859649122807;31;20;32
washer;63;0.6666666666666666;0.4126984126984127;0.7428571428571429;0.4126984126984127;0.5306122448979592;26;9;37
bookshelf;63;0.3333333333333333;0.3492063492063492;0.9565217391304348;0.3492063492063492;0.5116279069767442;22;1;41
bottle;126;0.5;0.3968253968253968;0.6493506493506493;0.3968253968253968;0.49261083743842365;50;27;76
laptop;63;0.6666666666666666;0.5555555555555556;0.4268292682926829;0.5555555555555556;0.4827586206896552;35;47;28
dishwasher;63;1.0;0.47619047619047616;0.46875;0.47619047619047616;0.47244094488188976;30;34;33
trash bin;63;0.3333333333333333;0.4444444444444444;0.49122807017543857;0.4444444444444444;0.4666666666666667;28;29;35
chair;63;0.3333333333333333;0.4444444444444444;0.4117647058823529;0.4444444444444444;0.42748091603053434;28;40;35
bowl;63;0.6666666666666666;0.2698412698412698;1.0;0.2698412698412698;0.425;17;0;46
jar;63;0.6666666666666666;0.36507936507936506;0.5;0.36507936507936506;0.4220183486238532;23;23;40
printer;63;1.0;0.31746031746031744;0.5714285714285714;0.31746031746031744;0.4081632653061224;20;15;43
lamp;63;0.3333333333333333;0.5079365079365079;0.3333333333333333;0.5079365079365079;0.4025157232704403;32;64;31
table;63;0.6666666666666666;0.2698412698412698;0.7083333333333334;0.2698412698412698;0.3908045977011494;17;7;46
bench;63;0.3333333333333333;0.31746031746031744;0.4878048780487805;0.31746031746031744;0.3846153846153846;20;21;43
file cabinet;63;0.3333333333333333;0.2222222222222222;0.875;0.2222222222222222;0.3544303797468354;14;2;49
cap;63;0.3333333333333333;0.20634920634920634;1.0;0.20634920634920634;0.34210526315789475;13;0;50
sofa;21;1.0;0.5238095238095238;0.24444444444444444;0.5238095238095238;0.3333333333333333;11;34;10
basket;63;0.6666666666666666;0.15873015873015872;0.2702702702702703;0.15873015873015872;0.2;10;27;53
bathtub;63;0.0;0.1111111111111111;0.6363636363636364;0.1111111111111111;0.1891891891891892;7;4;56
rocket;63;0.0;0.12698412698412698;0.3333333333333333;0.12698412698412698;0.1839080459770115;8;16;55
flowerpot;63;0.3333333333333333;0.09523809523809523;1.0;0.09523809523809523;0.17391304347826084;6;0;57
display;63;0.0;0.1111111111111111;0.3684210526315789;0.1111111111111111;0.17073170731707318;7;12;56
motorbike;63;0.0;0.07936507936507936;1.0;0.07936507936507936;0.14705882352941177;5;0;58
pistol;63;0.0;0.07936507936507936;1.0;0.07936507936507936;0.14705882352941177;5;0;58
mug;63;0.0;0.07936507936507936;0.8333333333333334;0.07936507936507936;0.14492753623188404;5;1;58
rifle;63;0.0;0.07936507936507936;0.625;0.07936507936507936;0.14084507042253522;5;3;58
loudspeaker;63;0.0;0.06349206349206349;0.2;0.06349206349206349;0.09638554216867469;4;16;59
watercraft;63;0.0;0.047619047619047616;0.6;0.047619047619047616;0.08823529411764705;3;2;60
camera;63;0.0;0.031746031746031744;1.0;0.031746031746031744;0.06153846153846154;2;0;61
earphone;21;0.0;0.047619047619047616;0.08333333333333333;0.047619047619047616;0.060606060606060615;1;11;20
telephone;63;0.0;0.031746031746031744;0.6666666666666666;0.031746031746031744;0.06060606060606061;2;1;61
mailbox;63;0.0;0.031746031746031744;0.4;0.031746031746031744;0.058823529411764705;2;3;61
bed;42;0.0;0.023809523809523808;0.2;0.023809523809523808;0.0425531914893617;1;4;41
keyboard;63;0.0;0.015873015873015872;1.0;0.015873015873015872;0.03125;1;0;62
cabinet;63;0.0;0.015873015873015872;0.5;0.015873015873015872;0.03076923076923077;1;1;62
bag;63;0.0;0.015873015873015872;0.16666666666666666;0.015873015873015872;0.028985507246376812;1;5;62
tower;63;0.0;0.015873015873015872;0.14285714285714285;0.015873015873015872;0.028571428571428567;1;6;62
bus;63;0.0;0.0;0.0;0.0;0.0;0;0;63
microphone;63;0.0;0.0;0.0;0.0;0.0;0;2;63
knife;63;0.0;0.0;0.0;0.0;0.0;0;3;63
pillow;63;0.0;0.0;0.0;0.0;0.0;0;0;63
train;63;0.0;0.0;0.0;0.0;0.0;0;0;63
