superclass;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
clock;63;1.0;0.6031746031746031;0.8636363636363636;0.6031746031746031;0.7102803738317757;38;6;25
laptop;63;1.0;0.3968253968253968;0.6578947368421053;0.3968253968253968;0.4950495049504951;25;13;38
birdhouse;63;0.6666666666666666;0.38095238095238093;0.7058823529411765;0.38095238095238093;0.4948453608247422;24;10;39
lamp;63;0.3333333333333333;0.3333333333333333;0.6176470588235294;0.3333333333333333;0.4329896907216495;21;13;42
bottle;126;0.6666666666666666;0.42857142857142855;0.42857142857142855;0.42857142857142855;0.42857142857142855;54;72;72
display;63;0.6666666666666666;0.2698412698412698;0.7727272727272727;0.2698412698412698;0.39999999999999997;17;5;46
washer;63;0.0;0.2698412698412698;0.7083333333333334;0.2698412698412698;0.3908045977011494;17;7;46
remote;63;0.3333333333333333;0.23809523809523808;0.8823529411764706;0.23809523809523808;0.37499999999999994;15;2;48
sofa;21;0.0;0.23809523809523808;0.8333333333333334;0.23809523809523808;0.37037037037037035;5;1;16
trash bin;63;0.0;0.30158730158730157;0.4222222222222222;0.30158730158730157;0.35185185185185186;19;26;44
car;63;0.3333333333333333;0.2222222222222222;0.7368421052631579;0.2222222222222222;0.34146341463414637;14;5;49
airplane;63;0.6666666666666666;0.31746031746031744;0.36363636363636365;0.31746031746031744;0.3389830508474576;20;35;43
chair;63;0.3333333333333333;0.2698412698412698;0.37777777777777777;0.2698412698412698;0.3148148148148148;17;28;46
dishwasher;63;0.6666666666666666;0.20634920634920634;0.5416666666666666;0.20634920634920634;0.29885057471264365;13;11;50
microwaves;63;0.3333333333333333;0.1746031746031746;0.7333333333333333;0.1746031746031746;0.28205128205128205;11;4;52
cap;63;0.3333333333333333;0.15873015873015872;0.4166666666666667;0.15873015873015872;0.22988505747126436;10;14;53
piano;63;0.0;0.12698412698412698;1.0;0.12698412698412698;0.22535211267605632;8;0;55
stove;63;0.0;0.19047619047619047;0.21818181818181817;0.19047619047619047;0.20338983050847456;12;43;51
bench;63;0.0;0.14285714285714285;0.34615384615384615;0.14285714285714285;0.20224719101123595;9;17;54
rocket;63;0.0;0.1111111111111111;0.4117647058823529;0.1111111111111111;0.17500000000000002;7;10;56
mug;63;0.0;0.09523809523809523;1.0;0.09523809523809523;0.17391304347826084;6;0;57
telephone;63;0.6666666666666666;0.09523809523809523;0.6666666666666666;0.09523809523809523;0.16666666666666666;6;3;57
table;63;0.3333333333333333;0.09523809523809523;0.3157894736842105;0.09523809523809523;0.14634146341463414;6;13;57
helmet;63;0.0;0.06349206349206349;1.0;0.06349206349206349;0.11940298507462686;4;0;59
file cabinet;63;0.3333333333333333;0.06349206349206349;0.6666666666666666;0.06349206349206349;0.11594202898550725;4;2;59
mailbox;63;1.0;0.06349206349206349;0.3076923076923077;0.06349206349206349;0.10526315789473684;4;9;59
basket;63;0.0;0.06349206349206349;0.2;0.06349206349206349;0.09638554216867469;4;16;59
rifle;63;0.0;0.047619047619047616;0.75;0.047619047619047616;0.08955223880597014;3;1;60
bag;63;0.0;0.047619047619047616;0.6;0.047619047619047616;0.08823529411764705;3;2;60
bathtub;63;0.0;0.047619047619047616;0.42857142857142855;0.047619047619047616;0.08571428571428572;3;4;60
knife;63;0.0;0.047619047619047616;0.42857142857142855;0.047619047619047616;0.08571428571428572;3;4;60
jar;63;0.0;0.047619047619047616;0.21428571428571427;0.047619047619047616;0.07792207792207793;3;11;60
printer;63;0.3333333333333333;0.047619047619047616;0.1875;0.047619047619047616;0.0759493670886076;3;13;60
motorbike;63;0.0;0.031746031746031744;1.0;0.031746031746031744;0.06153846153846154;2;0;61
bookshelf;63;0.0;0.031746031746031744;1.0;0.031746031746031744;0.06153846153846154;2;0;61
pistol;63;0.0;0.031746031746031744;1.0;0.031746031746031744;0.06153846153846154;2;0;61
cabinet;63;0.0;0.015873015873015872;1.0;0.015873015873015872;0.03125;1;0;62
watercraft;63;0.0;0.015873015873015872;0.3333333333333333;0.015873015873015872;0.030303030303030304;1;2;62
microphone;63;0.0;0.015873015873015872;0.25;0.015873015873015872;0.029850746268656716;1;3;62
tower;63;0.0;0.015873015873015872;0.16666666666666666;0.015873015873015872;0.028985507246376812;1;5;62
loudspeaker;63;0.0;0.015873015873015872;0.07692307692307693;0.015873015873015872;0.02631578947368421;1;12;62
bowl;63;0.0;0.0;0.0;0.0;0.0;0;1;63
bus;63;0.0;0.0;0.0;0.0;0.0;0;0;63
camera;63;0.0;0.0;0.0;0.0;0.0;0;0;63
bed;42;0.0;0.0;0.0;0.0;0.0;0;3;42
earphone;21;0.0;0.0;0.0;0.0;0.0;0;42;21
keyboard;63;0.0;0.0;0.0;0.0;0.0;0;0;63
guitar;21;0.0;0.0;0.0;0.0;0.0;0;1;21
flowerpot;63;0.0;0.0;0.0;0.0;0.0;0;0;63
pillow;63;0.0;0.0;0.0;0.0;0.0;0;0;63
train;63;0.0;0.0;0.0;0.0;0.0;0;0;63
