value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
<unmapped>;231;0.0;0.0;0;
bottle;126;0.2777777777777778;0.3968253968253968;126;0.42857142857142855
bag;63;0.031746031746031744;0.12698412698412698;63;0.047619047619047616
airplane;63;0.1111111111111111;0.36507936507936506;63;0.31746031746031744
basket;63;0.06349206349206349;0.3333333333333333;63;0.06349206349206349
bathtub;63;0.047619047619047616;0.20634920634920634;63;0.047619047619047616
birdhouse;63;0.38095238095238093;0.47619047619047616;63;0.38095238095238093
bench;63;0.14285714285714285;0.1746031746031746;63;0.14285714285714285
bowl;63;0.0;0.0;63;0.0
bookshelf;63;0.031746031746031744;0.06349206349206349;63;0.031746031746031744
bus;63;0.0;0.0;63;0.0
cabinet;63;0.0;0.0;63;0.015873015873015872
chair;63;0.09523809523809523;0.25396825396825395;63;0.2698412698412698
camera;63;0.0;0.0;63;0.0
cap;63;0.15873015873015872;0.20634920634920634;63;0.15873015873015872
car;63;0.047619047619047616;0.14285714285714285;63;0.2222222222222222
dishwasher;63;0.20634920634920634;0.2857142857142857;63;0.20634920634920634
clock;63;0.31746031746031744;0.6507936507936508;63;0.6031746031746031
display;63;0.12698412698412698;0.42857142857142855;63;0.2698412698412698
file cabinet;63;0.06349206349206349;0.14285714285714285;63;0.06349206349206349
train;63;0.0;0.0;63;0.0
flowerpot;63;0.0;0.015873015873015872;63;0.0
jar;63;0.047619047619047616;0.19047619047619047;63;0.047619047619047616
helmet;63;0.06349206349206349;0.09523809523809523;63;0.06349206349206349
keyboard;63;0.0;0.0;63;0.0
knife;63;0.047619047619047616;0.19047619047619047;63;0.047619047619047616
laptop;63;0.2698412698412698;0.47619047619047616;63;0.3968253968253968
lamp;63;0.3333333333333333;0.6349206349206349;63;0.3333333333333333
microphone;63;0.015873015873015872;0.07936507936507936;63;0.015873015873015872
microwaves;63;0.1746031746031746;0.23809523809523808;63;0.1746031746031746
loudspeaker;63;0.015873015873015872;0.06349206349206349;63;0.015873015873015872
mailbox;63;0.06349206349206349;0.12698412698412698;63;0.06349206349206349
motorbike;63;0.031746031746031744;0.031746031746031744;63;0.031746031746031744
mug;63;0.09523809523809523;0.30158730158730157;63;0.09523809523809523
pillow;63;0.0;0.047619047619047616;63;0.0
piano;63;0.09523809523809523;0.23809523809523808;63;0.12698412698412698
washer;63;0.2698412698412698;0.3492063492063492;63;0.2698412698412698
table;63;0.0;0.25396825396825395;63;0.09523809523809523
pistol;63;0.031746031746031744;0.031746031746031744;63;0.031746031746031744
printer;63;0.047619047619047616;0.14285714285714285;63;0.047619047619047616
remote;63;0.23809523809523808;0.30158730158730157;63;0.23809523809523808
rifle;63;0.047619047619047616;0.047619047619047616;63;0.047619047619047616
rocket;63;0.0;0.07936507936507936;63;0.1111111111111111
stove;63;0.19047619047619047;0.49206349206349204;63;0.19047619047619047
watercraft;63;0.0;0.015873015873015872;63;0.015873015873015872
trash bin;63;0.30158730158730157;0.36507936507936506;63;0.30158730158730157
telephone;63;0.07936507936507936;0.15873015873015872;63;0.09523809523809523
tower;63;0.0;0.0;63;0.015873015873015872
bed;42;0.0;0.0;42;0.0
earphone;21;0.0;0.23809523809523808;21;0.0
guitar;21;0.0;0.047619047619047616;21;0.0
sofa;21;0.23809523809523808;0.3333333333333333;21;0.23809523809523808
