value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
<unmapped>;231;0.0;0.0;0;
bottle;126;0.2698412698412698;0.3888888888888889;126;0.42063492063492064
bag;63;0.031746031746031744;0.07936507936507936;63;0.031746031746031744
airplane;63;0.1746031746031746;0.25396825396825395;63;0.3492063492063492
basket;63;0.30158730158730157;0.5873015873015873;63;0.31746031746031744
bathtub;63;0.1746031746031746;0.5396825396825397;63;0.1746031746031746
birdhouse;63;0.49206349206349204;0.5555555555555556;63;0.49206349206349204
bench;63;0.38095238095238093;0.5238095238095238;63;0.38095238095238093
bowl;63;0.015873015873015872;0.2698412698412698;63;0.12698412698412698
bookshelf;63;0.23809523809523808;0.3968253968253968;63;0.23809523809523808
bus;63;0.0;0.0;63;0.0
cabinet;63;0.0;0.031746031746031744;63;0.015873015873015872
chair;63;0.4126984126984127;0.5873015873015873;63;0.6507936507936508
camera;63;0.047619047619047616;0.09523809523809523;63;0.047619047619047616
cap;63;0.19047619047619047;0.2698412698412698;63;0.19047619047619047
car;63;0.09523809523809523;0.23809523809523808;63;0.5555555555555556
dishwasher;63;0.4603174603174603;0.6190476190476191;63;0.4603174603174603
clock;63;0.20634920634920634;0.7142857142857143;63;0.6507936507936508
display;63;0.031746031746031744;0.5238095238095238;63;0.20634920634920634
file cabinet;63;0.07936507936507936;0.15873015873015872;63;0.07936507936507936
train;63;0.0;0.0;63;0.0
flowerpot;63;0.14285714285714285;0.2857142857142857;63;0.14285714285714285
jar;63;0.47619047619047616;0.5873015873015873;63;0.47619047619047616
helmet;63;0.4603174603174603;0.5079365079365079;63;0.4603174603174603
keyboard;63;0.015873015873015872;0.1111111111111111;63;0.015873015873015872
knife;63;0.0;0.06349206349206349;63;0.0
laptop;63;0.42857142857142855;0.8095238095238095;63;0.7301587301587301
lamp;63;0.4603174603174603;0.7936507936507936;63;0.4603174603174603
microphone;63;0.06349206349206349;0.19047619047619047;63;0.06349206349206349
microwaves;63;0.25396825396825395;0.4126984126984127;63;0.25396825396825395
loudspeaker;63;0.12698412698412698;0.20634920634920634;63;0.12698412698412698
mailbox;63;0.2698412698412698;0.4603174603174603;63;0.2698412698412698
motorbike;63;0.015873015873015872;0.14285714285714285;63;0.07936507936507936
mug;63;0.31746031746031744;0.6825396825396826;63;0.31746031746031744
pillow;63;0.047619047619047616;0.06349206349206349;63;0.047619047619047616
piano;63;0.6190476190476191;0.6984126984126984;63;0.6507936507936508
washer;63;0.5555555555555556;0.6190476190476191;63;0.5555555555555556
table;63;0.14285714285714285;0.36507936507936506;63;0.2222222222222222
pistol;63;0.06349206349206349;0.09523809523809523;63;0.06349206349206349
printer;63;0.12698412698412698;0.20634920634920634;63;0.12698412698412698
remote;63;0.3968253968253968;0.42857142857142855;63;0.3968253968253968
rifle;63;0.047619047619047616;0.09523809523809523;63;0.09523809523809523
rocket;63;0.06349206349206349;0.09523809523809523;63;0.09523809523809523
stove;63;0.3968253968253968;0.47619047619047616;63;0.3968253968253968
watercraft;63;0.015873015873015872;0.031746031746031744;63;0.031746031746031744
trash bin;63;0.8095238095238095;0.9365079365079365;63;0.8095238095238095
telephone;63;0.12698412698412698;0.1746031746031746;63;0.12698412698412698
tower;63;0.0;0.031746031746031744;63;0.12698412698412698
bed;42;0.0;0.0;42;0.16666666666666666
earphone;21;0.42857142857142855;0.5714285714285714;21;0.42857142857142855
guitar;21;0.42857142857142855;0.6190476190476191;21;0.5714285714285714
sofa;21;0.47619047619047616;0.5714285714285714;21;0.47619047619047616
