value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
acoustic-guitar-1;21;0.7142857142857143;0.7142857142857143;21;0.7142857142857143
analog-clock-1;21;0.6666666666666666;0.8095238095238095;21;0.7142857142857143
assault-rifle-1;21;0.09523809523809523;0.09523809523809523;21;0.09523809523809523
backpack-1;21;0.09523809523809523;0.2857142857142857;21;0.14285714285714285
backpack-2;21;0.0;0.5714285714285714;21;0.23809523809523808
bathtub-1;21;0.5238095238095238;0.8571428571428571;21;0.5238095238095238
bathtub-2;21;0.19047619047619047;0.42857142857142855;21;0.19047619047619047
bathtub-3;21;0.23809523809523808;0.7619047619047619;21;0.23809523809523808
bed-1;21;0.0;0.047619047619047616;21;0.0
bed-2;21;0.0;0.0;21;0.047619047619047616
bench-1;21;0.8571428571428571;0.9047619047619048;21;0.8571428571428571
bench-2;21;0.047619047619047616;0.14285714285714285;21;0.047619047619047616
bench-3;21;0.47619047619047616;0.5714285714285714;21;0.47619047619047616
birdhouse-1;21;0.14285714285714285;0.19047619047619047;21;0.14285714285714285
birdhouse-2;21;0.7619047619047619;0.8095238095238095;21;0.7619047619047619
birdhouse-3;21;0.47619047619047616;0.6190476190476191;21;0.47619047619047616
bookshelf-1;21;0.2857142857142857;0.5238095238095238;21;0.2857142857142857
bookshelf-2;21;0.09523809523809523;0.14285714285714285;21;0.09523809523809523
bookshelf-3;21;0.7142857142857143;0.7619047619047619;21;0.7142857142857143
bullet-train-1;21;0.0;0.0;21;0.0
bus-1;21;0.0;0.0;21;0.0
bus-2;21;0.0;0.0;21;0.0
bus-3;21;0.0;0.0;21;0.0
can-1;21;0.0;0.047619047619047616;21;0.047619047619047616
can-2;21;0.09523809523809523;0.8571428571428571;21;0.8571428571428571
can-3;21;0.0;0.14285714285714285;21;0.14285714285714285
china-cabinet-1;21;0.0;0.23809523809523808;21;0.0
china-cabinet-2;21;0.0;0.0;21;0.0
china-cabinet-3;21;0.0;0.0;21;0.0
computer-keyboard-1;21;0.0;0.047619047619047616;21;0.0
computer-keyboard-2;21;0.047619047619047616;0.2857142857142857;21;0.047619047619047616
computer-keyboard-3;21;0.047619047619047616;0.14285714285714285;21;0.047619047619047616
cowboy-hat-1;21;0.47619047619047616;0.5714285714285714;21;0.47619047619047616
cowboy-hat-2;21;0.0;0.047619047619047616;21;0.0
cowboy-hat-3;21;0.047619047619047616;0.23809523809523808;21;0.047619047619047616
crash-helmet-1;21;0.2857142857142857;0.38095238095238093;21;0.2857142857142857
crash-helmet-2;21;0.047619047619047616;0.14285714285714285;21;0.047619047619047616
crate-1;21;0.09523809523809523;0.2857142857142857;21;0.09523809523809523
day-bed-1;21;0.6190476190476191;0.7619047619047619;21;0.6190476190476191
dining-table-1;21;0.047619047619047616;0.23809523809523808;21;0.047619047619047616
dining-table-2;21;0.0;0.14285714285714285;21;0.3333333333333333
dining-table-3;21;0.5714285714285714;0.8095238095238095;21;0.6666666666666666
dishwasher-1;21;0.6190476190476191;0.6666666666666666;21;0.6190476190476191
dishwasher-2;21;0.38095238095238093;0.6666666666666666;21;0.38095238095238093
dishwasher-3;21;0.047619047619047616;0.2857142857142857;21;0.047619047619047616
earphone-1;21;0.0;0.0;0;
earphone-2;21;0.0;0.0;0;
electric-locomotive-1;21;0.0;0.0;21;0.0
faucet-1;21;0.0;0.0;0;
faucet-2;21;0.0;0.0;0;
faucet-3;21;0.0;0.0;0;
fighter-jet;21;0.19047619047619047;0.8095238095238095;21;0.23809523809523808
file-cabinet-1;21;0.0;0.0;21;0.0
file-cabinet-2;21;0.0;0.047619047619047616;21;0.0
file-cabinet-3;21;0.38095238095238093;0.42857142857142855;21;0.38095238095238093
flowerpot-1;21;0.09523809523809523;0.47619047619047616;21;0.09523809523809523
flowerpot-2;21;0.2857142857142857;0.42857142857142855;21;0.2857142857142857
flowerpot-3;21;0.19047619047619047;0.19047619047619047;21;0.19047619047619047
folding-chair-1;21;0.2857142857142857;0.9047619047619048;21;0.6666666666666666
folding-chair-2;21;0.14285714285714285;0.6666666666666666;21;0.7142857142857143
football-helmet-1;21;0.7142857142857143;0.8571428571428571;21;0.7142857142857143
grand-piano-1;21;0.8095238095238095;0.8571428571428571;21;0.8095238095238095
iPod-1;21;0.09523809523809523;0.19047619047619047;21;0.09523809523809523
knife-1;21;0.0;0.047619047619047616;21;0.0
knife-2;21;0.0;0.14285714285714285;21;0.0
knife-3;21;0.047619047619047616;0.14285714285714285;21;0.047619047619047616
laptop-1;21;0.47619047619047616;0.8095238095238095;21;0.7142857142857143
laptop-2;21;0.42857142857142855;0.8095238095238095;21;0.6666666666666666
laptop-3;21;0.42857142857142855;0.7619047619047619;21;0.6190476190476191
limousine-1;21;0.0;0.047619047619047616;21;0.19047619047619047
loudspeaker-1;21;0.09523809523809523;0.47619047619047616;21;0.09523809523809523
loudspeaker-2;21;0.3333333333333333;0.5238095238095238;21;0.3333333333333333
loudspeaker-3;21;0.0;0.0;21;0.0
mailbox-1;21;0.047619047619047616;0.19047619047619047;21;0.047619047619047616
mailbox-2;21;0.047619047619047616;0.09523809523809523;21;0.047619047619047616
mailbox-3;21;0.047619047619047616;0.09523809523809523;21;0.047619047619047616
microphone-1;21;0.0;0.14285714285714285;21;0.0
microphone-2;21;0.0;0.0;21;0.0
microphone-3;21;0.0;0.0;21;0.0
microwave-1;21;0.5714285714285714;0.5714285714285714;21;0.5714285714285714
microwave-2;21;0.42857142857142855;0.47619047619047616;21;0.42857142857142855
microwave-3;21;0.23809523809523808;0.38095238095238093;21;0.23809523809523808
missile-1;21;0.19047619047619047;0.23809523809523808;21;0.19047619047619047
missile-2;21;0.19047619047619047;0.2857142857142857;21;0.19047619047619047
mixing-bowl-1;21;0.0;0.0;21;0.0
mobile-phone-1;21;0.14285714285714285;0.23809523809523808;21;0.14285714285714285
mobile-phone-2;21;0.23809523809523808;0.5714285714285714;21;0.23809523809523808
mobile-phone-3;21;0.0;0.047619047619047616;21;0.0
monitor-1;21;0.14285714285714285;0.6666666666666666;21;0.19047619047619047
monitor-2;21;0.23809523809523808;0.6666666666666666;21;0.23809523809523808
monitor-3;21;0.19047619047619047;0.5238095238095238;21;0.2857142857142857
moped-1;21;0.047619047619047616;0.09523809523809523;21;0.047619047619047616
moped-2;21;0.0;0.047619047619047616;21;0.047619047619047616
moped-3;21;0.0;0.09523809523809523;21;0.0
mosque-1;21;0.047619047619047616;0.14285714285714285;21;0.2857142857142857
mug-1;21;0.6190476190476191;1.0;21;0.6190476190476191
mug-2;21;0.0;0.19047619047619047;21;0.0
mug-3;21;0.0;0.7142857142857143;21;0.0
obelisk-1;21;0.0;0.0;21;0.09523809523809523
ocean-liner-1;21;0.047619047619047616;0.047619047619047616;21;0.09523809523809523
old-plane;21;0.0;0.14285714285714285;21;0.0
pas-plane;21;0.5238095238095238;0.7142857142857143;21;0.5714285714285714
pill-bottle-1;21;0.19047619047619047;0.3333333333333333;21;0.42857142857142855
pillow-1;21;0.047619047619047616;0.047619047619047616;21;0.047619047619047616
