value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
<unmapped>;231;0.0;0.0;0;
bottle;126;0.2857142857142857;0.5158730158730159;126;0.5
bag;63;0.047619047619047616;0.2222222222222222;63;0.2222222222222222
airplane;63;0.3492063492063492;0.7936507936507936;63;0.4444444444444444
basket;63;0.25396825396825395;0.7777777777777778;63;0.2857142857142857
bathtub;63;0.4603174603174603;0.746031746031746;63;0.4603174603174603
birdhouse;63;0.4603174603174603;0.6190476190476191;63;0.4603174603174603
bench;63;0.4603174603174603;0.5714285714285714;63;0.4603174603174603
bowl;63;0.015873015873015872;0.47619047619047616;63;0.4603174603174603
bookshelf;63;0.30158730158730157;0.4603174603174603;63;0.30158730158730157
bus;63;0.0;0.0;63;0.0
cabinet;63;0.0;0.07936507936507936;63;0.0
chair;63;0.3492063492063492;0.8571428571428571;63;0.7301587301587301
camera;63;0.06349206349206349;0.1746031746031746;63;0.1111111111111111
cap;63;0.1746031746031746;0.42857142857142855;63;0.1746031746031746
car;63;0.047619047619047616;0.4126984126984127;63;0.5873015873015873
dishwasher;63;0.2698412698412698;0.3968253968253968;63;0.2698412698412698
clock;63;0.2222222222222222;0.7777777777777778;63;0.6349206349206349
display;63;0.23809523809523808;0.7619047619047619;63;0.25396825396825395
file cabinet;63;0.1111111111111111;0.2857142857142857;63;0.1111111111111111
train;63;0.0;0.0;63;0.0
flowerpot;63;0.12698412698412698;0.49206349206349204;63;0.12698412698412698
jar;63;0.2857142857142857;0.5873015873015873;63;0.36507936507936506
helmet;63;0.38095238095238093;0.5555555555555556;63;0.38095238095238093
keyboard;63;0.12698412698412698;0.3968253968253968;63;0.12698412698412698
knife;63;0.0;0.1746031746031746;63;0.0
laptop;63;0.6825396825396826;0.9365079365079365;63;0.7619047619047619
lamp;63;0.5396825396825397;0.7619047619047619;63;0.5396825396825397
microphone;63;0.015873015873015872;0.1111111111111111;63;0.015873015873015872
microwaves;63;0.4444444444444444;0.5396825396825397;63;0.4444444444444444
loudspeaker;63;0.15873015873015872;0.30158730158730157;63;0.15873015873015872
mailbox;63;0.06349206349206349;0.31746031746031744;63;0.06349206349206349
motorbike;63;0.0;0.12698412698412698;63;0.015873015873015872
mug;63;0.3333333333333333;0.6666666666666666;63;0.3333333333333333
pillow;63;0.047619047619047616;0.06349206349206349;63;0.047619047619047616
piano;63;0.7301587301587301;0.8412698412698413;63;0.746031746031746
washer;63;0.5555555555555556;0.6031746031746031;63;0.5555555555555556
table;63;0.20634920634920634;0.4444444444444444;63;0.30158730158730157
pistol;63;0.09523809523809523;0.09523809523809523;63;0.09523809523809523
printer;63;0.1746031746031746;0.3333333333333333;63;0.1746031746031746
remote;63;0.5873015873015873;0.6666666666666666;63;0.5873015873015873
rifle;63;0.06349206349206349;0.09523809523809523;63;0.07936507936507936
rocket;63;0.12698412698412698;0.3492063492063492;63;0.19047619047619047
stove;63;0.4126984126984127;0.5238095238095238;63;0.4126984126984127
watercraft;63;0.06349206349206349;0.1111111111111111;63;0.09523809523809523
trash bin;63;0.8095238095238095;0.9365079365079365;63;0.8095238095238095
telephone;63;0.15873015873015872;0.3492063492063492;63;0.15873015873015872
tower;63;0.015873015873015872;0.09523809523809523;63;0.12698412698412698
bed;42;0.0;0.09523809523809523;42;0.047619047619047616
earphone;21;0.09523809523809523;0.2857142857142857;21;0.09523809523809523
guitar;21;0.7619047619047619;0.7619047619047619;21;0.7619047619047619
sofa;21;0.6666666666666666;0.9047619047619048;21;0.6666666666666666
