value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
<unmapped>;231;0.0;0.0;0;
bottle;126;0.1984126984126984;0.5079365079365079;126;0.5
bag;63;0.031746031746031744;0.15873015873015872;63;0.12698412698412698
airplane;63;0.2857142857142857;0.6349206349206349;63;0.4126984126984127
basket;63;0.2222222222222222;0.6031746031746031;63;0.23809523809523808
bathtub;63;0.2857142857142857;0.5873015873015873;63;0.2857142857142857
birdhouse;63;0.5238095238095238;0.5873015873015873;63;0.5238095238095238
bench;63;0.4603174603174603;0.6190476190476191;63;0.4603174603174603
bowl;63;0.0;0.4126984126984127;63;0.38095238095238093
bookshelf;63;0.49206349206349204;0.6666666666666666;63;0.49206349206349204
bus;63;0.0;0.0;63;0.0
cabinet;63;0.0;0.047619047619047616;63;0.015873015873015872
chair;63;0.6031746031746031;0.873015873015873;63;0.7142857142857143
camera;63;0.031746031746031744;0.2222222222222222;63;0.06349206349206349
cap;63;0.20634920634920634;0.2698412698412698;63;0.20634920634920634
car;63;0.12698412698412698;0.36507936507936506;63;0.4603174603174603
dishwasher;63;0.25396825396825395;0.3968253968253968;63;0.25396825396825395
clock;63;0.25396825396825395;0.7301587301587301;63;0.7142857142857143
display;63;0.14285714285714285;0.5555555555555556;63;0.20634920634920634
file cabinet;63;0.19047619047619047;0.19047619047619047;63;0.19047619047619047
train;63;0.0;0.0;63;0.0
flowerpot;63;0.1111111111111111;0.5079365079365079;63;0.1111111111111111
jar;63;0.2698412698412698;0.5555555555555556;63;0.2857142857142857
helmet;63;0.5079365079365079;0.5873015873015873;63;0.5396825396825397
keyboard;63;0.047619047619047616;0.15873015873015872;63;0.047619047619047616
knife;63;0.0;0.06349206349206349;63;0.0
laptop;63;0.5396825396825397;0.7619047619047619;63;0.6190476190476191
lamp;63;0.5396825396825397;0.6666666666666666;63;0.5396825396825397
microphone;63;0.031746031746031744;0.1746031746031746;63;0.031746031746031744
microwaves;63;0.1111111111111111;0.2698412698412698;63;0.1111111111111111
loudspeaker;63;0.1111111111111111;0.15873015873015872;63;0.1111111111111111
mailbox;63;0.0;0.09523809523809523;63;0.0
motorbike;63;0.0;0.07936507936507936;63;0.06349206349206349
mug;63;0.25396825396825395;0.6031746031746031;63;0.25396825396825395
pillow;63;0.031746031746031744;0.047619047619047616;63;0.031746031746031744
piano;63;0.5238095238095238;0.6031746031746031;63;0.5396825396825397
washer;63;0.3968253968253968;0.4603174603174603;63;0.3968253968253968
table;63;0.12698412698412698;0.30158730158730157;63;0.20634920634920634
pistol;63;0.07936507936507936;0.09523809523809523;63;0.07936507936507936
printer;63;0.1746031746031746;0.31746031746031744;63;0.1746031746031746
remote;63;0.38095238095238093;0.5079365079365079;63;0.38095238095238093
rifle;63;0.06349206349206349;0.09523809523809523;63;0.09523809523809523
rocket;63;0.06349206349206349;0.1111111111111111;63;0.07936507936507936
stove;63;0.4126984126984127;0.5238095238095238;63;0.4126984126984127
watercraft;63;0.0;0.015873015873015872;63;0.031746031746031744
trash bin;63;0.6349206349206349;0.8253968253968254;63;0.6349206349206349
telephone;63;0.031746031746031744;0.20634920634920634;63;0.031746031746031744
tower;63;0.0;0.0;63;0.06349206349206349
bed;42;0.0;0.0;42;0.023809523809523808
earphone;21;0.047619047619047616;0.23809523809523808;21;0.047619047619047616
guitar;21;0.6190476190476191;0.6190476190476191;21;0.6190476190476191
sofa;21;0.6666666666666666;0.8095238095238095;21;0.6666666666666666
