class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
560;football helmet;21;1.0;0.6190476190476191;0.9285714285714286;0.6190476190476191;0.742857142857143;13;1;8
402;acoustic guitar;21;1.0;0.47619047619047616;0.7692307692307693;0.47619047619047616;0.588235294117647;10;3;11
907;wine bottle;21;1.0;0.5238095238095238;0.55;0.5238095238095238;0.5365853658536585;11;9;10
504;coffee mug;63;0.6666666666666666;0.38095238095238093;0.8888888888888888;0.38095238095238093;0.5333333333333333;24;3;39
761;remote control, remote;63;0.6666666666666666;0.3333333333333333;0.9130434782608695;0.3333333333333333;0.48837209302325574;21;2;42
412;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;63;1.0;0.746031746031746;0.32413793103448274;0.746031746031746;0.45192307692307687;47;98;16
651;microwave, microwave oven;63;0.0;0.30158730158730157;0.6551724137931034;0.30158730158730157;0.4130434782608695;19;10;44
664;monitor;63;0.3333333333333333;0.30158730158730157;0.6129032258064516;0.30158730158730157;0.40425531914893614;19;12;44
898;water bottle;21;0.0;0.6666666666666666;0.2857142857142857;0.6666666666666666;0.4;14;35;7
897;washer, automatic washer, washing machine;63;0.3333333333333333;0.2698412698412698;0.7727272727272727;0.2698412698412698;0.39999999999999997;17;5;46
895;warplane, military plane;21;1.0;0.3333333333333333;0.3888888888888889;0.3333333333333333;0.358974358974359;7;11;14
827;stove;63;0.3333333333333333;0.20634920634920634;0.8666666666666667;0.20634920634920634;0.3333333333333333;13;2;50
409;analog clock;21;1.0;0.42857142857142855;0.2727272727272727;0.42857142857142855;0.33333333333333326;9;24;12
846;table lamp;63;0.3333333333333333;0.30158730158730157;0.35185185185185186;0.30158730158730157;0.32478632478632474;19;35;44
703;park bench;63;0.3333333333333333;0.2857142857142857;0.3673469387755102;0.2857142857142857;0.3214285714285714;18;31;45
831;studio couch, day bed;21;0.0;0.47619047619047616;0.23255813953488372;0.47619047619047616;0.3125;10;33;11
883;vase;63;0.3333333333333333;0.25396825396825395;0.36363636363636365;0.25396825396825395;0.29906542056074764;16;28;47
404;airliner;42;1.0;0.19047619047619047;0.6153846153846154;0.19047619047619047;0.2909090909090909;8;5;34
448;birdhouse;63;0.3333333333333333;0.1746031746031746;0.8461538461538461;0.1746031746031746;0.2894736842105263;11;2;52
532;dining table, board;63;0.3333333333333333;0.2222222222222222;0.3684210526315789;0.2222222222222222;0.27722772277227725;14;24;49
487;cellular telephone, cellular phone, cellphone, cell, mobile phone;63;0.6666666666666666;0.14285714285714285;1.0;0.14285714285714285;0.25;9;0;54
453;bookcase;63;0.0;0.12698412698412698;1.0;0.12698412698412698;0.22535211267605632;8;0;55
790;shopping basket;42;0.0;0.14285714285714285;0.46153846153846156;0.14285714285714285;0.21818181818181817;6;7;36
559;folding chair;42;0.0;0.23809523809523808;0.1694915254237288;0.23809523809523808;0.19801980198019803;10;49;32
763;revolver, six-gun, six-shooter;63;0.0;0.09523809523809523;1.0;0.09523809523809523;0.17391304347826084;6;0;57
515;cowboy hat, ten-gallon hat;63;0.3333333333333333;0.09523809523809523;0.8571428571428571;0.09523809523809523;0.17142857142857143;6;1;57
620;laptop, laptop computer;63;0.0;0.09523809523809523;0.8571428571428571;0.09523809523809523;0.17142857142857143;6;1;57
650;microphone, mike;63;0.0;0.1111111111111111;0.35;0.1111111111111111;0.1686746987951807;7;13;56
518;crash helmet;42;0.0;0.09523809523809523;0.5714285714285714;0.09523809523809523;0.16326530612244897;4;3;38
861;toilet seat;21;0.0;0.09523809523809523;0.4;0.09523809523809523;0.15384615384615385;2;3;19
892;wall clock;42;0.0;0.09523809523809523;0.4;0.09523809523809523;0.15384615384615385;4;6;38
413;assault rifle, assault gun;21;0.0;0.09523809523809523;0.4;0.09523809523809523;0.15384615384615385;2;3;19
579;grand piano, grand;21;0.0;0.14285714285714285;0.16666666666666666;0.14285714285714285;0.15384615384615383;3;15;18
665;moped;63;0.0;0.07936507936507936;1.0;0.07936507936507936;0.14705882352941177;5;0;58
742;printer;63;0.0;0.09523809523809523;0.25;0.09523809523809523;0.13793103448275862;6;18;57
553;file, file cabinet, filing cabinet;63;0.3333333333333333;0.09523809523809523;0.21428571428571427;0.09523809523809523;0.13186813186813184;6;22;57
435;bathtub, bathing tub, bath, tub;63;0.0;0.07936507936507936;0.38461538461538464;0.07936507936507936;0.13157894736842105;5;8;58
623;letter opener, paper knife, paperknife;63;0.0;0.07936507936507936;0.22727272727272727;0.07936507936507936;0.11764705882352942;5;17;58
414;backpack, back pack, knapsack, packsack, rucksack, haversack;42;0.0;0.047619047619047616;1.0;0.047619047619047616;0.0909090909090909;2;0;40
814;speedboat;21;0.0;0.047619047619047616;1.0;0.047619047619047616;0.0909090909090909;1;0;20
534;dishwasher, dish washer, dishwashing machine;63;0.3333333333333333;0.047619047619047616;0.75;0.047619047619047616;0.08955223880597014;3;1;60
764;rifle;42;0.0;0.047619047619047616;0.6666666666666666;0.047619047619047616;0.08888888888888889;2;1;40
605;iPod;21;0.0;0.09523809523809523;0.08;0.09523809523809523;0.08695652173913043;2;23;19
657;missile;42;0.5;0.07142857142857142;0.1111111111111111;0.07142857142857142;0.08695652173913043;3;24;39
632;loudspeaker, speaker, speaker unit, loudspeaker system, speaker system;63;0.6666666666666666;0.047619047619047616;0.13636363636363635;0.047619047619047616;0.07058823529411765;3;19;60
737;pop bottle, soda bottle;63;0.0;0.031746031746031744;0.2222222222222222;0.031746031746031744;0.05555555555555555;2;7;61
809;soup bowl;42;0.0;0.023809523809523808;0.5;0.023809523809523808;0.04545454545454545;1;1;41
738;pot, flowerpot;63;0.0;0.015873015873015872;1.0;0.015873015873015872;0.03125;1;0;62
759;reflex camera;63;0.0;0.015873015873015872;0.3333333333333333;0.015873015873015872;0.030303030303030304;1;2;62
721;pillow;63;0.0;0.015873015873015872;0.3333333333333333;0.015873015873015872;0.030303030303030304;1;2;62
0;tench, Tinca tinca;231;0.0;0.0;0.0;0.0;0.0;0;0;231
466;bullet train, bullet;21;0.0;0.0;0.0;0.0;0.0;0;0;21
495;china cabinet, china closet;63;0.0;0.0;0.0;0.0;0.0;0;0;63
508;computer keyboard, keypad;63;0.0;0.0;0.0;0.0;0.0;0;0;63
519;crate;21;0.0;0.0;0.0;0.0;0.0;0;11;21
547;electric locomotive;21;0.0;0.0;0.0;0.0;0.0;0;0;21
564;four-poster;42;0.0;0.0;0.0;0.0;0.0;0;0;42
682;obelisk;21;0.0;0.0;0.0;0.0;0.0;0;7;21
668;mosque;21;0.0;0.0;0.0;0.0;0.0;0;0;21
659;mixing bowl;21;0.0;0.0;0.0;0.0;0.0;0;12;21
637;mailbox, letter box;63;0.0;0.0;0.0;0.0;0.0;0;5;63
628;liner, ocean liner;21;0.0;0.0;0.0;0.0;0.0;0;0;21
627;limousine, limo;21;0.0;0.0;0.0;0.0;0.0;0;0;21
720;pill bottle;21;0.0;0.0;0.0;0.0;0.0;0;0;21
751;racer, race car, racing car;21;0.0;0.0;0.0;0.0;0.0;0;1;21
812;space shuttle;21;0.0;0.0;0.0;0.0;0.0;0;1;21
779;school bus;63;0.0;0.0;0.0;0.0;0.0;0;0;63
728;plastic bag;21;0.0;0.0;0.0;0.0;0.0;0;7;21
817;sports car, sport car;21;0.0;0.0;0.0;0.0;0.0;0;3;21
881;upright, upright piano;42;0.0;0.0;0.0;0.0;0.0;0;0;42
820;steam locomotive;21;0.0;0.0;0.0;0.0;0.0;0;0;21
900;water tower;21;0.0;0.0;0.0;0.0;0.0;0;1;21
914;yawl;21;0.0;0.0;0.0;0.0;0.0;0;0;21
