value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
<unmapped>;231;0.0;0.0;0;
bottle;126;0.21428571428571427;0.36507936507936506;126;0.40476190476190477
bag;63;0.031746031746031744;0.09523809523809523;63;0.09523809523809523
airplane;63;0.23809523809523808;0.4444444444444444;63;0.36507936507936506
basket;63;0.09523809523809523;0.42857142857142855;63;0.1111111111111111
bathtub;63;0.07936507936507936;0.2857142857142857;63;0.07936507936507936
birdhouse;63;0.1746031746031746;0.25396825396825395;63;0.1746031746031746
bench;63;0.2857142857142857;0.3968253968253968;63;0.2857142857142857
bowl;63;0.015873015873015872;0.3968253968253968;63;0.20634920634920634
bookshelf;63;0.12698412698412698;0.19047619047619047;63;0.12698412698412698
bus;63;0.0;0.0;63;0.0
cabinet;63;0.0;0.0;63;0.0
chair;63;0.19047619047619047;0.4126984126984127;63;0.3333333333333333
camera;63;0.015873015873015872;0.06349206349206349;63;0.015873015873015872
cap;63;0.09523809523809523;0.2857142857142857;63;0.1111111111111111
car;63;0.0;0.1111111111111111;63;0.1746031746031746
dishwasher;63;0.047619047619047616;0.14285714285714285;63;0.047619047619047616
clock;63;0.20634920634920634;0.5873015873015873;63;0.5396825396825397
display;63;0.30158730158730157;0.4126984126984127;63;0.36507936507936506
file cabinet;63;0.09523809523809523;0.2222222222222222;63;0.09523809523809523
train;63;0.0;0.0;63;0.0
flowerpot;63;0.015873015873015872;0.2222222222222222;63;0.015873015873015872
jar;63;0.25396825396825395;0.47619047619047616;63;0.25396825396825395
helmet;63;0.2698412698412698;0.3492063492063492;63;0.30158730158730157
keyboard;63;0.0;0.015873015873015872;63;0.0
knife;63;0.07936507936507936;0.20634920634920634;63;0.07936507936507936
laptop;63;0.09523809523809523;0.1746031746031746;63;0.14285714285714285
lamp;63;0.30158730158730157;0.5714285714285714;63;0.30158730158730157
microphone;63;0.1111111111111111;0.23809523809523808;63;0.1111111111111111
microwaves;63;0.30158730158730157;0.38095238095238093;63;0.30158730158730157
loudspeaker;63;0.047619047619047616;0.19047619047619047;63;0.047619047619047616
mailbox;63;0.0;0.047619047619047616;63;0.0
motorbike;63;0.07936507936507936;0.1111111111111111;63;0.09523809523809523
mug;63;0.38095238095238093;0.6507936507936508;63;0.38095238095238093
pillow;63;0.015873015873015872;0.015873015873015872;63;0.015873015873015872
piano;63;0.047619047619047616;0.20634920634920634;63;0.25396825396825395
washer;63;0.2698412698412698;0.31746031746031744;63;0.2698412698412698
table;63;0.2222222222222222;0.36507936507936506;63;0.25396825396825395
pistol;63;0.09523809523809523;0.09523809523809523;63;0.09523809523809523
printer;63;0.09523809523809523;0.1746031746031746;63;0.09523809523809523
remote;63;0.3333333333333333;0.42857142857142855;63;0.3333333333333333
rifle;63;0.06349206349206349;0.09523809523809523;63;0.09523809523809523
rocket;63;0.047619047619047616;0.1111111111111111;63;0.1111111111111111
stove;63;0.20634920634920634;0.3492063492063492;63;0.20634920634920634
watercraft;63;0.015873015873015872;0.047619047619047616;63;0.031746031746031744
trash bin;63;0.746031746031746;0.8095238095238095;63;0.746031746031746
telephone;63;0.14285714285714285;0.2222222222222222;63;0.14285714285714285
tower;63;0.0;0.09523809523809523;63;0.015873015873015872
bed;42;0.0;0.023809523809523808;42;0.0
earphone;21;0.09523809523809523;0.14285714285714285;21;0.09523809523809523
guitar;21;0.47619047619047616;0.47619047619047616;21;0.47619047619047616
sofa;21;0.47619047619047616;0.6666666666666666;21;0.47619047619047616
