class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
907;wine bottle;21;1.0;0.7619047619047619;0.8888888888888888;0.7619047619047619;0.8205128205128205;16;2;5
560;football helmet;21;1.0;0.6190476190476191;1.0;0.6190476190476191;0.7647058823529412;13;0;8
402;acoustic guitar;21;1.0;0.47619047619047616;0.9090909090909091;0.47619047619047616;0.6249999999999999;10;1;11
761;remote control, remote;63;0.6666666666666666;0.42857142857142855;0.7941176470588235;0.42857142857142855;0.5567010309278351;27;7;36
651;microwave, microwave oven;63;0.3333333333333333;0.36507936507936506;0.8846153846153846;0.36507936507936506;0.5168539325842696;23;3;40
881;upright, upright piano;42;1.0;0.3333333333333333;0.9333333333333333;0.3333333333333333;0.4912280701754386;14;1;28
895;warplane, military plane;21;1.0;0.42857142857142855;0.5294117647058824;0.42857142857142855;0.4736842105263158;9;8;12
412;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;63;1.0;0.7619047619047619;0.3333333333333333;0.7619047619047619;0.463768115942029;48;96;15
846;table lamp;63;0.3333333333333333;0.3492063492063492;0.6875;0.3492063492063492;0.46315789473684205;22;10;41
897;washer, automatic washer, washing machine;63;0.3333333333333333;0.31746031746031744;0.7142857142857143;0.31746031746031744;0.43956043956043955;20;8;43
579;grand piano, grand;21;1.0;0.3333333333333333;0.5833333333333334;0.3333333333333333;0.4242424242424242;7;5;14
827;stove;63;0.3333333333333333;0.2857142857142857;0.8181818181818182;0.2857142857142857;0.4235294117647059;18;4;45
409;analog clock;21;1.0;0.5238095238095238;0.34375;0.5238095238095238;0.4150943396226415;11;21;10
883;vase;63;0.3333333333333333;0.3492063492063492;0.4583333333333333;0.3492063492063492;0.39639639639639634;22;26;41
703;park bench;63;0.6666666666666666;0.3968253968253968;0.373134328358209;0.3968253968253968;0.38461538461538464;25;42;38
448;birdhouse;63;0.6666666666666666;0.25396825396825395;0.7272727272727273;0.25396825396825395;0.3764705882352941;16;6;47
738;pot, flowerpot;63;1.0;0.25396825396825395;0.64;0.25396825396825395;0.36363636363636365;16;9;47
898;water bottle;21;1.0;0.5238095238095238;0.24444444444444444;0.5238095238095238;0.3333333333333333;11;34;10
892;wall clock;42;0.5;0.23809523809523808;0.5263157894736842;0.23809523809523808;0.3278688524590164;10;9;32
504;coffee mug;63;0.3333333333333333;0.1746031746031746;0.7333333333333333;0.1746031746031746;0.28205128205128205;11;4;52
790;shopping basket;42;0.0;0.19047619047619047;0.5333333333333333;0.19047619047619047;0.2807017543859649;8;7;34
831;studio couch, day bed;21;1.0;0.6666666666666666;0.17721518987341772;0.6666666666666666;0.28;14;65;7
487;cellular telephone, cellular phone, cellphone, cell, mobile phone;63;0.3333333333333333;0.15873015873015872;1.0;0.15873015873015872;0.27397260273972607;10;0;53
532;dining table, board;63;0.3333333333333333;0.1746031746031746;0.6111111111111112;0.1746031746031746;0.2716049382716049;11;7;52
664;monitor;63;0.0;0.19047619047619047;0.3333333333333333;0.19047619047619047;0.24242424242424246;12;24;51
559;folding chair;42;0.5;0.19047619047619047;0.3076923076923077;0.19047619047619047;0.23529411764705882;8;18;34
453;bookcase;63;0.3333333333333333;0.12698412698412698;1.0;0.12698412698412698;0.22535211267605632;8;0;55
435;bathtub, bathing tub, bath, tub;63;0.3333333333333333;0.14285714285714285;0.5;0.14285714285714285;0.22222222222222224;9;9;54
534;dishwasher, dish washer, dishwashing machine;63;0.6666666666666666;0.12698412698412698;0.7272727272727273;0.12698412698412698;0.2162162162162162;8;3;55
620;laptop, laptop computer;63;0.0;0.09523809523809523;0.5;0.09523809523809523;0.16;6;6;57
413;assault rifle, assault gun;21;0.0;0.09523809523809523;0.4;0.09523809523809523;0.15384615384615385;2;3;19
