superclass;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
clock;63;1.0;0.6507936507936508;0.6119402985074627;0.6507936507936508;0.6307692307692307;41;26;22
mug;63;0.6666666666666666;0.4126984126984127;0.9285714285714286;0.4126984126984127;0.5714285714285714;26;2;37
bottle;126;0.5;0.4603174603174603;0.725;0.4603174603174603;0.5631067961165048;58;22;68
airplane;63;0.6666666666666666;0.42857142857142855;0.6923076923076923;0.42857142857142855;0.5294117647058824;27;12;36
bench;63;0.6666666666666666;0.4126984126984127;0.65;0.4126984126984127;0.5048543689320388;26;14;37
guitar;21;1.0;0.3333333333333333;1.0;0.3333333333333333;0.5;7;0;14
remote;63;1.0;0.3333333333333333;0.875;0.3333333333333333;0.48275862068965514;21;3;42
microwaves;63;1.0;0.4603174603174603;0.453125;0.4603174603174603;0.4566929133858268;29;35;34
washer;63;0.6666666666666666;0.30158730158730157;0.8636363636363636;0.30158730158730157;0.4470588235294118;19;3;44
piano;63;0.6666666666666666;0.30158730158730157;0.76;0.30158730158730157;0.43181818181818177;19;6;44
birdhouse;63;0.3333333333333333;0.2857142857142857;0.8181818181818182;0.2857142857142857;0.4235294117647059;18;4;45
display;63;0.0;0.31746031746031744;0.47619047619047616;0.31746031746031744;0.38095238095238093;20;22;43
trash bin;63;0.6666666666666666;0.6825396825396826;0.2606060606060606;0.6825396825396826;0.37719298245614036;43;122;20
lamp;63;0.3333333333333333;0.42857142857142855;0.313953488372093;0.42857142857142855;0.36241610738255037;27;59;36
jar;63;0.0;0.2857142857142857;0.45;0.2857142857142857;0.3495145631067961;18;22;45
chair;63;0.6666666666666666;0.5079365079365079;0.2601626016260163;0.5079365079365079;0.34408602150537637;32;91;31
helmet;63;0.3333333333333333;0.2222222222222222;0.7;0.2222222222222222;0.3373493975903614;14;6;49
telephone;63;0.3333333333333333;0.2222222222222222;0.7;0.2222222222222222;0.3373493975903614;14;6;49
stove;63;0.3333333333333333;0.20634920634920634;0.8125;0.20634920634920634;0.3291139240506329;13;3;50
laptop;63;0.0;0.31746031746031744;0.29850746268656714;0.31746031746031744;0.30769230769230765;20;47;43
car;63;0.3333333333333333;0.1746031746031746;0.9166666666666666;0.1746031746031746;0.29333333333333333;11;1;52
bookshelf;63;0.3333333333333333;0.15873015873015872;1.0;0.15873015873015872;0.27397260273972607;10;0;53
table;63;0.6666666666666666;0.4126984126984127;0.2047244094488189;0.4126984126984127;0.2736842105263158;26;101;37
bowl;63;0.0;0.14285714285714285;1.0;0.14285714285714285;0.25;9;0;54
sofa;21;1.0;0.6190476190476191;0.15476190476190477;0.6190476190476191;0.24761904761904763;13;71;8
dishwasher;63;0.6666666666666666;0.12698412698412698;1.0;0.12698412698412698;0.22535211267605632;8;0;55
bathtub;63;0.0;0.12698412698412698;0.5;0.12698412698412698;0.20253164556962025;8;8;55
basket;63;0.0;0.12698412698412698;0.4;0.12698412698412698;0.19277108433734938;8;12;55
bag;63;0.0;0.1111111111111111;0.7;0.1111111111111111;0.19178082191780818;7;3;56
pistol;63;0.0;0.09523809523809523;1.0;0.09523809523809523;0.17391304347826084;6;0;57
rifle;63;0.0;0.09523809523809523;0.5454545454545454;0.09523809523809523;0.16216216216216217;6;5;57
microphone;63;0.3333333333333333;0.12698412698412698;0.20512820512820512;0.12698412698412698;0.1568627450980392;8;31;55
rocket;63;0.3333333333333333;0.09523809523809523;0.3333333333333333;0.09523809523809523;0.14814814814814814;6;12;57
camera;63;0.0;0.06349206349206349;0.5714285714285714;0.06349206349206349;0.11428571428571427;4;3;59
file cabinet;63;0.3333333333333333;0.06349206349206349;0.36363636363636365;0.06349206349206349;0.1081081081081081;4;7;59
printer;63;0.0;0.07936507936507936;0.16129032258064516;0.07936507936507936;0.10638297872340426;5;26;58
motorbike;63;0.0;0.047619047619047616;0.6;0.047619047619047616;0.08823529411764705;3;2;60
bed;42;0.0;0.047619047619047616;0.25;0.047619047619047616;0.08;2;6;40
loudspeaker;63;0.3333333333333333;0.047619047619047616;0.23076923076923078;0.047619047619047616;0.07894736842105264;3;10;60
flowerpot;63;0.3333333333333333;0.031746031746031744;1.0;0.031746031746031744;0.06153846153846154;2;0;61
cap;63;0.0;0.031746031746031744;0.4;0.031746031746031744;0.058823529411764705;2;3;61
knife;63;0.0;0.031746031746031744;0.2;0.031746031746031744;0.0547945205479452;2;8;61
mailbox;63;0.0;0.031746031746031744;0.06896551724137931;0.031746031746031744;0.04347826086956521;2;27;61
pillow;63;0.0;0.015873015873015872;1.0;0.015873015873015872;0.03125;1;0;62
watercraft;63;0.0;0.015873015873015872;1.0;0.015873015873015872;0.03125;1;0;62
cabinet;63;0.0;0.0;0.0;0.0;0.0;0;3;63
bus;63;0.0;0.0;0.0;0.0;0.0;0;0;63
earphone;21;0.0;0.0;0.0;0.0;0.0;0;5;21
keyboard;63;0.0;0.0;0.0;0.0;0.0;0;0;63
tower;63;0.0;0.0;0.0;0.0;0.0;0;2;63
train;63;0.0;0.0;0.0;0.0;0.0;0;0;63
