Model;IN1k Top1;ShapeNet Top1;AUROC IN1k;ECE IN1k
DINOv3-L-KNN;0.3504899321632389;0;0.7701399053995689;0.2535976316233112
CLIP-L-IN1K-LOGITS;0.3327231614084204;0;0.7792523055053782;0.24524066095731095
DINOv2-L-IN1K-LOGITS;0.3325616453106493;0;0.7892223895107765;0.20344214030175747
CLIP-L-IN1K-KNN;0.32707009798643266;0;0.7654655500012018;0.364303442219432
DINOv2-L-KNN;0.3163561968342845;0;0.7603163976552859;0.30277396361547637
Swin-L-IN1K-LOGITS;0.2999892322601486;0;0.765726872545866;0.21808308970752335
Hiera_L-IN1K-LOGITS;0.29762032949283945;0;0.7770221819464156;0.23641374065735576
DINOv2-B-IN1K-LOGITS;0.2920749434693658;0;0.8010709931157702;0.22171285528020937
CLIP-B-IN1K-LOGITS;0.2919134273715947;0;0.7790504321517006;0.25765231146781115
Hiera_L-IN1K-KNN;0.2819532680090449;0;0.7776867090020743;0.36335444769115977
CLIP-B-IN1K-LINEAR_PROBE;0.27646172068482827;0;0.7919592246055656;0.26072918970749404
DINOv2-L-IN1K-KNN;0.2743081727145472;0;0.7889138856714633;0.20384207271224808
Swin-B-IN1K-LOGITS;0.2732313987294067;0;0.7688249777305161;0.2063400130540444
DINOv2-B-KNN;0.27236997954129427;0;0.7717357526726616;0.29045500480464104
Swin-L-KNN;0.27145472165392487;0;0.7774106755397727;0.31067649897096095
Swin-L-IN1K-KNN;0.27145472165392487;0;0.7774106755397727;0.31067649897096095
CLIP-B-IN1K-KNN;0.2680628836007322;0;0.7962610008745077;0.3255898231201021
Hiera_B-LOGITS;0.26585549693119415;0;0.7697419102770511;0.21393941906177025
Swin-S-IN1K-LOGITS;0.2649402390438247;0;0.7785883955436049;0.19761947133998842
Swin-B-IN1K-LINEAR_PROBE;0.261333046193604;0;0.7903676193239083;0.24886328785719747
DINOv2-B-IN1K-LINEAR_PROBE;0.25433401529019056;0;0.7793737562550246;0.2432650154359423
Swin-B-IN1K-KNN;0.25336491870356415;0;0.7796477666115744;0.3181255824528566
Hiera_B-KNN;0.24345859804027134;0;0.7742416160585318;0.345375424331788
Hiera_S-IN1K-LOGITS;0.24281253364918703;0;0.7769368064647137;0.22595774540799013
DINOv2-B-IN1K-KNN;0.23968988909227953;0;0.7881808862902193;0.2154913945688143
DINOv2-S-IN1K-LOGITS;0.23850543770862495;0;0.7927777525969582;0.22301005608583405
Swin-S-IN1K-KNN;0.2334445999784645;0;0.7757863373908708;0.2887518792502928
CLIP-L-KNN;0.23226014859480995;0;0.8170286441417454;0.07808692990944129
Swin-B-KNN;0.22649940777430816;0;0.7704721449428624;0.3444132930343934
DINOv2-S-KNN;0.2263378916765371;0;0.7624676965371482;0.22806241605729685
Hiera_S-IN1K-KNN;0.22246150533003123;0;0.7690526267033619;0.3346535168436534
Swin-S-KNN;0.21460105523850545;0;0.7681515995592471;0.32418490636019154
ResNet-50-IN1K-LOGITS;0.1954344783030042;0;0.7927236153632883;0.3518594409313759
DINOv2-S-IN1K-KNN;0.18434370625605687;0;0.7622664322507018;0.18611652552648295
DINOv3-S-KNN;0.1790136750296113;0;0.761124156052141;0.164223770403905
ViT-L-IN1K-LOGITS;0.17659093356304512;0;0.7741611667416204;0.34536605560575473
CLIP-B-KNN;0.17314525681059545;0;0.7988811011520079;0.08870872757451245
ViT-L-IN1K-KNN;0.15742435662754387;0;0.799847729269284;0.2118421332092152
ViT-B-IN1K-LOGITS;0.15279422849143964;0;0.7770635880506153;0.3358480314450075
ResNet-50-IN1K-KNN;0.1518789706040702;0;0.8456159090846186;0.13817939788497816
ViT-B-IN1K-KNN;0.12964358781091848;0;0.8084548885051807;0.19548609866990818
DINOv3-B-KNN;0.10929255949176268;0;0.7517820220864975;0.144260753673988
DINOv1-B-KNN;0.10837730160439324;0;0.7782291441599652;0.18032564184544891
DINOv1-S-KNN;0.09017982125551846;0;0.7644766050804032;0.17604490237586704
ResNet-50-KNN;0.08043501668999677;0;0.7850658488755959;0.13079152260823257
