rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;clip_l__knn;CLIP-L-KNN;0.23226014859480995;0.3597501884354474;0.0;0;0;0;0.0
2;clip_l_in1k__knn;CLIP-L-IN1K-KNN;0.32707009798643266;0.42069559599440076;0.0;0;0;0;0.0
3;clip_l_in1k__logits;CLIP-L-IN1K-LOGITS;0.3327231614084204;0.4745342952514267;0.0;0;0;0;0.0
4;dinov2_l__knn;DINOv2-L-KNN;0.3163561968342845;0.46511252288144717;0.0;0;0;0;0.0
5;dinov2_l_in1k__knn;DINOv2-L-IN1K-KNN;0.2743081727145472;0.41945730591148916;0.0;0;0;0;0.0
6;dinov2_l_in1k__logits;DINOv2-L-IN1K-LOGITS;0.3325616453106493;0.48013351997415743;0.0;0;0;0;0.0
7;dinov3_l__knn;DINOv3-L-KNN;0.3504899321632389;0.4863249703887154;0.0;0;0;0;0.0
8;hiera_l_in1k__knn;Hiera_L-IN1K-KNN;0.2819532680090449;0.3862926671691612;0.0;0;0;0;0.0
9;hiera_l_in1k__logits;Hiera_L-IN1K-LOGITS;0.29762032949283945;0.437816302358135;0.0;0;0;0;0.0
10;swin_l__knn;Swin-L-KNN;0.27145472165392487;0.3935608915688597;0.0;0;0;0;0.0
11;swin_l_in1k__knn;Swin-L-IN1K-KNN;0.27145472165392487;0.3935608915688597;0.0;0;0;0;0.0
12;swin_l_in1k__logits;Swin-L-IN1K-LOGITS;0.2999892322601486;0.45224507375901796;0.0;0;0;0;0.0
13;vit_l_in1k__knn;ViT-L-IN1K-KNN;0.15742435662754387;0.2535264348013352;0.0;0;0;0;0.0
14;vit_l_in1k__logits;ViT-L-IN1K-LOGITS;0.17659093356304512;0.3072036179605901;0.0;0;0;0;0.0
