class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
752;racket;81;;0.5061728395061729;0.9534883720930233;0.5061728395061729;0.6612903225806452;41;2;40
850;teddy;191;;0.2774869109947644;0.8983050847457628;0.2774869109947644;0.424;53;6;138
772;safety_pin;176;;0.3181818181818182;0.5714285714285714;0.3181818181818182;0.40875912408759124;56;42;120
859;toaster;163;;0.25153374233128833;0.6949152542372882;0.25153374233128833;0.3693693693693693;41;18;122
608;jean;172;;0.2558139534883721;0.6376811594202898;0.2558139534883721;0.3651452282157676;44;25;128
695;padlock;164;;0.2073170731707317;0.9444444444444444;0.2073170731707317;0.33999999999999997;34;2;130
769;rule;152;;0.19736842105263158;0.625;0.19736842105263158;0.3;30;18;122
770;running_shoe;210;;0.19047619047619047;0.6557377049180327;0.19047619047619047;0.2952029520295203;40;21;170
783;screw;203;;0.1724137931034483;0.8974358974358975;0.1724137931034483;0.2892561983471075;35;4;168
954;banana;235;;0.19574468085106383;0.4107142857142857;0.19574468085106383;0.26512968299711814;46;66;189
882;vacuum;148;;0.21621621621621623;0.32989690721649484;0.21621621621621623;0.2612244897959184;32;65;116
761;remote_control;183;;0.22950819672131148;0.3;0.22950819672131148;0.26006191950464397;42;98;141
951;lemon;148;;0.1891891891891892;0.4117647058823529;0.1891891891891892;0.2592592592592593;28;40;120
610;jersey;170;;0.18235294117647058;0.4305555555555556;0.18235294117647058;0.256198347107438;31;41;139
589;hand_blower;175;;0.30857142857142855;0.19708029197080293;0.30857142857142855;0.24053452115812918;54;220;121
479;car_wheel;122;;0.13934426229508196;0.8095238095238095;0.13934426229508196;0.23776223776223773;17;4;105
545;electric_fan;185;;0.15135135135135136;0.5384615384615384;0.15135135135135136;0.23628691983122366;28;24;157
539;doormat;168;;0.15476190476190477;0.37681159420289856;0.15476190476190477;0.21940928270042195;26;43;142
999;toilet_tissue;204;;0.16666666666666666;0.3090909090909091;0.16666666666666666;0.21656050955414013;34;76;170
673;mouse;224;;0.17857142857142858;0.23952095808383234;0.17857142857142858;0.20460358056265984;40;127;184
851;television;155;;0.11612903225806452;0.6666666666666666;0.11612903225806452;0.19780219780219782;18;9;137
414;backpack;235;;0.19148936170212766;0.1939655172413793;0.19148936170212766;0.19271948608137043;45;187;190
907;wine_bottle;156;;0.12179487179487179;0.41304347826086957;0.12179487179487179;0.18811881188118812;19;27;137
620;laptop;153;;0.12418300653594772;0.3877551020408163;0.12418300653594772;0.18811881188118812;19;30;134
567;frying_pan;189;;0.13756613756613756;0.2826086956521739;0.13756613756613756;0.18505338078291814;26;66;163
606;iron;173;;0.10404624277456648;0.72;0.10404624277456648;0.18181818181818182;18;7;155
630;Loafer;168;;0.21428571428571427;0.15450643776824036;0.21428571428571427;0.17955112219451372;36;197;132
720;pill_bottle;170;;0.17058823529411765;0.18125;0.17058823529411765;0.17575757575757578;29;131;141
507;combination_lock;144;;0.125;0.29508196721311475;0.125;0.17560975609756097;18;43;126
898;water_bottle;236;;0.1271186440677966;0.2727272727272727;0.1271186440677966;0.17341040462427745;30;80;206
909;wok;123;;0.10569105691056911;0.48148148148148145;0.10569105691056911;0.17333333333333334;13;14;110
828;strainer;172;;0.10465116279069768;0.5;0.10465116279069768;0.1730769230769231;18;18;154
731;plunger;134;;0.1791044776119403;0.16326530612244897;0.1791044776119403;0.1708185053380783;24;123;110
543;dumbbell;142;;0.11267605633802817;0.3076923076923077;0.11267605633802817;0.16494845360824745;16;36;126
700;paper_towel;164;;0.17073170731707318;0.15384615384615385;0.17073170731707318;0.16184971098265893;28;154;136
728;plastic_bag;166;;0.10843373493975904;0.3157894736842105;0.10843373493975904;0.16143497757847533;18;39;148
679;necklace;171;;0.10526315789473684;0.2857142857142857;0.10526315789473684;0.15384615384615385;18;45;153
651;microwave;121;;0.21487603305785125;0.11981566820276497;0.21487603305785125;0.15384615384615385;26;191;95
440;beer_bottle;219;;0.1095890410958904;0.24742268041237114;0.1095890410958904;0.1518987341772152;24;73;195
849;teapot;113;;0.07964601769911504;0.5;0.07964601769911504;0.13740458015267176;9;9;104
740;power_drill;150;;0.1;0.2112676056338028;0.1;0.13574660633484162;15;56;135
462;broom;232;;0.07758620689655173;0.4186046511627907;0.07758620689655173;0.1309090909090909;18;25;214
508;computer_keyboard;163;;0.07975460122699386;0.325;0.07975460122699386;0.12807881773399016;13;27;150
419;Band_Aid;244;;0.1557377049180328;0.10764872521246459;0.1557377049180328;0.12730318257956447;38;315;206
644;matchstick;111;;0.08108108108108109;0.2571428571428571;0.08108108108108109;0.12328767123287672;9;26;102
902;whistle;109;;0.10091743119266056;0.15492957746478872;0.10091743119266056;0.12222222222222223;11;60;98
647;measuring_cup;155;;0.07096774193548387;0.3055555555555556;0.07096774193548387;0.11518324607329843;11;25;144
696;paintbrush;157;;0.07006369426751592;0.23404255319148937;0.07006369426751592;0.10784313725490197;11;36;146
418;ballpoint;189;;0.1693121693121693;0.07804878048780488;0.1693121693121693;0.10684474123539231;32;378;157
549;envelope;284;;0.08450704225352113;0.14285714285714285;0.08450704225352113;0.10619469026548672;24;144;260
632;loudspeaker;159;;0.06289308176100629;0.29411764705882354;0.06289308176100629;0.10362694300518135;10;24;149
950;orange;143;;0.055944055944055944;0.6666666666666666;0.055944055944055944;0.1032258064516129;8;4;135
797;sleeping_bag;55;;0.21818181818181817;0.06666666666666667;0.21818181818181817;0.10212765957446807;12;168;43
774;sandal;267;;0.052434456928838954;0.45161290322580644;0.052434456928838954;0.09395973154362418;14;17;253
790;shopping_basket;181;;0.06077348066298342;0.171875;0.06077348066298342;0.08979591836734693;11;53;170
629;lipstick;158;;0.0759493670886076;0.10714285714285714;0.0759493670886076;0.08888888888888889;12;100;146
587;hammer;144;;0.09027777777777778;0.08441558441558442;0.09027777777777778;0.08724832214765102;13;141;131
434;bath_towel;149;;0.053691275167785234;0.22857142857142856;0.053691275167785234;0.08695652173913043;8;27;141
658;mitten;144;;0.05555555555555555;0.18604651162790697;0.05555555555555555;0.0855614973262032;8;35;136
806;sock;182;;0.04395604395604396;0.17777777777777778;0.04395604395604396;0.07048458149779736;8;37;174
841;sweatshirt;161;;0.043478260869565216;0.175;0.043478260869565216;0.06965174129353234;7;33;154
