class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
752;racket;81;;0.7160493827160493;0.9666666666666667;0.7160493827160493;0.8226950354609929;58;2;23
902;whistle;109;;0.7247706422018348;0.7452830188679245;0.7247706422018348;0.7348837209302326;79;27;30
531;digital_watch;158;;0.5253164556962026;0.9764705882352941;0.5253164556962026;0.6831275720164609;83;2;75
907;wine_bottle;156;;0.5256410256410257;0.9213483146067416;0.5256410256410257;0.669387755102041;82;7;74
893;wallet;189;;0.5661375661375662;0.7181208053691275;0.5661375661375662;0.6331360946745561;107;42;82
859;toaster;163;;0.5705521472392638;0.6940298507462687;0.5705521472392638;0.6262626262626262;93;41;70
740;power_drill;150;;0.47333333333333333;0.8765432098765432;0.47333333333333333;0.6147186147186147;71;10;79
644;matchstick;111;;0.4774774774774775;0.828125;0.4774774774774775;0.6057142857142858;53;11;58
850;teddy;191;;0.44502617801047123;0.9239130434782609;0.44502617801047123;0.6007067137809188;85;7;106
543;dumbbell;142;;0.4295774647887324;0.8970588235294118;0.4295774647887324;0.580952380952381;61;7;81
658;mitten;144;;0.4375;0.863013698630137;0.4375;0.5806451612903226;63;10;81
898;water_bottle;236;;0.6864406779661016;0.5;0.6864406779661016;0.5785714285714285;162;162;74
772;safety_pin;176;;0.6022727272727273;0.5170731707317073;0.6022727272727273;0.5564304461942258;106;99;70
695;padlock;164;;0.40853658536585363;0.8271604938271605;0.40853658536585363;0.5469387755102041;67;14;97
545;electric_fan;185;;0.3891891891891892;0.8181818181818182;0.3891891891891892;0.5274725274725275;72;16;113
792;shovel;81;;0.37037037037037035;0.8823529411764706;0.37037037037037035;0.5217391304347826;30;4;51
783;screw;203;;0.4187192118226601;0.6910569105691057;0.4187192118226601;0.5214723926380368;85;38;118
951;lemon;148;;0.41216216216216217;0.6777777777777778;0.41216216216216217;0.5126050420168068;61;29;87
882;vacuum;148;;0.8445945945945946;0.36764705882352944;0.8445945945945946;0.5122950819672131;125;215;23
769;rule;152;;0.3684210526315789;0.8;0.3684210526315789;0.5045045045045045;56;14;96
696;paintbrush;157;;0.3503184713375796;0.873015873015873;0.3503184713375796;0.5;55;8;102
