class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
752;racket;81;;0.7037037037037037;0.8142857142857143;0.7037037037037037;0.7549668874172185;57;13;24
543;dumbbell;142;;0.6901408450704225;0.8032786885245902;0.6901408450704225;0.7424242424242424;98;24;44
907;wine_bottle;156;;0.5576923076923077;0.8055555555555556;0.5576923076923077;0.6590909090909091;87;21;69
837;sunglasses;185;;0.4918918918918919;0.8921568627450981;0.4918918918918919;0.6341463414634148;91;11;94
772;safety_pin;176;;0.5227272727272727;0.736;0.5227272727272727;0.6112956810631229;92;33;84
740;power_drill;150;;0.44;0.9041095890410958;0.44;0.5919282511210762;66;7;84
902;whistle;109;;0.44036697247706424;0.8421052631578947;0.44036697247706424;0.5783132530120482;48;9;61
898;water_bottle;236;;0.5635593220338984;0.4944237918215613;0.5635593220338984;0.5267326732673268;133;136;103
893;wallet;189;;0.43915343915343913;0.6484375;0.43915343915343913;0.5236593059936909;83;45;106
545;electric_fan;185;;0.40540540540540543;0.7211538461538461;0.40540540540540543;0.5190311418685122;75;29;110
644;matchstick;111;;0.46846846846846846;0.5360824742268041;0.46846846846846846;0.5;52;45;59
882;vacuum;148;;0.6621621621621622;0.4;0.6621621621621622;0.49872773536895676;98;147;50
770;running_shoe;210;;0.4095238095238095;0.6323529411764706;0.4095238095238095;0.4971098265895954;86;50;124
828;strainer;172;;0.5406976744186046;0.44285714285714284;0.5406976744186046;0.48691099476439786;93;117;79
695;padlock;164;;0.3048780487804878;0.9433962264150944;0.3048780487804878;0.46082949308755755;50;3;114
792;shovel;81;;0.32098765432098764;0.8125;0.32098765432098764;0.4601769911504424;26;6;55
859;toaster;163;;0.6809815950920245;0.34579439252336447;0.6809815950920245;0.4586776859504132;111;210;52
587;hammer;144;;0.3541666666666667;0.6455696202531646;0.3541666666666667;0.4573991031390135;51;28;93
769;rule;152;;0.3092105263157895;0.734375;0.3092105263157895;0.43518518518518523;47;17;105
608;jean;172;;0.42441860465116277;0.4451219512195122;0.42441860465116277;0.43452380952380953;73;91;99
774;sandal;267;;0.36704119850187267;0.4827586206896552;0.36704119850187267;0.41702127659574467;98;105;169
909;wok;123;;0.34959349593495936;0.5119047619047619;0.34959349593495936;0.4154589371980676;43;41;80
783;screw;203;;0.3448275862068966;0.5147058823529411;0.3448275862068966;0.41297935103244837;70;66;133
999;toilet_tissue;204;;0.5980392156862745;0.31362467866323906;0.5980392156862745;0.4114671163575042;122;267;82
950;orange;143;;0.2727272727272727;0.8125;0.2727272727272727;0.40837696335078527;39;9;104
851;television;155;;0.2903225806451613;0.6428571428571429;0.2903225806451613;0.4;45;25;110
651;microwave;121;;0.34710743801652894;0.44680851063829785;0.34710743801652894;0.3906976744186046;42;52;79
850;teddy;191;;0.24083769633507854;1.0;0.24083769633507854;0.38818565400843885;46;0;145
761;remote_control;183;;0.3442622950819672;0.44366197183098594;0.3442622950819672;0.38769230769230767;63;79;120
440;beer_bottle;219;;0.319634703196347;0.4697986577181208;0.319634703196347;0.3804347826086956;70;79;149
462;broom;232;;0.34051724137931033;0.42934782608695654;0.34051724137931033;0.37980769230769235;79;105;153
531;digital_watch;158;;0.23417721518987342;1.0;0.23417721518987342;0.3794871794871795;37;0;121
951;lemon;148;;0.24324324324324326;0.8372093023255814;0.24324324324324326;0.3769633507853403;36;7;112
696;paintbrush;157;;0.3184713375796178;0.45871559633027525;0.3184713375796178;0.37593984962406013;50;59;107
673;mouse;224;;0.3482142857142857;0.3939393939393939;0.3482142857142857;0.3696682464454976;78;120;146
418;ballpoint;189;;0.2751322751322751;0.5591397849462365;0.2751322751322751;0.36879432624113473;52;41;137
720;pill_bottle;170;;0.40588235294117647;0.3194444444444444;0.40588235294117647;0.35751295336787564;69;147;101
677;nail;87;;0.4367816091954023;0.29457364341085274;0.4367816091954023;0.3518518518518519;38;91;49
507;combination_lock;144;;0.2986111111111111;0.4095238095238095;0.2986111111111111;0.3453815261044177;43;62;101
842;swimming_trunks;147;;0.2653061224489796;0.46987951807228917;0.2653061224489796;0.3391304347826087;39;44;108
954;banana;235;;0.2851063829787234;0.4036144578313253;0.2851063829787234;0.33416458852867836;67;99;168
658;mitten;144;;0.2013888888888889;0.90625;0.2013888888888889;0.32954545454545453;29;3;115
731;plunger;134;;0.43283582089552236;0.26605504587155965;0.43283582089552236;0.32954545454545453;58;160;76
618;ladle;154;;0.2792207792207792;0.35833333333333334;0.2792207792207792;0.31386861313868614;43;77;111
778;scale;155;;0.3032258064516129;0.31543624161073824;0.3032258064516129;0.3092105263157895;47;102;108
589;hand_blower;175;;0.4342857142857143;0.2116991643454039;0.4342857142857143;0.2846441947565543;76;283;99
728;plastic_bag;166;;0.18674698795180722;0.5961538461538461;0.18674698795180722;0.2844036697247706;31;21;135
868;tray;160;;0.25625;0.3178294573643411;0.25625;0.2837370242214533;41;88;119
508;computer_keyboard;163;;0.18404907975460122;0.6;0.18404907975460122;0.28169014084507044;30;20;133
813;spatula;168;;0.27380952380952384;0.2787878787878788;0.27380952380952384;0.2762762762762763;46;119;122
671;mountain_bike;147;;0.19727891156462585;0.43283582089552236;0.19727891156462585;0.27102803738317754;29;38;118
700;paper_towel;164;;0.3475609756097561;0.22178988326848248;0.3475609756097561;0.2707838479809976;57;200;107
620;laptop;153;;0.2679738562091503;0.2733333333333333;0.2679738562091503;0.27062706270627057;41;109;112
539;doormat;168;;0.2619047619047619;0.26993865030674846;0.2619047619047619;0.26586102719033233;44;119;124
414;backpack;235;;0.251063829787234;0.2744186046511628;0.251063829787234;0.26222222222222225;59;156;176
883;vase;156;;0.16025641025641027;0.6578947368421053;0.16025641025641027;0.2577319587628866;25;13;131
