class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
879;umbrella;160;;0.925;1.0;0.925;0.961038961038961;148;0;12
752;racket;81;;0.8765432098765432;0.9861111111111112;0.8765432098765432;0.9281045751633987;71;1;10
907;wine_bottle;156;;0.8397435897435898;0.8791946308724832;0.8397435897435898;0.8590163934426228;131;18;25
902;whistle;109;;0.7981651376146789;0.8613861386138614;0.7981651376146789;0.8285714285714286;87;14;22
543;dumbbell;142;;0.7605633802816901;0.8852459016393442;0.7605633802816901;0.8181818181818182;108;14;34
531;digital_watch;158;;0.6962025316455697;0.9322033898305084;0.6962025316455697;0.7971014492753624;110;8;48
658;mitten;144;;0.6875;0.9428571428571428;0.6875;0.7951807228915663;99;6;45
859;toaster;163;;0.8466257668711656;0.7419354838709677;0.8466257668711656;0.7908309455587393;138;48;25
828;strainer;172;;0.6744186046511628;0.8467153284671532;0.6744186046511628;0.7508090614886731;116;21;56
882;vacuum;148;;0.8986486486486487;0.6157407407407407;0.8986486486486487;0.7307692307692308;133;83;15
772;safety_pin;176;;0.6534090909090909;0.8214285714285714;0.6534090909090909;0.7278481012658227;115;25;61
893;wallet;189;;0.6137566137566137;0.8721804511278195;0.6137566137566137;0.7204968944099378;116;17;73
778;scale;155;;0.6451612903225806;0.8130081300813008;0.6451612903225806;0.7194244604316548;100;23;55
850;teddy;191;;0.5287958115183246;0.9901960784313726;0.5287958115183246;0.6894197952218429;101;1;90
644;matchstick;111;;0.5495495495495496;0.9104477611940298;0.5495495495495496;0.6853932584269663;61;6;50
898;water_bottle;236;;0.7457627118644068;0.6219081272084805;0.7457627118644068;0.6782273603082852;176;107;60
740;power_drill;150;;0.5533333333333333;0.8556701030927835;0.5533333333333333;0.6720647773279352;83;14;67
792;shovel;81;;0.48148148148148145;0.975;0.48148148148148145;0.6446280991735537;39;1;42
806;sock;182;;0.5164835164835165;0.8392857142857143;0.5164835164835165;0.6394557823129252;94;18;88
695;padlock;164;;0.5365853658536586;0.7787610619469026;0.5365853658536586;0.6353790613718412;88;25;76
696;paintbrush;157;;0.47770700636942676;0.9259259259259259;0.47770700636942676;0.6302521008403362;75;6;82
770;running_shoe;210;;0.5333333333333333;0.7466666666666667;0.5333333333333333;0.6222222222222222;112;38;98
587;hammer;144;;0.4583333333333333;0.9428571428571428;0.4583333333333333;0.616822429906542;66;4;78
761;remote_control;183;;0.47540983606557374;0.87;0.47540983606557374;0.6148409893992932;87;13;96
769;rule;152;;0.4605263157894737;0.8235294117647058;0.4605263157894737;0.5907172995780591;70;15;82
951;lemon;148;;0.43243243243243246;0.9142857142857143;0.43243243243243246;0.5871559633027523;64;6;84
731;plunger;134;;0.44776119402985076;0.8450704225352113;0.44776119402985076;0.5853658536585367;60;11;74
720;pill_bottle;170;;0.5058823529411764;0.6935483870967742;0.5058823529411764;0.5850340136054423;86;38;84
950;orange;143;;0.44755244755244755;0.810126582278481;0.44755244755244755;0.5765765765765766;64;15;79
545;electric_fan;185;;0.43243243243243246;0.8602150537634409;0.43243243243243246;0.5755395683453237;80;13;105
418;ballpoint;189;;0.4603174603174603;0.7631578947368421;0.4603174603174603;0.5742574257425742;87;27;102
606;iron;173;;0.4393063583815029;0.8172043010752689;0.4393063583815029;0.5714285714285714;76;17;97
742;printer;125;;0.44;0.8088235294117647;0.44;0.5699481865284974;55;13;70
412;ashcan;242;;0.4380165289256198;0.7310344827586207;0.4380165289256198;0.5478036175710594;106;39;136
783;screw;203;;0.4482758620689655;0.6691176470588235;0.4482758620689655;0.5368731563421828;91;45;112
909;wok;123;;0.36585365853658536;0.9183673469387755;0.36585365853658536;0.5232558139534884;45;4;78
673;mouse;224;;0.53125;0.4666666666666667;0.53125;0.4968684759916493;119;136;105
677;nail;87;;0.3563218390804598;0.8157894736842105;0.3563218390804598;0.496;31;7;56
629;lipstick;158;;0.4050632911392405;0.5925925925925926;0.4050632911392405;0.481203007518797;64;44;94
589;hand_blower;175;;0.46285714285714286;0.49390243902439024;0.46285714285714286;0.4778761061946903;81;83;94
630;Loafer;168;;0.3333333333333333;0.8115942028985508;0.3333333333333333;0.47257383966244726;56;13;112
507;combination_lock;144;;0.4305555555555556;0.5040650406504065;0.4305555555555556;0.46441947565543074;62;61;82
849;teapot;113;;0.3008849557522124;1.0;0.3008849557522124;0.46258503401360546;34;0;79
419;Band_Aid;244;;0.4180327868852459;0.5177664974619289;0.4180327868852459;0.46258503401360546;102;95;142
608;jean;172;;0.5;0.4215686274509804;0.5;0.4574468085106383;86;118;86
797;sleeping_bag;55;;0.43636363636363634;0.4444444444444444;0.43636363636363634;0.4403669724770642;24;30;31
549;envelope;284;;0.31338028169014087;0.7355371900826446;0.31338028169014087;0.4395061728395061;89;32;195
626;lighter;169;;0.35502958579881655;0.5405405405405406;0.35502958579881655;0.42857142857142855;60;51;109
539;doormat;168;;0.2976190476190476;0.7575757575757576;0.2976190476190476;0.42735042735042733;50;16;118
440;beer_bottle;219;;0.4292237442922374;0.41964285714285715;0.4292237442922374;0.42437923250564336;94;130;125
455;bottlecap;248;;0.40725806451612906;0.4391304347826087;0.40725806451612906;0.4225941422594142;101;129;147
813;spatula;168;;0.35714285714285715;0.5128205128205128;0.35714285714285715;0.42105263157894735;60;57;108
508;computer_keyboard;163;;0.26993865030674846;0.9166666666666666;0.26993865030674846;0.4170616113744075;44;4;119
610;jersey;170;;0.29411764705882354;0.7142857142857143;0.29411764705882354;0.4166666666666667;50;20;120
651;microwave;121;;0.4462809917355372;0.38571428571428573;0.4462809917355372;0.41379310344827586;54;86;67
473;can_opener;204;;0.4411764705882353;0.38461538461538464;0.4411764705882353;0.4109589041095891;90;144;114
647;measuring_cup;155;;0.3032258064516129;0.6266666666666667;0.3032258064516129;0.40869565217391307;47;28;108
773;saltshaker;153;;0.3137254901960784;0.5783132530120482;0.3137254901960784;0.4067796610169491;48;35;105
487;cellular_telephone;231;;0.37662337662337664;0.435;0.37662337662337664;0.40371229698375866;87;113;144
632;loudspeaker;159;;0.27672955974842767;0.7457627118644068;0.27672955974842767;0.4036697247706422;44;15;115
999;toilet_tissue;204;;0.35784313725490197;0.4620253164556962;0.35784313725490197;0.4033149171270718;73;85;131
499;cleaver;195;;0.4153846153846154;0.38207547169811323;0.4153846153846154;0.39803439803439805;81;131;114
841;sweatshirt;161;;0.30434782608695654;0.5384615384615384;0.30434782608695654;0.3888888888888889;49;42;112
728;plastic_bag;166;;0.28313253012048195;0.5875;0.28313253012048195;0.3821138211382114;47;33;119
811;space_heater;103;;0.3592233009708738;0.40217391304347827;0.3592233009708738;0.3794871794871794;37;55;66
567;frying_pan;189;;0.32275132275132273;0.45185185185185184;0.32275132275132273;0.3765432098765432;61;74;128
620;laptop;153;;0.2679738562091503;0.6307692307692307;0.2679738562091503;0.3761467889908257;41;24;112
679;necklace;171;;0.29239766081871343;0.5;0.29239766081871343;0.36900369003690037;50;50;121
463;bucket;265;;0.4528301886792453;0.3;0.4528301886792453;0.3609022556390978;120;280;145
732;Polaroid_camera;108;;0.21296296296296297;0.8518518518518519;0.21296296296296297;0.34074074074074073;23;4;85
