class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
752;racket;81;;0.6666666666666666;0.9;0.6666666666666666;0.7659574468085106;54;6;27
543;dumbbell;142;;0.676056338028169;0.7164179104477612;0.676056338028169;0.6956521739130436;96;38;46
772;safety_pin;176;;0.5511363636363636;0.782258064516129;0.5511363636363636;0.6466666666666666;97;27;79
907;wine_bottle;156;;0.5128205128205128;0.7017543859649122;0.5128205128205128;0.5925925925925926;80;34;76
999;toilet_tissue;204;;0.7647058823529411;0.48;0.7647058823529411;0.5897920604914934;156;169;48
859;toaster;163;;0.4785276073619632;0.527027027027027;0.4785276073619632;0.5016077170418005;78;70;85
740;power_drill;150;;0.4066666666666667;0.6354166666666666;0.4066666666666667;0.4959349593495935;61;35;89
902;whistle;109;;0.47706422018348627;0.49523809523809526;0.47706422018348627;0.48598130841121495;52;53;57
644;matchstick;111;;0.40540540540540543;0.6;0.40540540540540543;0.48387096774193555;45;30;66
837;sunglasses;185;;0.32972972972972975;0.8714285714285714;0.32972972972972975;0.47843137254901963;61;9;124
882;vacuum;148;;0.5743243243243243;0.38636363636363635;0.5743243243243243;0.46195652173913043;85;135;63
695;padlock;164;;0.31097560975609756;0.8225806451612904;0.31097560975609756;0.45132743362831856;51;11;113
898;water_bottle;236;;0.4830508474576271;0.3838383838383838;0.4830508474576271;0.4277673545966229;114;183;122
783;screw;203;;0.30049261083743845;0.7261904761904762;0.30049261083743845;0.4250871080139373;61;23;142
761;remote_control;183;;0.3442622950819672;0.4883720930232558;0.3442622950819672;0.40384615384615385;63;66;120
769;rule;152;;0.3092105263157895;0.5802469135802469;0.3092105263157895;0.4034334763948498;47;34;105
608;jean;172;;0.3023255813953488;0.5977011494252874;0.3023255813953488;0.4015444015444015;52;35;120
909;wok;123;;0.3170731707317073;0.5416666666666666;0.3170731707317073;0.39999999999999997;39;33;84
951;lemon;148;;0.25675675675675674;0.8444444444444444;0.25675675675675674;0.39378238341968913;38;7;110
828;strainer;172;;0.32558139534883723;0.49557522123893805;0.32558139534883723;0.3929824561403509;56;57;116
545;electric_fan;185;;0.2648648648648649;0.6901408450704225;0.2648648648648649;0.38281250000000006;49;22;136
950;orange;143;;0.23776223776223776;0.85;0.23776223776223776;0.3715846994535519;34;6;109
893;wallet;189;;0.291005291005291;0.4824561403508772;0.291005291005291;0.36303630363036304;55;59;134
731;plunger;134;;0.40298507462686567;0.30857142857142855;0.40298507462686567;0.3495145631067961;54;121;80
770;running_shoe;210;;0.22857142857142856;0.7384615384615385;0.22857142857142856;0.34909090909090906;48;17;162
673;mouse;224;;0.3482142857142857;0.3406113537117904;0.3482142857142857;0.34437086092715236;78;151;146
677;nail;87;;0.3448275862068966;0.32967032967032966;0.3448275862068966;0.3370786516853933;30;61;57
462;broom;232;;0.3017241379310345;0.37433155080213903;0.3017241379310345;0.33412887828162297;70;117;162
851;television;155;;0.22580645161290322;0.625;0.22580645161290322;0.33175355450236965;35;21;120
606;iron;173;;0.2543352601156069;0.4536082474226804;0.2543352601156069;0.3259259259259259;44;53;129
720;pill_bottle;170;;0.3588235294117647;0.2975609756097561;0.3588235294117647;0.3253333333333333;61;144;109
