class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
752;racket;81;;0.7777777777777778;0.9130434782608695;0.7777777777777778;0.84;63;6;18
907;wine_bottle;156;;0.717948717948718;0.6511627906976745;0.717948717948718;0.6829268292682927;112;60;44
772;safety_pin;176;;0.6022727272727273;0.7794117647058824;0.6022727272727273;0.6794871794871794;106;30;70
828;strainer;172;;0.5697674418604651;0.8376068376068376;0.5697674418604651;0.6782006920415226;98;19;74
543;dumbbell;142;;0.5633802816901409;0.8421052631578947;0.5633802816901409;0.6751054852320675;80;15;62
902;whistle;109;;0.6422018348623854;0.6306306306306306;0.6422018348623854;0.6363636363636365;70;41;39
859;toaster;163;;0.5337423312883436;0.7435897435897436;0.5337423312883436;0.6214285714285714;87;30;76
850;teddy;191;;0.4607329842931937;0.9072164948453608;0.4607329842931937;0.6111111111111112;88;9;103
740;power_drill;150;;0.48;0.8275862068965517;0.48;0.6075949367088608;72;15;78
898;water_bottle;236;;0.5550847457627118;0.645320197044335;0.5550847457627118;0.5968109339407744;131;72;105
882;vacuum;148;;0.5608108108108109;0.6335877862595419;0.5608108108108109;0.5949820788530467;83;48;65
644;matchstick;111;;0.4954954954954955;0.6707317073170732;0.4954954954954955;0.5699481865284974;55;27;56
893;wallet;189;;0.4444444444444444;0.7850467289719626;0.4444444444444444;0.5675675675675677;84;23;105
951;lemon;148;;0.42567567567567566;0.7777777777777778;0.42567567567567566;0.5502183406113537;63;18;85
792;shovel;81;;0.4444444444444444;0.7058823529411765;0.4444444444444444;0.5454545454545455;36;15;45
695;padlock;164;;0.43902439024390244;0.72;0.43902439024390244;0.5454545454545455;72;28;92
999;toilet_tissue;204;;0.6029411764705882;0.47674418604651164;0.6029411764705882;0.5324675324675324;123;135;81
770;running_shoe;210;;0.3952380952380952;0.7685185185185185;0.3952380952380952;0.5220125786163522;83;25;127
545;electric_fan;185;;0.4;0.74;0.4;0.519298245614035;74;26;111
783;screw;203;;0.3694581280788177;0.872093023255814;0.3694581280788177;0.5190311418685121;75;11;128
531;digital_watch;158;;0.35443037974683544;0.9333333333333333;0.35443037974683544;0.5137614678899083;56;4;102
761;remote_control;183;;0.3879781420765027;0.7171717171717171;0.3879781420765027;0.5035460992907801;71;28;112
950;orange;143;;0.3356643356643357;0.9230769230769231;0.3356643356643357;0.4923076923076924;48;4;95
658;mitten;144;;0.3680555555555556;0.726027397260274;0.3680555555555556;0.48847926267281105;53;20;91
769;rule;152;;0.3815789473684211;0.6666666666666666;0.3815789473684211;0.48535564853556484;58;29;94
587;hammer;144;;0.3680555555555556;0.7066666666666667;0.3680555555555556;0.4840182648401826;53;22;91
608;jean;172;;0.38953488372093026;0.6261682242990654;0.38953488372093026;0.4802867383512545;67;40;105
606;iron;173;;0.35260115606936415;0.7093023255813954;0.35260115606936415;0.471042471042471;61;25;112
677;nail;87;;0.39080459770114945;0.576271186440678;0.39080459770114945;0.46575342465753433;34;25;53
589;hand_blower;175;;0.41714285714285715;0.5214285714285715;0.41714285714285715;0.46349206349206346;73;67;102
731;plunger;134;;0.41044776119402987;0.4700854700854701;0.41044776119402987;0.4382470119521912;55;62;79
696;paintbrush;157;;0.34394904458598724;0.6;0.34394904458598724;0.437246963562753;54;36;103
610;jersey;170;;0.29411764705882354;0.746268656716418;0.29411764705882354;0.4219409282700422;50;17;120
673;mouse;224;;0.42857142857142855;0.41201716738197425;0.42857142857142855;0.4201312910284464;96;137;128
504;coffee_mug;218;;0.3073394495412844;0.638095238095238;0.3073394495412844;0.41486068111455104;67;38;151
720;pill_bottle;170;;0.4470588235294118;0.38;0.4470588235294118;0.4108108108108108;76;124;94
909;wok;123;;0.2682926829268293;0.7674418604651163;0.2682926829268293;0.39759036144578314;33;10;90
418;ballpoint;189;;0.30687830687830686;0.5370370370370371;0.30687830687830686;0.3905723905723905;58;50;131
440;beer_bottle;219;;0.3333333333333333;0.44242424242424244;0.3333333333333333;0.38020833333333337;73;92;146
507;combination_lock;144;;0.2916666666666667;0.4883720930232558;0.2916666666666667;0.3652173913043478;42;44;102
462;broom;232;;0.3017241379310345;0.4294478527607362;0.3017241379310345;0.35443037974683544;70;93;162
419;Band_Aid;244;;0.38114754098360654;0.3286219081272085;0.38114754098360654;0.35294117647058815;93;190;151
813;spatula;168;;0.2619047619047619;0.4835164835164835;0.2619047619047619;0.33976833976833976;44;47;124
954;banana;235;;0.2851063829787234;0.40606060606060607;0.2851063829787234;0.335;67;98;168
620;laptop;153;;0.3202614379084967;0.3333333333333333;0.3202614379084967;0.3266666666666667;49;98;104
651;microwave;121;;0.4049586776859504;0.2692307692307692;0.4049586776859504;0.32343234323432346;49;133;72
774;sandal;267;;0.21348314606741572;0.6551724137931034;0.21348314606741572;0.3220338983050848;57;30;210
567;frying_pan;189;;0.24338624338624337;0.46;0.24338624338624337;0.3183391003460207;46;54;143
773;saltshaker;153;;0.2222222222222222;0.5573770491803278;0.2222222222222222;0.3177570093457944;34;27;119
849;teapot;113;;0.19469026548672566;0.8461538461538461;0.19469026548672566;0.31654676258992803;22;4;91
629;lipstick;158;;0.22151898734177214;0.5147058823529411;0.22151898734177214;0.30973451327433627;35;33;123
728;plastic_bag;166;;0.30120481927710846;0.3048780487804878;0.30120481927710846;0.30303030303030304;50;114;116
539;doormat;168;;0.25595238095238093;0.3524590163934426;0.25595238095238093;0.29655172413793096;43;79;125
473;can_opener;204;;0.37254901960784315;0.2459546925566343;0.37254901960784315;0.29629629629629634;76;233;128
700;paper_towel;164;;0.3719512195121951;0.24302788844621515;0.3719512195121951;0.2939759036144578;61;190;103
647;measuring_cup;155;;0.18064516129032257;0.7368421052631579;0.18064516129032257;0.29015544041450775;28;10;127
811;space_heater;103;;0.2524271844660194;0.3333333333333333;0.2524271844660194;0.287292817679558;26;52;77
414;backpack;235;;0.2723404255319149;0.29493087557603687;0.2723404255319149;0.2831858407079646;64;153;171
463;bucket;265;;0.36981132075471695;0.22632794457274827;0.36981132075471695;0.28080229226361036;98;335;167
549;envelope;284;;0.2007042253521127;0.4523809523809524;0.2007042253521127;0.2780487804878049;57;69;227
630;Loafer;168;;0.20238095238095238;0.43037974683544306;0.20238095238095238;0.27530364372469635;34;45;134
626;lighter;169;;0.2603550295857988;0.2838709677419355;0.2603550295857988;0.27160493827160487;44;111;125
868;tray;160;;0.2125;0.3617021276595745;0.2125;0.2677165354330709;34;60;126
479;car_wheel;122;;0.1557377049180328;0.95;0.1557377049180328;0.2676056338028169;19;1;103
508;computer_keyboard;163;;0.15337423312883436;0.8928571428571429;0.15337423312883436;0.26178010471204194;25;3;138
742;printer;125;;0.168;0.5526315789473685;0.168;0.25766871165644173;21;17;104
778;scale;155;;0.14193548387096774;0.8461538461538461;0.14193548387096774;0.2430939226519337;22;4;133
797;sleeping_bag;55;;0.34545454545454546;0.1792452830188679;0.34545454545454546;0.2360248447204969;19;87;36
679;necklace;171;;0.15204678362573099;0.52;0.15204678362573099;0.23529411764705882;26;24;145
455;bottlecap;248;;0.15725806451612903;0.4642857142857143;0.15725806451612903;0.2349397590361446;39;45;209
412;ashcan;242;;0.1446280991735537;0.6140350877192983;0.1446280991735537;0.23411371237458195;35;22;207
806;sock;182;;0.14285714285714285;0.48148148148148145;0.14285714285714285;0.22033898305084745;26;28;156
851;television;155;;0.12903225806451613;0.5882352941176471;0.12903225806451613;0.21164021164021163;20;14;135
737;pop_bottle;141;;0.1773049645390071;0.23148148148148148;0.1773049645390071;0.20080321285140562;25;83;116
632;loudspeaker;159;;0.1320754716981132;0.3888888888888889;0.1320754716981132;0.19718309859154928;21;33;138
499;cleaver;195;;0.17435897435897435;0.2236842105263158;0.17435897435897435;0.19596541786743518;34;118;161
618;ladle;154;;0.11688311688311688;0.5625;0.11688311688311688;0.1935483870967742;18;14;136
732;Polaroid_camera;108;;0.1111111111111111;0.6666666666666666;0.1111111111111111;0.1904761904761905;12;6;96
879;umbrella;160;;0.10625;0.8947368421052632;0.10625;0.18994413407821228;17;2;143
446;binder;183;;0.14754098360655737;0.23478260869565218;0.14754098360655737;0.18120805369127516;27;88;156
487;cellular_telephone;231;;0.12987012987012986;0.28846153846153844;0.12987012987012986;0.1791044776119403;30;74;201
671;mountain_bike;147;;0.10884353741496598;0.42105263157894735;0.10884353741496598;0.17297297297297295;16;22;131
841;sweatshirt;161;;0.08695652173913043;0.5833333333333334;0.08695652173913043;0.15135135135135133;14;10;147
790;shopping_basket;181;;0.10497237569060773;0.19791666666666666;0.10497237569060773;0.1371841155234657;19;77;162
434;bath_towel;149;;0.10738255033557047;0.18823529411764706;0.10738255033557047;0.13675213675213674;16;69;133
842;swimming_trunks;147;;0.07482993197278912;0.6875;0.07482993197278912;0.13496932515337423;11;5;136
846;table_lamp;200;;0.09;0.24324324324324326;0.09;0.13138686131386862;18;56;182
721;pillow;196;;0.08163265306122448;0.26229508196721313;0.08163265306122448;0.1245136186770428;16;45;180
804;soap_dispenser;163;;0.10429447852760736;0.1504424778761062;0.10429447852760736;0.12318840579710144;17;96;146
664;monitor;114;;0.07894736842105263;0.2647058823529412;0.07894736842105263;0.12162162162162163;9;25;105
409;analog_clock;144;;0.0763888888888889;0.2894736842105263;0.0763888888888889;0.1208791208791209;11;27;133
883;vase;156;;0.0641025641025641;0.7142857142857143;0.0641025641025641;0.1176470588235294;10;4;146
578;gown;113;;0.061946902654867256;0.6363636363636364;0.061946902654867256;0.11290322580645161;7;4;106
457;bow_tie;131;;0.061068702290076333;0.7272727272727273;0.061068702290076333;0.11267605633802816;8;3;123
470;candle;233;;0.060085836909871244;0.35;0.060085836909871244;0.10256410256410257;14;26;219
619;lampshade;123;;0.06504065040650407;0.2;0.06504065040650407;0.09815950920245399;8;32;115
930;French_loaf;221;;0.05429864253393665;0.4;0.05429864253393665;0.09561752988047809;12;18;209
729;plate_rack;55;;0.09090909090909091;0.1;0.09090909090909091;0.09523809523809525;5;45;50
659;mixing_bowl;159;;0.05660377358490566;0.2903225806451613;0.05660377358490566;0.09473684210526316;9;22;150
837;sunglasses;185;;0.04864864864864865;1.0;0.04864864864864865;0.09278350515463918;9;0;176
588;hamper;163;;0.03680981595092025;0.1276595744680851;0.03680981595092025;0.05714285714285715;6;41;157
423;barber_chair;220;;0.02727272727272727;0.5454545454545454;0.02727272727272727;0.05194805194805195;6;5;214
623;letter_opener;68;;0.04411764705882353;0.030927835051546393;0.04411764705882353;0.03636363636363636;3;94;65
809;soup_bowl;161;;0.018633540372670808;0.5;0.018633540372670808;0.03592814371257485;3;3;158
968;cup;159;;0.018867924528301886;0.15789473684210525;0.018867924528301886;0.033707865168539325;3;16;156
550;espresso_maker;107;;0.018691588785046728;0.0625;0.018691588785046728;0.028776978417266185;2;30;105
725;pitcher;153;;0.013071895424836602;0.3333333333333333;0.013071895424836602;0.025157232704402514;2;4;151
834;suit;95;;0.010526315789473684;0.3333333333333333;0.010526315789473684;0.020408163265306124;1;2;94
703;park_bench;132;;0.007575757575757576;0.16666666666666666;0.007575757575757576;0.014492753623188406;1;5;131
601;hoopskirt;110;;0.0;0.0;0.0;0.0;0;8;110
560;football_helmet;142;;0.0;0.0;0.0;0.0;0;1;142
533;dishrag;178;;0.0;0.0;0.0;0.0;0;10;178
923;plate;187;;0.0;0.0;0.0;0.0;0;0;187
