class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
752;racket;81;;0.7530864197530864;0.9682539682539683;0.7530864197530864;0.8472222222222222;61;2;20
907;wine_bottle;156;;0.6153846153846154;0.8347826086956521;0.6153846153846154;0.7084870848708485;96;19;60
828;strainer;172;;0.622093023255814;0.781021897810219;0.622093023255814;0.6925566343042071;107;30;65
543;dumbbell;142;;0.5492957746478874;0.9069767441860465;0.5492957746478874;0.6842105263157895;78;8;64
772;safety_pin;176;;0.625;0.7482993197278912;0.625;0.6811145510835914;110;37;66
902;whistle;109;;0.6605504587155964;0.6666666666666666;0.6605504587155964;0.6635944700460831;72;36;37
893;wallet;189;;0.5343915343915344;0.7952755905511811;0.5343915343915344;0.639240506329114;101;26;88
859;toaster;163;;0.6073619631901841;0.673469387755102;0.6073619631901841;0.6387096774193548;99;48;64
740;power_drill;150;;0.5066666666666667;0.8636363636363636;0.5066666666666667;0.638655462184874;76;12;74
850;teddy;191;;0.4973821989528796;0.8878504672897196;0.4973821989528796;0.6375838926174497;95;12;96
898;water_bottle;236;;0.6228813559322034;0.6447368421052632;0.6228813559322034;0.6336206896551725;147;81;89
882;vacuum;148;;0.7094594594594594;0.5614973262032086;0.7094594594594594;0.626865671641791;105;82;43
644;matchstick;111;;0.5225225225225225;0.7435897435897436;0.5225225225225225;0.6137566137566137;58;20;53
695;padlock;164;;0.4451219512195122;0.8795180722891566;0.4451219512195122;0.5910931174089069;73;10;91
770;running_shoe;210;;0.4523809523809524;0.7983193277310925;0.4523809523809524;0.5775075987841946;95;24;115
545;electric_fan;185;;0.42702702702702705;0.8876404494382022;0.42702702702702705;0.5766423357664234;79;10;106
951;lemon;148;;0.43243243243243246;0.8205128205128205;0.43243243243243246;0.5663716814159292;64;14;84
792;shovel;81;;0.3950617283950617;0.8888888888888888;0.3950617283950617;0.547008547008547;32;4;49
658;mitten;144;;0.375;0.84375;0.375;0.5192307692307693;54;10;90
769;rule;152;;0.40131578947368424;0.7261904761904762;0.40131578947368424;0.516949152542373;61;23;91
531;digital_watch;158;;0.34810126582278483;0.9649122807017544;0.34810126582278483;0.5116279069767442;55;2;103
909;wok;123;;0.37398373983739835;0.7666666666666667;0.37398373983739835;0.5027322404371585;46;14;77
587;hammer;144;;0.3819444444444444;0.7236842105263158;0.3819444444444444;0.5;55;21;89
761;remote_control;183;;0.3879781420765027;0.696078431372549;0.3879781420765027;0.49824561403508766;71;31;112
950;orange;143;;0.3356643356643357;0.96;0.3356643356643357;0.4974093264248705;48;2;95
608;jean;172;;0.4011627906976744;0.6509433962264151;0.4011627906976744;0.49640287769784175;69;37;103
696;paintbrush;157;;0.3885350318471338;0.6559139784946236;0.3885350318471338;0.488;61;32;96
783;screw;203;;0.3497536945812808;0.7802197802197802;0.3497536945812808;0.48299319727891155;71;20;132
589;hand_blower;175;;0.4114285714285714;0.5669291338582677;0.4114285714285714;0.4768211920529802;72;55;103
677;nail;87;;0.39080459770114945;0.5964912280701754;0.39080459770114945;0.47222222222222215;34;23;53
606;iron;173;;0.36416184971098264;0.6702127659574468;0.36416184971098264;0.47191011235955055;63;31;110
731;plunger;134;;0.44029850746268656;0.49166666666666664;0.44029850746268656;0.4645669291338583;59;61;75
610;jersey;170;;0.3176470588235294;0.7714285714285715;0.3176470588235294;0.44999999999999996;54;16;116
507;combination_lock;144;;0.3888888888888889;0.49557522123893805;0.3888888888888889;0.43579766536964976;56;57;88
673;mouse;224;;0.4330357142857143;0.4369369369369369;0.4330357142857143;0.4349775784753363;97;125;127
720;pill_bottle;170;;0.4588235294117647;0.4083769633507853;0.4588235294117647;0.43213296398891965;78;113;92
418;ballpoint;189;;0.31746031746031744;0.5769230769230769;0.31746031746031744;0.409556313993174;60;44;129
620;laptop;153;;0.3464052287581699;0.45689655172413796;0.3464052287581699;0.39405204460966536;53;63;100
462;broom;232;;0.3232758620689655;0.5;0.3232758620689655;0.39267015706806285;75;75;157
778;scale;155;;0.25161290322580643;0.8478260869565217;0.25161290322580643;0.3880597014925372;39;7;116
629;lipstick;158;;0.3037974683544304;0.5333333333333333;0.3037974683544304;0.38709677419354843;48;42;110
