class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
752;racket;81;;0.5185185185185185;0.9545454545454546;0.5185185185185185;0.6719999999999999;42;2;39
772;safety_pin;176;;0.4602272727272727;0.75;0.4602272727272727;0.5704225352112676;81;27;95
543;dumbbell;142;;0.4154929577464789;0.8194444444444444;0.4154929577464789;0.5514018691588786;59;13;83
902;whistle;109;;0.5229357798165137;0.4523809523809524;0.5229357798165137;0.4851063829787234;57;69;52
898;water_bottle;236;;0.3559322033898305;0.6666666666666666;0.3559322033898305;0.4640883977900552;84;42;152
999;toilet_tissue;204;;0.45588235294117646;0.4246575342465753;0.45588235294117646;0.4397163120567376;93;126;111
545;electric_fan;185;;0.2918918918918919;0.8307692307692308;0.2918918918918919;0.432;54;11;131
644;matchstick;111;;0.34234234234234234;0.5757575757575758;0.34234234234234234;0.42937853107344637;38;28;73
731;plunger;134;;0.3656716417910448;0.47115384615384615;0.3656716417910448;0.4117647058823529;49;55;85
882;vacuum;148;;0.5608108108108109;0.2996389891696751;0.5608108108108109;0.3905882352941177;83;194;65
907;wine_bottle;156;;0.30128205128205127;0.5402298850574713;0.30128205128205127;0.3868312757201646;47;40;109
859;toaster;163;;0.31901840490797545;0.4727272727272727;0.31901840490797545;0.38095238095238093;52;58;111
740;power_drill;150;;0.32666666666666666;0.3951612903225806;0.32666666666666666;0.35766423357664234;49;75;101
462;broom;232;;0.28879310344827586;0.43506493506493504;0.28879310344827586;0.34715025906735747;67;87;165
783;screw;203;;0.22167487684729065;0.7258064516129032;0.22167487684729065;0.33962264150943394;45;17;158
695;padlock;164;;0.21341463414634146;0.7954545454545454;0.21341463414634146;0.3365384615384615;35;9;129
720;pill_bottle;170;;0.25882352941176473;0.4731182795698925;0.25882352941176473;0.3346007604562738;44;49;126
828;strainer;172;;0.25;0.48863636363636365;0.25;0.33076923076923076;43;45;129
606;iron;173;;0.21965317919075145;0.6666666666666666;0.21965317919075145;0.3304347826086957;38;19;135
531;digital_watch;158;;0.23417721518987342;0.5285714285714286;0.23417721518987342;0.32456140350877194;37;33;121
893;wallet;189;;0.25925925925925924;0.4049586776859504;0.25925925925925924;0.3161290322580645;49;72;140
792;shovel;81;;0.20987654320987653;0.5666666666666667;0.20987654320987653;0.3063063063063063;17;13;64
774;sandal;267;;0.1947565543071161;0.5531914893617021;0.1947565543071161;0.28808864265927975;52;42;215
419;Band_Aid;244;;0.25;0.32105263157894737;0.25;0.28110599078341014;61;129;183
954;banana;235;;0.2127659574468085;0.4132231404958678;0.2127659574468085;0.28089887640449435;50;71;185
608;jean;172;;0.18023255813953487;0.62;0.18023255813953487;0.27927927927927926;31;19;141
610;jersey;170;;0.2;0.425;0.2;0.272;34;46;136
589;hand_blower;175;;0.3028571428571429;0.24423963133640553;0.3028571428571429;0.27040816326530615;53;164;122
951;lemon;148;;0.1554054054054054;0.9583333333333334;0.1554054054054054;0.26744186046511625;23;1;125
850;teddy;191;;0.16753926701570682;0.6274509803921569;0.16753926701570682;0.2644628099173554;32;19;159
909;wok;123;;0.18699186991869918;0.45098039215686275;0.18699186991869918;0.26436781609195403;23;28;100
504;coffee_mug;218;;0.18807339449541285;0.40594059405940597;0.18807339449541285;0.2570532915360502;41;60;177
696;paintbrush;157;;0.1910828025477707;0.3614457831325301;0.1910828025477707;0.25;30;53;127
587;hammer;144;;0.2013888888888889;0.3258426966292135;0.2013888888888889;0.24892703862660942;29;60;115
841;sweatshirt;161;;0.20496894409937888;0.3113207547169811;0.20496894409937888;0.24719101123595505;33;73;128
418;ballpoint;189;;0.2222222222222222;0.2727272727272727;0.2222222222222222;0.24489795918367346;42;112;147
761;remote_control;183;;0.26229508196721313;0.21818181818181817;0.26229508196721313;0.23821339950372206;48;172;135
813;spatula;168;;0.25595238095238093;0.21717171717171718;0.25595238095238093;0.23497267759562843;43;155;125
673;mouse;224;;0.2767857142857143;0.20261437908496732;0.2767857142857143;0.2339622641509434;62;244;162
769;rule;152;;0.21052631578947367;0.2601626016260163;0.21052631578947367;0.23272727272727273;32;91;120
440;beer_bottle;219;;0.1735159817351598;0.3220338983050847;0.1735159817351598;0.22551928783382788;38;80;181
677;nail;87;;0.1839080459770115;0.2857142857142857;0.1839080459770115;0.22377622377622378;16;40;71
950;orange;143;;0.1258741258741259;0.6923076923076923;0.1258741258741259;0.21301775147928997;18;8;125
463;bucket;265;;0.17358490566037735;0.27058823529411763;0.17358490566037735;0.21149425287356322;46;124;219
507;combination_lock;144;;0.1597222222222222;0.3108108108108108;0.1597222222222222;0.2110091743119266;23;51;121
539;doormat;168;;0.22023809523809523;0.19473684210526315;0.22023809523809523;0.20670391061452512;37;153;131
414;backpack;235;;0.16170212765957448;0.2773722627737226;0.16170212765957448;0.20430107526881722;38;99;197
455;bottlecap;248;;0.14112903225806453;0.3684210526315789;0.14112903225806453;0.20408163265306123;35;60;213
412;ashcan;242;;0.1652892561983471;0.2597402597402597;0.1652892561983471;0.20202020202020202;40;114;202
567;frying_pan;189;;0.14285714285714285;0.3375;0.14285714285714285;0.20074349442379183;27;53;162
851;television;155;;0.21935483870967742;0.17894736842105263;0.21935483870967742;0.1971014492753623;34;156;121
879;umbrella;160;;0.1125;0.782608695652174;0.1125;0.19672131147540983;18;5;142
778;scale;155;;0.16129032258064516;0.23809523809523808;0.16129032258064516;0.1923076923076923;25;80;130
770;running_shoe;210;;0.11428571428571428;0.6;0.11428571428571428;0.19199999999999998;24;16;186
700;paper_towel;164;;0.1524390243902439;0.25252525252525254;0.1524390243902439;0.19011406844106465;25;74;139
