class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
779;school_bus;50;;0.88;0.8627450980392157;0.88;0.8712871287128714;44;7;6
323;monarch;50;;0.76;0.9743589743589743;0.76;0.853932584269663;38;1;12
768;rugby_ball;50;;0.74;0.9736842105263158;0.74;0.8409090909090909;37;1;13
430;basketball;50;;0.78;0.8863636363636364;0.78;0.8297872340425532;39;5;11
437;beacon;50;;0.8;0.8;0.8;0.8000000000000002;40;10;10
963;pizza;50;;0.8;0.7547169811320755;0.8;0.7766990291262137;40;13;10
573;go-kart;50;;0.64;0.9411764705882353;0.64;0.7619047619047621;32;2;18
850;teddy;50;;0.62;0.96875;0.62;0.7560975609756097;31;1;19
470;candle;50;;0.6;0.9375;0.6;0.7317073170731707;30;2;20
1;goldfish;50;;0.62;0.8857142857142857;0.62;0.7294117647058823;31;4;19
682;obelisk;50;;0.8;0.6666666666666666;0.8;0.7272727272727272;40;20;10
967;espresso;50;;0.58;0.9666666666666667;0.58;0.725;29;1;21
874;trolleybus;50;;0.56;1.0;0.56;0.717948717948718;28;0;22
890;volleyball;50;;0.54;1.0;0.54;0.7012987012987013;27;0;23
354;Arabian_camel;50;;0.54;1.0;0.54;0.7012987012987013;27;0;23
532;dining_table;50;;0.5;1.0;0.5;0.6666666666666666;25;0;25
945;bell_pepper;50;;0.52;0.9285714285714286;0.52;0.6666666666666666;26;2;24
496;Christmas_stocking;50;;0.6;0.75;0.6;0.6666666666666665;30;10;20
734;police_van;50;;0.5;0.9615384615384616;0.5;0.6578947368421052;25;1;25
466;bullet_train;50;;0.48;1.0;0.48;0.6486486486486487;24;0;26
576;gondola;50;;0.48;1.0;0.48;0.6486486486486487;24;0;26
291;lion;50;;0.52;0.8387096774193549;0.52;0.6419753086419753;26;5;24
75;black_widow;50;;0.52;0.8387096774193549;0.52;0.6419753086419753;26;5;24
146;albatross;50;;0.48;0.96;0.48;0.64;24;1;26
625;lifeboat;50;;0.46;1.0;0.46;0.6301369863013699;23;0;27
954;banana;50;;0.48;0.8888888888888888;0.48;0.6233766233766234;24;3;26
557;flagpole;50;;0.74;0.5211267605633803;0.74;0.6115702479338843;37;34;13
