class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
604;hourglass;50;;0.98;0.9607843137254902;0.98;0.9702970297029702;49;2;1
387;lesser_panda;50;;0.96;0.9795918367346939;0.96;0.9696969696969697;48;1;2
1;goldfish;50;;0.96;0.9795918367346939;0.96;0.9696969696969697;48;1;2
323;monarch;50;;0.96;0.9795918367346939;0.96;0.9696969696969697;48;1;2
576;gondola;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
779;school_bus;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
873;triumphal_arch;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
781;scoreboard;50;;0.96;0.9411764705882353;0.96;0.9504950495049505;48;3;2
496;Christmas_stocking;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
573;go-kart;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
430;basketball;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
862;torch;50;;0.9;0.9782608695652174;0.9;0.9375;45;1;5
354;Arabian_camel;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
635;magnetic_compass;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
890;volleyball;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
917;comic_book;50;;0.9;0.9574468085106383;0.9;0.9278350515463918;45;2;5
347;bison;50;;0.88;0.9777777777777777;0.88;0.9263157894736842;44;1;6
739;potter's_wheel;50;;0.88;0.9777777777777777;0.88;0.9263157894736842;44;1;6
466;bullet_train;50;;0.88;0.9777777777777777;0.88;0.9263157894736842;44;1;6
447;binoculars;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
612;jinrikisha;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
325;sulphur_butterfly;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
945;bell_pepper;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
365;orangutan;50;;0.9;0.9375;0.9;0.9183673469387755;45;3;5
349;bighorn;50;;0.84;1.0;0.84;0.9130434782608696;42;0;8
146;albatross;50;;0.84;1.0;0.84;0.9130434782608696;42;0;8
145;king_penguin;50;;0.84;1.0;0.84;0.9130434782608696;42;0;8
128;black_stork;50;;0.92;0.9019607843137255;0.92;0.9108910891089109;46;5;4
678;neck_brace;50;;0.88;0.9361702127659575;0.88;0.9072164948453608;44;3;6
291;lion;50;;0.84;0.9767441860465116;0.84;0.9032258064516129;42;1;8
957;pomegranate;50;;0.84;0.9767441860465116;0.84;0.9032258064516129;42;1;8
888;viaduct;50;;0.84;0.9767441860465116;0.84;0.9032258064516129;42;1;8
565;freight_car;50;;0.82;1.0;0.82;0.9010989010989011;41;0;9
768;rugby_ball;50;;0.82;1.0;0.82;0.9010989010989011;41;0;9
614;kimono;50;;0.82;1.0;0.82;0.9010989010989011;41;0;9
301;ladybug;50;;0.82;1.0;0.82;0.9010989010989011;41;0;9
747;punching_bag;50;;0.86;0.9347826086956522;0.86;0.8958333333333334;43;3;7
988;acorn;50;;0.84;0.9545454545454546;0.84;0.8936170212765958;42;2;8
437;beacon;50;;0.84;0.9545454545454546;0.84;0.8936170212765958;42;2;8
353;gazelle;50;;0.82;0.9761904761904762;0.82;0.8913043478260869;41;1;9
107;jellyfish;50;;0.82;0.9761904761904762;0.82;0.8913043478260869;41;1;9
294;brown_bear;50;;0.88;0.8979591836734694;0.88;0.888888888888889;44;5;6
806;sock;50;;0.8;1.0;0.8;0.888888888888889;40;0;10
682;obelisk;50;;0.86;0.9148936170212766;0.86;0.8865979381443299;43;4;7
887;vestment;50;;0.9;0.8653846153846154;0.9;0.8823529411764707;45;7;5
149;dugong;50;;0.96;0.8135593220338984;0.96;0.8807339449541285;48;11;2
853;thatch;50;;0.88;0.88;0.88;0.88;44;6;6
448;birdhouse;50;;0.8;0.975609756097561;0.8;0.8791208791208791;40;1;10
627;limousine;50;;0.8;0.975609756097561;0.8;0.8791208791208791;40;1;10
932;pretzel;50;;0.78;1.0;0.78;0.8764044943820225;39;0;11
645;maypole;50;;0.78;1.0;0.78;0.8764044943820225;39;0;11
786;sewing_machine;50;;0.78;1.0;0.78;0.8764044943820225;39;0;11
720;pill_bottle;50;;0.78;1.0;0.78;0.8764044943820225;39;0;11
543;dumbbell;50;;0.78;0.975;0.78;0.8666666666666667;39;1;11
716;picket_fence;50;;0.78;0.975;0.78;0.8666666666666667;39;1;11
