Model;IN1k Top1;ShapeNet Top1;AUROC IN1k;ECE IN1k
DINOv2-L-IN1K-LOGITS;0.7279;0;0.8043695650428738;0.04651767730712893
DINOv3-L-KNN;0.7055;0;0.8169563182320814;0.04823966326937079
DINOv2-L-KNN;0.6829;0;0.8087277258546262;0.08009211607724429
DINOv2-B-IN1K-LOGITS;0.659;0;0.8184677308104789;0.06535049438476563
DINOv2-L-IN1K-KNN;0.6537;0;0.8298170422514618;0.02880463133901358
DINOv2-B-KNN;0.6373;0;0.8255071594386142;0.07031796856522558
ViT-L-IN1K-LOGITS;0.6145;0;0.8116245215337514;0.10695220031738284
DINOv2-B-IN1K-LINEAR_PROBE;0.6115;0;0.7691956084106534;0.5919142790284474
CLIP-L-IN1K-KNN;0.607;0;0.8098303088228513;0.17970722710117698
Swin-L-IN1K-LOGITS;0.6047;0;0.7769207821470662;0.03594919586181643
DINOv2-B-IN1K-KNN;0.5927;0;0.8294461450553716;0.03169539405852555
Swin-L-KNN;0.5912;0;0.8097979018428139;0.14544310366287827
Swin-L-IN1K-KNN;0.5912;0;0.8097979018428139;0.14544310366287827
CLIP-B-IN1K-KNN;0.5901;0;0.8290612914173561;0.1332266707219183
Hiera_L-IN1K-KNN;0.5897;0;0.794518819720665;0.1950505801796913
CLIP-B-IN1K-LINEAR_PROBE;0.5893;0;0.8005059673255104;0.5655438792945584
Swin-B-IN1K-LINEAR_PROBE;0.5826;0;0.796956203631557;0.560459401459992
CLIP-L-IN1K-LOGITS;0.5791;0;0.7905239116629268;0.02102063598632814
ViT-L-IN1K-KNN;0.5766;0;0.8470620291182933;0.053909344650804984
Swin-B-IN1K-LOGITS;0.5739;0;0.7811619579862974;0.021201824951171882
ViT-B-IN1K-LOGITS;0.5725;0;0.8166396486120688;0.11920516891479489
Hiera_L-IN1K-LOGITS;0.5672;0;0.7910111185992612;0.0388043731689453
CLIP-B-IN1K-LOGITS;0.5663;0;0.8089713287197606;0.05542513275146483
ViT-B-IN1K-KNN;0.5601;0;0.8509635757814331;0.05619826445803046
Swin-B-IN1K-KNN;0.5563;0;0.8113316391329736;0.17243807105347514
DINOv2-S-KNN;0.5386;0;0.8175663043633972;0.046748749481886655
DINOv3-B-KNN;0.5198;0;0.828165976758113;0.050677123162895445
Swin-S-IN1K-LOGITS;0.5188;0;0.7733647922086329;0.035044738769531264
DINOv2-S-IN1K-LOGITS;0.5176;0;0.8080285196569958;0.11544421997070314
Hiera_B-KNN;0.5129;0;0.7960879479816945;0.21809220619648692
Hiera_S-IN1K-KNN;0.4955;0;0.7923494003014244;0.2252022017791867
DINOv3-S-KNN;0.4898;0;0.8194873378505197;0.04405084855929017
Hiera_B-LOGITS;0.4874;0;0.7773679397364504;0.0657640808105469
Hiera_S-IN1K-LOGITS;0.4796;0;0.7805306625621274;0.08098717041015625
Swin-B-KNN;0.4721;0;0.7858746507475536;0.26198562220782046
DINOv1-B-KNN;0.4693;0;0.8181551120462096;0.05136417788043619
Swin-S-KNN;0.4684;0;0.7937820560395152;0.24756196109727024
Swin-S-IN1K-KNN;0.4636;0;0.8136972854211664;0.18471166087463498
DINOv2-S-IN1K-KNN;0.4456;0;0.8147620164844133;0.06300478830412032
CLIP-L-KNN;0.4036;0;0.8400346745155439;0.040217397042363885
DINOv1-S-KNN;0.3864;0;0.7886578943195099;0.0957925499677658
ResNet-50-IN1K-LOGITS;0.3519;0;0.80304417060313;0.2830960144042969
ResNet-50-IN1K-KNN;0.2707;0;0.8323578823806991;0.13477898162566126
ResNet-50-KNN;0.2638;0;0.8459090788321646;0.07497011168487369
CLIP-B-KNN;0.2444;0;0.8349830268961747;0.07237968062758446
