class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
604;hourglass;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
873;triumphal_arch;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
576;gondola;50;;0.98;0.98;0.98;0.98;49;1;1
387;lesser_panda;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
149;dugong;50;;1.0;0.9433962264150944;1.0;0.970873786407767;50;3;0
739;potter's_wheel;50;;0.98;0.9607843137254902;0.98;0.9702970297029702;49;2;1
466;bullet_train;50;;0.96;0.9795918367346939;0.96;0.9696969696969697;48;1;2
347;bison;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
294;brown_bear;50;;0.96;0.96;0.96;0.96;48;2;2
1;goldfish;50;;0.96;0.96;0.96;0.96;48;2;2
786;sewing_machine;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
354;Arabian_camel;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
532;dining_table;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
430;basketball;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
779;school_bus;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
325;sulphur_butterfly;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
349;bighorn;50;;0.92;0.9787234042553191;0.92;0.9484536082474226;46;1;4
612;jinrikisha;50;;0.92;0.9787234042553191;0.92;0.9484536082474226;46;1;4
128;black_stork;50;;0.92;0.9787234042553191;0.92;0.9484536082474226;46;1;4
945;bell_pepper;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
957;pomegranate;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
145;king_penguin;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
105;koala;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
565;freight_car;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
400;academic_gown;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
704;parking_meter;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
890;volleyball;50;;0.94;0.94;0.94;0.94;47;3;3
877;turnstile;50;;0.9;0.9782608695652174;0.9;0.9375;45;1;5
448;birdhouse;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
447;binoculars;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
496;Christmas_stocking;50;;0.92;0.9387755102040817;0.92;0.9292929292929293;46;3;4
917;comic_book;50;;0.92;0.9387755102040817;0.92;0.9292929292929293;46;3;4
573;go-kart;50;;0.9;0.9574468085106383;0.9;0.9278350515463918;45;2;5
888;viaduct;50;;0.9;0.9574468085106383;0.9;0.9278350515463918;45;2;5
963;pizza;50;;0.88;0.9777777777777777;0.88;0.9263157894736842;44;1;6
781;scoreboard;50;;0.88;0.9777777777777777;0.88;0.9263157894736842;44;1;6
146;albatross;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
291;lion;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
353;gazelle;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
470;candle;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
900;water_tower;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
323;monarch;50;;0.9;0.9375;0.9;0.9183673469387755;45;3;5
988;acorn;50;;0.86;0.9772727272727273;0.86;0.9148936170212766;43;1;7
338;guinea_pig;50;;0.84;1.0;0.84;0.9130434782608696;42;0;8
874;trolleybus;50;;0.84;1.0;0.84;0.9130434782608696;42;0;8
747;punching_bag;50;;0.92;0.9019607843137255;0.92;0.9108910891089109;46;5;4
862;torch;50;;0.9;0.9183673469387755;0.9;0.9090909090909091;45;4;5
562;fountain;50;;0.88;0.9361702127659575;0.88;0.9072164948453608;44;3;6
107;jellyfish;50;;0.86;0.9555555555555556;0.86;0.9052631578947369;43;2;7
938;cauliflower;50;;0.84;0.9767441860465116;0.84;0.9032258064516129;42;1;8
821;steel_arch_bridge;50;;0.92;0.8846153846153846;0.92;0.9019607843137256;46;6;4
614;kimono;50;;0.82;1.0;0.82;0.9010989010989011;41;0;9
682;obelisk;50;;0.82;1.0;0.82;0.9010989010989011;41;0;9
768;rugby_ball;50;;0.82;1.0;0.82;0.9010989010989011;41;0;9
329;sea_cucumber;50;;0.86;0.9347826086956522;0.86;0.8958333333333334;43;3;7
471;cannon;50;;0.84;0.9545454545454546;0.84;0.8936170212765958;42;2;8
887;vestment;50;;0.82;0.9761904761904762;0.82;0.8913043478260869;41;1;9
525;dam;50;;0.8;1.0;0.8;0.888888888888889;40;0;10
967;espresso;50;;0.8;1.0;0.8;0.888888888888889;40;0;10
932;pretzel;50;;0.8;1.0;0.8;0.888888888888889;40;0;10
687;organ;50;;0.8;1.0;0.8;0.888888888888889;40;0;10
113;snail;50;;0.86;0.9148936170212766;0.86;0.8865979381443299;43;4;7
645;maypole;50;;0.82;0.9534883720930233;0.82;0.8817204301075269;41;2;9
341;hog;50;;0.82;0.9534883720930233;0.82;0.8817204301075269;41;2;9
365;orangutan;50;;0.82;0.9534883720930233;0.82;0.8817204301075269;41;2;9
286;cougar;50;;0.82;0.9534883720930233;0.82;0.8817204301075269;41;2;9
367;chimpanzee;50;;0.82;0.9534883720930233;0.82;0.8817204301075269;41;2;9
437;beacon;50;;0.8;0.975609756097561;0.8;0.8791208791208791;40;1;10
235;German_shepherd;50;;0.78;1.0;0.78;0.8764044943820225;39;0;11
760;refrigerator;50;;0.78;1.0;0.78;0.8764044943820225;39;0;11
683;oboe;50;;0.84;0.9130434782608695;0.84;0.8749999999999999;42;4;8
707;pay-phone;50;;0.82;0.9318181818181818;0.82;0.8723404255319149;41;3;9
850;teddy;50;;0.8;0.9523809523809523;0.8;0.8695652173913043;40;2;10
301;ladybug;50;;0.8;0.9523809523809523;0.8;0.8695652173913043;40;2;10
853;thatch;50;;0.78;0.975;0.78;0.8666666666666667;39;1;11
115;sea_slug;50;;0.78;0.975;0.78;0.8666666666666667;39;1;11
557;flagpole;50;;0.82;0.9111111111111111;0.82;0.8631578947368421;41;4;9
568;fur_coat;50;;0.8;0.9302325581395349;0.8;0.8602150537634408;40;3;10
480;cash_machine;50;;0.76;0.9743589743589743;0.76;0.853932584269663;38;1;12
71;scorpion;50;;0.76;0.9743589743589743;0.76;0.853932584269663;38;1;12
735;poncho;50;;0.76;0.9743589743589743;0.76;0.853932584269663;38;1;12
283;Persian_cat;50;;0.8;0.9090909090909091;0.8;0.8510638297872342;40;4;10
543;dumbbell;50;;0.74;1.0;0.74;0.8505747126436781;37;0;13
425;barn;50;;0.74;1.0;0.74;0.8505747126436781;37;0;13
406;altar;50;;0.76;0.95;0.76;0.8444444444444444;38;2;12
635;magnetic_compass;50;;0.76;0.95;0.76;0.8444444444444444;38;2;12
808;sombrero;50;;0.8;0.8888888888888888;0.8;0.8421052631578948;40;5;10
720;pill_bottle;50;;0.74;0.9736842105263158;0.74;0.8409090909090909;37;1;13
625;lifeboat;50;;0.72;1.0;0.72;0.8372093023255813;36;0;14
839;suspension_bridge;50;;0.72;1.0;0.72;0.8372093023255813;36;0;14
801;snorkel;50;;0.72;1.0;0.72;0.8372093023255813;36;0;14
458;brass;50;;0.72;1.0;0.72;0.8372093023255813;36;0;14
744;projectile;50;;0.76;0.926829268292683;0.76;0.8351648351648352;38;3;12
345;ox;50;;0.76;0.926829268292683;0.76;0.8351648351648352;38;3;12
964;potpie;50;;0.8;0.8695652173913043;0.8;0.8333333333333333;40;6;10
627;limousine;50;;0.84;0.8235294117647058;0.84;0.8316831683168315;42;9;8
438;beaker;50;;0.74;0.9487179487179487;0.74;0.8314606741573033;37;2;13
492;chest;50;;0.72;0.972972972972973;0.72;0.8275862068965518;36;1;14
