class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
149;dugong;50;;1.0;1.0;1.0;1.0;50;0;0
576;gondola;50;;1.0;1.0;1.0;1.0;50;0;0
466;bullet_train;50;;1.0;1.0;1.0;1.0;50;0;0
873;triumphal_arch;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
890;volleyball;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
128;black_stork;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
387;lesser_panda;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
294;brown_bear;50;;0.98;0.98;0.98;0.98;49;1;1
573;go-kart;50;;0.98;0.98;0.98;0.98;49;1;1
448;birdhouse;50;;0.98;0.98;0.98;0.98;49;1;1
604;hourglass;50;;0.98;0.98;0.98;0.98;49;1;1
430;basketball;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
988;acorn;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
779;school_bus;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
900;water_tower;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
105;koala;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
365;orangutan;50;;0.98;0.9607843137254902;0.98;0.9702970297029702;49;2;1
1;goldfish;50;;0.98;0.9607843137254902;0.98;0.9702970297029702;49;2;1
347;bison;50;;0.96;0.9795918367346939;0.96;0.9696969696969697;48;1;2
821;steel_arch_bridge;50;;0.96;0.9795918367346939;0.96;0.9696969696969697;48;1;2
945;bell_pepper;50;;0.96;0.9795918367346939;0.96;0.9696969696969697;48;1;2
349;bighorn;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
354;Arabian_camel;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
562;fountain;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
682;obelisk;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
353;gazelle;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
532;dining_table;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
957;pomegranate;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
786;sewing_machine;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
338;guinea_pig;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
315;mantis;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
291;lion;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
400;academic_gown;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
107;jellyfish;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
739;potter's_wheel;50;;0.98;0.9245283018867925;0.98;0.9514563106796116;49;4;1
612;jinrikisha;50;;0.96;0.9411764705882353;0.96;0.9504950495049505;48;3;2
645;maypole;50;;0.94;0.9591836734693877;0.94;0.9494949494949495;47;2;3
471;cannon;50;;0.94;0.9591836734693877;0.94;0.9494949494949495;47;2;3
145;king_penguin;50;;0.92;0.9787234042553191;0.92;0.9484536082474226;46;1;4
887;vestment;50;;0.92;0.9787234042553191;0.92;0.9484536082474226;46;1;4
963;pizza;50;;0.92;0.9787234042553191;0.92;0.9484536082474226;46;1;4
806;sock;50;;0.92;0.9787234042553191;0.92;0.9484536082474226;46;1;4
146;albatross;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
525;dam;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
938;cauliflower;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
888;viaduct;50;;0.92;0.9583333333333334;0.92;0.9387755102040817;46;2;4
877;turnstile;50;;0.92;0.9583333333333334;0.92;0.9387755102040817;46;2;4
704;parking_meter;50;;0.92;0.9583333333333334;0.92;0.9387755102040817;46;2;4
447;binoculars;50;;0.9;0.9782608695652174;0.9;0.9375;45;1;5
113;snail;50;;0.9;0.9782608695652174;0.9;0.9375;45;1;5
283;Persian_cat;50;;0.9;0.9782608695652174;0.9;0.9375;45;1;5
932;pretzel;50;;0.9;0.9782608695652174;0.9;0.9375;45;1;5
301;ladybug;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
565;freight_car;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
69;trilobite;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
768;rugby_ball;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
839;suspension_bridge;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
765;rocking_chair;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
874;trolleybus;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
614;kimono;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
496;Christmas_stocking;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
747;punching_bag;50;;0.94;0.9215686274509803;0.94;0.9306930693069307;47;4;3
286;cougar;50;;0.9;0.9574468085106383;0.9;0.9278350515463918;45;2;5
917;comic_book;50;;0.88;0.9777777777777777;0.88;0.9263157894736842;44;1;6
781;scoreboard;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
367;chimpanzee;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
325;sulphur_butterfly;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
425;barn;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
862;torch;50;;0.92;0.92;0.92;0.92;46;4;4
437;beacon;50;;0.9;0.9375;0.9;0.9183673469387755;45;3;5
329;sea_cucumber;50;;0.9;0.9375;0.9;0.9183673469387755;45;3;5
853;thatch;50;;0.86;0.9772727272727273;0.86;0.9148936170212766;43;1;7
568;fur_coat;50;;0.86;0.9772727272727273;0.86;0.9148936170212766;43;1;7
687;organ;50;;0.86;0.9772727272727273;0.86;0.9148936170212766;43;1;7
801;snorkel;50;;0.86;0.9772727272727273;0.86;0.9148936170212766;43;1;7
323;monarch;50;;0.86;0.9772727272727273;0.86;0.9148936170212766;43;1;7
311;grasshopper;50;;0.86;0.9772727272727273;0.86;0.9148936170212766;43;1;7
760;refrigerator;50;;0.86;0.9772727272727273;0.86;0.9148936170212766;43;1;7
25;European_fire_salamander;50;;0.84;1.0;0.84;0.9130434782608696;42;0;8
842;swimming_trunks;50;;0.94;0.8867924528301887;0.94;0.912621359223301;47;6;3
470;candle;50;;0.88;0.9361702127659575;0.88;0.9072164948453608;44;3;6
707;pay-phone;50;;0.88;0.9361702127659575;0.88;0.9072164948453608;44;3;6
71;scorpion;50;;0.86;0.9555555555555556;0.86;0.9052631578947369;43;2;7
500;cliff_dwelling;50;;0.84;0.9767441860465116;0.84;0.9032258064516129;42;1;8
964;potpie;50;;0.92;0.8846153846153846;0.92;0.9019607843137256;46;6;4
735;poncho;50;;0.82;1.0;0.82;0.9010989010989011;41;0;9
635;magnetic_compass;50;;0.84;0.9545454545454546;0.84;0.8936170212765958;42;2;8
808;sombrero;50;;0.82;0.9761904761904762;0.82;0.8913043478260869;41;1;9
235;German_shepherd;50;;0.82;0.9761904761904762;0.82;0.8913043478260869;41;1;9
850;teddy;50;;0.82;0.9761904761904762;0.82;0.8913043478260869;41;1;9
849;teapot;50;;0.8;1.0;0.8;0.888888888888889;40;0;10
517;crane;50;;0.8;1.0;0.8;0.888888888888889;40;0;10
625;lifeboat;50;;0.8;1.0;0.8;0.888888888888889;40;0;10
543;dumbbell;50;;0.8;1.0;0.8;0.888888888888889;40;0;10
438;beaker;50;;0.88;0.8979591836734694;0.88;0.888888888888889;44;5;6
627;limousine;50;;0.86;0.9148936170212766;0.86;0.8865979381443299;43;4;7
683;oboe;50;;0.84;0.9333333333333333;0.84;0.8842105263157894;42;3;8
79;centipede;50;;0.8;0.975609756097561;0.8;0.8791208791208791;40;1;10
737;pop_bottle;50;;0.8;0.975609756097561;0.8;0.8791208791208791;40;1;10
621;lawn_mower;50;;0.8;0.975609756097561;0.8;0.8791208791208791;40;1;10
678;neck_brace;50;;0.86;0.8958333333333334;0.86;0.8775510204081632;43;5;7
313;walking_stick;50;;0.86;0.8958333333333334;0.86;0.8775510204081632;43;5;7
458;brass;50;;0.78;1.0;0.78;0.8764044943820225;39;0;11
967;espresso;50;;0.78;1.0;0.78;0.8764044943820225;39;0;11
440;beer_bottle;50;;0.86;0.8775510204081632;0.86;0.8686868686868686;43;6;7
492;chest;50;;0.78;0.975;0.78;0.8666666666666667;39;1;11
924;guacamole;50;;0.78;0.975;0.78;0.8666666666666667;39;1;11
115;sea_slug;50;;0.78;0.975;0.78;0.8666666666666667;39;1;11
605;iPod;50;;0.78;0.975;0.78;0.8666666666666667;39;1;11
341;hog;50;;0.76;1.0;0.76;0.8636363636363636;38;0;12
480;cash_machine;50;;0.82;0.9111111111111111;0.82;0.8631578947368421;41;4;9
557;flagpole;50;;0.82;0.9111111111111111;0.82;0.8631578947368421;41;4;9
720;pill_bottle;50;;0.78;0.9512195121951219;0.78;0.8571428571428571;39;2;11
435;bathtub;50;;0.76;0.9743589743589743;0.76;0.853932584269663;38;1;12
970;alp;50;;0.76;0.9743589743589743;0.76;0.853932584269663;38;1;12
761;remote_control;50;;0.76;0.9743589743589743;0.76;0.853932584269663;38;1;12
386;African_elephant;50;;0.74;1.0;0.74;0.8505747126436781;37;0;13
744;projectile;50;;0.74;1.0;0.74;0.8505747126436781;37;0;13
372;baboon;50;;0.74;1.0;0.74;0.8505747126436781;37;0;13
929;ice_lolly;50;;0.74;1.0;0.74;0.8505747126436781;37;0;13
207;golden_retriever;50;;0.78;0.9285714285714286;0.78;0.8478260869565217;39;3;11
109;brain_coral;50;;0.78;0.9285714285714286;0.78;0.8478260869565217;39;3;11
345;ox;50;;0.78;0.9285714285714286;0.78;0.8478260869565217;39;3;11
511;convertible;50;;0.8;0.8888888888888888;0.8;0.8421052631578948;40;5;10
319;dragonfly;50;;0.74;0.9736842105263158;0.74;0.8409090909090909;37;1;13
675;moving_van;50;;0.94;0.7580645161290323;0.94;0.8392857142857143;47;15;3
826;stopwatch;50;;0.72;1.0;0.72;0.8372093023255813;36;0;14
467;butcher_shop;50;;0.72;1.0;0.72;0.8372093023255813;36;0;14
811;space_heater;50;;0.76;0.926829268292683;0.76;0.8351648351648352;38;3;12
445;bikini;50;;0.78;0.8863636363636364;0.78;0.8297872340425532;39;5;11
427;barrel;50;;0.72;0.972972972972973;0.72;0.8275862068965518;36;1;14
406;altar;50;;0.76;0.9047619047619048;0.76;0.8260869565217391;38;4;12
314;cockroach;50;;0.7;1.0;0.7;0.8235294117647058;35;0;15
951;lemon;50;;0.78;0.8666666666666667;0.78;0.8210526315789474;39;6;11
879;umbrella;50;;0.72;0.9473684210526315;0.72;0.8181818181818181;36;2;14
526;desk;50;;0.7;0.9722222222222222;0.7;0.813953488372093;35;1;15
421;bannister;50;;0.74;0.9024390243902439;0.74;0.8131868131868132;37;4;13
285;Egyptian_cat;50;;0.72;0.9230769230769231;0.72;0.8089887640449438;36;3;14
122;American_lobster;50;;0.8;0.8163265306122449;0.8;0.8080808080808082;40;9;10
123;spiny_lobster;50;;0.7;0.9459459459459459;0.7;0.8045977011494254;35;2;15
973;coral_reef;50;;0.74;0.8809523809523809;0.74;0.8043478260869565;37;5;13
567;frying_pan;50;;0.74;0.8809523809523809;0.74;0.8043478260869565;37;5;13
954;banana;50;;0.74;0.8604651162790697;0.74;0.7956989247311828;37;6;13
281;tabby;50;;0.86;0.7288135593220338;0.86;0.7889908256880733;43;16;7
975;lakeside;50;;0.82;0.7454545454545455;0.82;0.780952380952381;41;14;9
734;police_van;50;;0.64;1.0;0.64;0.7804878048780487;32;0;18
909;wok;50;;0.74;0.8222222222222222;0.74;0.7789473684210526;37;8;13
817;sports_car;50;;0.72;0.8181818181818182;0.72;0.7659574468085107;36;8;14
457;bow_tie;50;;0.62;1.0;0.62;0.7654320987654321;31;0;19
463;bucket;50;;0.64;0.9411764705882353;0.64;0.7619047619047621;32;2;18
935;mashed_potato;50;;0.66;0.8918918918918919;0.66;0.7586206896551725;33;4;17
962;meat_loaf;50;;0.72;0.8;0.72;0.7578947368421052;36;9;14
436;beach_wagon;50;;0.62;0.96875;0.62;0.7560975609756097;31;1;19
972;cliff;50;;0.66;0.868421052631579;0.66;0.7500000000000001;33;5;17
978;seashore;50;;0.74;0.7551020408163265;0.74;0.7474747474747474;37;12;13
32;tailed_frog;50;;0.9;0.6338028169014085;0.9;0.7438016528925621;45;26;5
716;picket_fence;50;;0.58;1.0;0.58;0.7341772151898733;29;0;21
474;cardigan;50;;0.58;1.0;0.58;0.7341772151898733;29;0;21
774;sandal;50;;0.6;0.9375;0.6;0.7317073170731707;30;2;20
731;plunger;50;;0.66;0.8048780487804879;0.66;0.7252747252747254;33;8;17
414;backpack;50;;0.56;1.0;0.56;0.717948717948718;28;0;22
570;gasmask;50;;0.56;1.0;0.56;0.717948717948718;28;0;22
75;black_widow;50;;0.56;0.9655172413793104;0.56;0.7088607594936709;28;1;22
928;ice_cream;50;;0.58;0.90625;0.58;0.7073170731707317;29;3;21
655;miniskirt;50;;0.58;0.8787878787878788;0.58;0.6987951807228915;29;4;21
424;barbershop;50;;0.54;0.9642857142857143;0.54;0.6923076923076923;27;1;23
509;confectionery;50;;0.54;0.9642857142857143;0.54;0.6923076923076923;27;1;23
815;spider_web;50;;0.52;1.0;0.52;0.6842105263157895;26;0;24
267;standard_poodle;50;;0.52;1.0;0.52;0.6842105263157895;26;0;24
208;Labrador_retriever;50;;0.52;1.0;0.52;0.6842105263157895;26;0;24
845;syringe;50;;0.5;1.0;0.5;0.6666666666666666;25;0;25
652;military_uniform;50;;0.48;1.0;0.48;0.6486486486486487;24;0;26
76;tarantula;50;;0.48;1.0;0.48;0.6486486486486487;24;0;26
50;American_alligator;50;;0.46;1.0;0.46;0.6301369863013699;23;0;27
30;bullfrog;50;;0.42;0.9545454545454546;0.42;0.5833333333333334;21;1;29
61;boa_constrictor;50;;0.4;1.0;0.4;0.5714285714285715;20;0;30
899;water_jug;50;;0.38;0.8636363636363636;0.38;0.5277777777777778;19;3;31
619;lampshade;50;;0.34;1.0;0.34;0.5074626865671642;17;0;33
187;Yorkshire_terrier;100;;0.34;1.0;0.34;0.5074626865671642;34;0;66
485;CD_player;50;;0.3;1.0;0.3;0.4615384615384615;15;0;35
508;computer_keyboard;50;;0.26;0.9285714285714286;0.26;0.40625;13;1;37
837;sunglasses;50;;0.14;1.0;0.14;0.24561403508771928;7;0;43
199;class_199;50;;0.0;0.0;0.0;0.0;0;0;50
54;class_54;50;;0.0;0.0;0.0;0.0;0;0;50
93;class_93;50;;0.0;0.0;0.0;0.0;0;0;50
164;class_164;50;;0.0;0.0;0.0;0.0;0;0;50
153;class_153;50;;0.0;0.0;0.0;0.0;0;0;50
170;class_170;50;;0.0;0.0;0.0;0.0;0;0;50
171;class_171;50;;0.0;0.0;0.0;0.0;0;1;50
172;class_172;50;;0.0;0.0;0.0;0.0;0;0;50
166;class_166;50;;0.0;0.0;0.0;0.0;0;0;50
184;class_184;50;;0.0;0.0;0.0;0.0;0;0;50
185;class_185;50;;0.0;0.0;0.0;0.0;0;0;50
186;class_186;50;;0.0;0.0;0.0;0.0;0;2;50
194;class_194;50;;0.0;0.0;0.0;0.0;0;1;50
195;class_195;50;;0.0;0.0;0.0;0.0;0;0;50
196;class_196;50;;0.0;0.0;0.0;0.0;0;0;50
197;class_197;50;;0.0;0.0;0.0;0.0;0;0;50
