class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
1;goldfish;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
576;gondola;50;;0.96;0.9230769230769231;0.96;0.9411764705882353;48;4;2
779;school_bus;50;;0.9;0.9782608695652174;0.9;0.9375;45;1;5
387;lesser_panda;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
466;bullet_train;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
347;bison;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
128;black_stork;50;;0.96;0.8888888888888888;0.96;0.923076923076923;48;6;2
873;triumphal_arch;50;;0.9;0.9375;0.9;0.9183673469387755;45;3;5
604;hourglass;50;;0.88;0.9565217391304348;0.88;0.9166666666666666;44;2;6
945;bell_pepper;50;;0.88;0.9565217391304348;0.88;0.9166666666666666;44;2;6
354;Arabian_camel;50;;0.86;0.9772727272727273;0.86;0.9148936170212766;43;1;7
323;monarch;50;;0.86;0.9555555555555556;0.86;0.9052631578947369;43;2;7
294;brown_bear;50;;0.84;0.9767441860465116;0.84;0.9032258064516129;42;1;8
145;king_penguin;50;;0.82;1.0;0.82;0.9010989010989011;41;0;9
532;dining_table;50;;0.82;1.0;0.82;0.9010989010989011;41;0;9
612;jinrikisha;50;;0.88;0.9166666666666666;0.88;0.8979591836734694;44;4;6
496;Christmas_stocking;50;;0.82;0.9761904761904762;0.82;0.8913043478260869;41;1;9
739;potter's_wheel;50;;0.96;0.8275862068965517;0.96;0.888888888888889;48;10;2
781;scoreboard;50;;0.84;0.9333333333333333;0.84;0.8842105263157894;42;3;8
645;maypole;50;;0.88;0.88;0.88;0.88;44;6;6
349;bighorn;50;;0.8;0.975609756097561;0.8;0.8791208791208791;40;1;10
573;go-kart;50;;0.8;0.975609756097561;0.8;0.8791208791208791;40;1;10
146;albatross;50;;0.78;1.0;0.78;0.8764044943820225;39;0;11
565;freight_car;50;;0.78;1.0;0.78;0.8764044943820225;39;0;11
301;ladybug;50;;0.78;1.0;0.78;0.8764044943820225;39;0;11
115;sea_slug;50;;0.84;0.9130434782608695;0.84;0.8749999999999999;42;4;8
430;basketball;50;;0.82;0.9318181818181818;0.82;0.8723404255319149;41;3;9
365;orangutan;50;;0.82;0.9318181818181818;0.82;0.8723404255319149;41;3;9
291;lion;50;;0.8;0.9523809523809523;0.8;0.8695652173913043;40;2;10
862;torch;50;;0.8;0.9302325581395349;0.8;0.8602150537634408;40;3;10
400;academic_gown;50;;0.86;0.86;0.86;0.8599999999999999;43;7;7
988;acorn;50;;0.78;0.9512195121951219;0.78;0.8571428571428571;39;2;11
917;comic_book;50;;0.8;0.9090909090909091;0.8;0.8510638297872342;40;4;10
325;sulphur_butterfly;50;;0.8;0.9090909090909091;0.8;0.8510638297872342;40;4;10
107;jellyfish;50;;0.74;1.0;0.74;0.8505747126436781;37;0;13
900;water_tower;50;;0.74;1.0;0.74;0.8505747126436781;37;0;13
353;gazelle;50;;0.72;1.0;0.72;0.8372093023255813;36;0;14
877;turnstile;50;;0.76;0.926829268292683;0.76;0.8351648351648352;38;3;12
149;dugong;50;;0.94;0.746031746031746;0.94;0.831858407079646;47;16;3
957;pomegranate;50;;0.72;0.972972972972973;0.72;0.8275862068965518;36;1;14
437;beacon;50;;0.76;0.9047619047619048;0.76;0.8260869565217391;38;4;12
888;viaduct;50;;0.7;1.0;0.7;0.8235294117647058;35;0;15
105;koala;50;;0.7;1.0;0.7;0.8235294117647058;35;0;15
687;organ;50;;0.7;1.0;0.7;0.8235294117647058;35;0;15
338;guinea_pig;50;;0.7;0.9722222222222222;0.7;0.813953488372093;35;1;15
448;birdhouse;50;;0.7;0.9722222222222222;0.7;0.813953488372093;35;1;15
109;brain_coral;50;;0.7;0.9722222222222222;0.7;0.813953488372093;35;1;15
682;obelisk;50;;0.68;1.0;0.68;0.8095238095238095;34;0;16
635;magnetic_compass;50;;0.76;0.8636363636363636;0.76;0.8085106382978724;38;6;12
963;pizza;50;;0.7;0.9459459459459459;0.7;0.8045977011494254;35;2;15
704;parking_meter;50;;0.7;0.9459459459459459;0.7;0.8045977011494254;35;2;15
744;projectile;50;;0.74;0.8809523809523809;0.74;0.8043478260869565;37;5;13
438;beaker;50;;0.78;0.8125;0.78;0.7959183673469388;39;9;11
768;rugby_ball;50;;0.66;1.0;0.66;0.7951807228915663;33;0;17
970;alp;50;;0.66;1.0;0.66;0.7951807228915663;33;0;17
967;espresso;50;;0.66;1.0;0.66;0.7951807228915663;33;0;17
562;fountain;50;;0.66;1.0;0.66;0.7951807228915663;33;0;17
964;potpie;50;;0.8;0.7843137254901961;0.8;0.792079207920792;40;11;10
283;Persian_cat;50;;0.7;0.8974358974358975;0.7;0.7865168539325842;35;4;15
850;teddy;50;;0.66;0.9705882352941176;0.66;0.7857142857142857;33;1;17
345;ox;50;;0.66;0.9705882352941176;0.66;0.7857142857142857;33;1;17
71;scorpion;50;;0.64;1.0;0.64;0.7804878048780487;32;0;18
367;chimpanzee;50;;0.64;1.0;0.64;0.7804878048780487;32;0;18
341;hog;50;;0.7;0.8536585365853658;0.7;0.7692307692307692;35;6;15
821;steel_arch_bridge;50;;0.86;0.6935483870967742;0.86;0.7678571428571428;43;19;7
471;cannon;50;;0.66;0.9166666666666666;0.66;0.7674418604651163;33;3;17
235;German_shepherd;50;;0.62;1.0;0.62;0.7654320987654321;31;0;19
932;pretzel;50;;0.62;1.0;0.62;0.7654320987654321;31;0;19
625;lifeboat;50;;0.62;1.0;0.62;0.7654320987654321;31;0;19
887;vestment;50;;0.64;0.9411764705882353;0.64;0.7619047619047621;32;2;18
938;cauliflower;50;;0.62;0.96875;0.62;0.7560975609756097;31;1;19
801;snorkel;50;;0.62;0.96875;0.62;0.7560975609756097;31;1;19
786;sewing_machine;50;;0.62;0.96875;0.62;0.7560975609756097;31;1;19
425;barn;50;;0.6;1.0;0.6;0.7499999999999999;30;0;20
406;altar;50;;0.72;0.782608695652174;0.72;0.7499999999999999;36;10;14
122;American_lobster;50;;0.8;0.7017543859649122;0.8;0.7476635514018691;40;17;10
329;sea_cucumber;50;;0.68;0.8292682926829268;0.68;0.7472527472527474;34;7;16
470;candle;50;;0.66;0.8461538461538461;0.66;0.7415730337078651;33;6;17
286;cougar;50;;0.6;0.967741935483871;0.6;0.7407407407407407;30;1;20
557;flagpole;50;;0.62;0.9117647058823529;0.62;0.7380952380952381;31;3;19
678;neck_brace;50;;0.72;0.75;0.72;0.7346938775510204;36;12;14
525;dam;50;;0.58;1.0;0.58;0.7341772151898733;29;0;21
817;sports_car;50;;0.82;0.6612903225806451;0.82;0.7321428571428572;41;21;9
765;rocking_chair;50;;0.58;0.9666666666666667;0.58;0.725;29;1;21
747;punching_bag;50;;0.84;0.6363636363636364;0.84;0.7241379310344828;42;24;8
951;lemon;50;;0.6;0.9090909090909091;0.6;0.7228915662650602;30;3;20
319;dragonfly;50;;0.56;1.0;0.56;0.717948717948718;28;0;22
760;refrigerator;50;;0.56;1.0;0.56;0.717948717948718;28;0;22
614;kimono;50;;0.56;1.0;0.56;0.717948717948718;28;0;22
890;volleyball;50;;0.58;0.9354838709677419;0.58;0.7160493827160493;29;2;21
113;snail;50;;0.58;0.9354838709677419;0.58;0.7160493827160493;29;2;21
543;dumbbell;50;;0.56;0.9655172413793104;0.56;0.7088607594936709;28;1;22
973;coral_reef;50;;0.62;0.8157894736842105;0.62;0.7045454545454546;31;7;19
924;guacamole;50;;0.54;1.0;0.54;0.7012987012987013;27;0;23
849;teapot;50;;0.54;1.0;0.54;0.7012987012987013;27;0;23
707;pay-phone;50;;0.58;0.8787878787878788;0.58;0.6987951807228915;29;4;21
720;pill_bottle;50;;0.54;0.9642857142857143;0.54;0.6923076923076923;27;1;23
853;thatch;50;;0.52;1.0;0.52;0.6842105263157895;26;0;24
458;brass;50;;0.52;1.0;0.52;0.6842105263157895;26;0;24
386;African_elephant;50;;0.52;1.0;0.52;0.6842105263157895;26;0;24
808;sombrero;50;;0.52;1.0;0.52;0.6842105263157895;26;0;24
826;stopwatch;50;;0.54;0.9310344827586207;0.54;0.6835443037974683;27;2;23
567;frying_pan;50;;0.82;0.5857142857142857;0.82;0.6833333333333333;41;29;9
447;binoculars;50;;0.52;0.9629629629629629;0.52;0.6753246753246753;26;1;24
372;baboon;50;;0.52;0.9629629629629629;0.52;0.6753246753246753;26;1;24
954;banana;50;;0.52;0.9629629629629629;0.52;0.6753246753246753;26;1;24
568;fur_coat;50;;0.52;0.9629629629629629;0.52;0.6753246753246753;26;1;24
811;space_heater;50;;0.54;0.9;0.54;0.675;27;3;23
842;swimming_trunks;50;;0.6;0.7692307692307693;0.6;0.6741573033707865;30;9;20
627;limousine;50;;0.6;0.7692307692307693;0.6;0.6741573033707865;30;9;20
683;oboe;50;;0.82;0.5694444444444444;0.82;0.6721311475409835;41;31;9
735;poncho;50;;0.54;0.8709677419354839;0.54;0.6666666666666666;27;4;23
32;tailed_frog;50;;0.82;0.5540540540540541;0.82;0.6612903225806451;41;33;9
440;beer_bottle;50;;0.6;0.7317073170731707;0.6;0.6593406593406594;30;11;20
69;trilobite;50;;0.48;1.0;0.48;0.6486486486486487;24;0;26
435;bathtub;50;;0.48;1.0;0.48;0.6486486486486487;24;0;26
427;barrel;50;;0.48;0.96;0.48;0.64;24;1;26
123;spiny_lobster;50;;0.48;0.96;0.48;0.64;24;1;26
315;mantis;50;;0.46;1.0;0.46;0.6301369863013699;23;0;27
285;Egyptian_cat;50;;0.54;0.75;0.54;0.627906976744186;27;9;23
978;seashore;50;;0.62;0.6326530612244898;0.62;0.6262626262626263;31;18;19
874;trolleybus;50;;0.46;0.9583333333333334;0.46;0.6216216216216216;23;1;27
79;centipede;50;;0.46;0.9583333333333334;0.46;0.6216216216216216;23;1;27
761;remote_control;50;;0.44;1.0;0.44;0.6111111111111112;22;0;28
500;cliff_dwelling;50;;0.44;1.0;0.44;0.6111111111111112;22;0;28
975;lakeside;50;;0.6;0.6122448979591837;0.6;0.6060606060606062;30;19;20
675;moving_van;50;;0.82;0.47126436781609193;0.82;0.5985401459854015;41;46;9
207;golden_retriever;50;;0.46;0.8518518518518519;0.46;0.5974025974025975;23;4;27
806;sock;50;;0.42;1.0;0.42;0.5915492957746479;21;0;29
