class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
387;lesser_panda;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
779;school_bus;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
105;koala;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
496;Christmas_stocking;50;;0.94;0.94;0.94;0.94;47;3;3
576;gondola;50;;0.94;0.94;0.94;0.94;47;3;3
1;goldfish;50;;0.9;0.9782608695652174;0.9;0.9375;45;1;5
128;black_stork;50;;0.88;0.9777777777777777;0.88;0.9263157894736842;44;1;6
466;bullet_train;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
604;hourglass;50;;0.96;0.8888888888888888;0.96;0.923076923076923;48;6;2
365;orangutan;50;;0.94;0.9038461538461539;0.94;0.9215686274509804;47;5;3
354;Arabian_camel;50;;0.86;0.9772727272727273;0.86;0.9148936170212766;43;1;7
145;king_penguin;50;;0.86;0.9772727272727273;0.86;0.9148936170212766;43;1;7
945;bell_pepper;50;;0.88;0.9361702127659575;0.88;0.9072164948453608;44;3;6
347;bison;50;;0.84;0.9767441860465116;0.84;0.9032258064516129;42;1;8
353;gazelle;50;;0.82;1.0;0.82;0.9010989010989011;41;0;9
573;go-kart;50;;0.82;1.0;0.82;0.9010989010989011;41;0;9
323;monarch;50;;0.84;0.9545454545454546;0.84;0.8936170212765958;42;2;8
565;freight_car;50;;0.8;1.0;0.8;0.888888888888889;40;0;10
146;albatross;50;;0.8;1.0;0.8;0.888888888888889;40;0;10
873;triumphal_arch;50;;0.8;1.0;0.8;0.888888888888889;40;0;10
291;lion;50;;0.88;0.88;0.88;0.88;44;6;6
781;scoreboard;50;;0.84;0.9130434782608695;0.84;0.8749999999999999;42;4;8
149;dugong;50;;0.98;0.7903225806451613;0.98;0.8749999999999999;49;13;1
301;ladybug;50;;0.78;0.975;0.78;0.8666666666666667;39;1;11
283;Persian_cat;50;;0.84;0.8936170212765957;0.84;0.8659793814432989;42;5;8
325;sulphur_butterfly;50;;0.76;1.0;0.76;0.8636363636363636;38;0;12
235;German_shepherd;50;;0.76;1.0;0.76;0.8636363636363636;38;0;12
862;torch;50;;0.82;0.8913043478260869;0.82;0.8541666666666666;41;5;9
294;brown_bear;50;;0.9;0.8035714285714286;0.9;0.8490566037735849;45;11;5
850;teddy;50;;0.76;0.95;0.76;0.8444444444444444;38;2;12
678;neck_brace;50;;0.84;0.84;0.84;0.8399999999999999;42;8;8
635;magnetic_compass;50;;0.78;0.9069767441860465;0.78;0.8387096774193548;39;4;11
739;potter's_wheel;50;;0.72;1.0;0.72;0.8372093023255813;36;0;14
430;basketball;50;;0.76;0.9047619047619048;0.76;0.8260869565217391;38;4;12
367;chimpanzee;50;;0.7;1.0;0.7;0.8235294117647058;35;0;15
768;rugby_ball;50;;0.7;1.0;0.7;0.8235294117647058;35;0;15
625;lifeboat;50;;0.72;0.9473684210526315;0.72;0.8181818181818181;36;2;14
645;maypole;50;;0.76;0.8837209302325582;0.76;0.8172043010752689;38;5;12
917;comic_book;50;;0.7;0.9722222222222222;0.7;0.813953488372093;35;1;15
716;picket_fence;50;;0.7;0.9722222222222222;0.7;0.813953488372093;35;1;15
900;water_tower;50;;0.68;1.0;0.68;0.8095238095238095;34;0;16
109;brain_coral;50;;0.72;0.9230769230769231;0.72;0.8089887640449438;36;3;14
438;beaker;50;;0.72;0.9230769230769231;0.72;0.8089887640449438;36;3;14
877;turnstile;50;;0.7;0.9459459459459459;0.7;0.8045977011494254;35;2;15
747;punching_bag;50;;0.9;0.7258064516129032;0.9;0.8035714285714286;45;17;5
826;stopwatch;50;;0.68;0.9714285714285714;0.68;0.8;34;1;16
557;flagpole;50;;0.72;0.9;0.72;0.7999999999999999;36;4;14
808;sombrero;50;;0.7;0.9210526315789473;0.7;0.7954545454545453;35;3;15
938;cauliflower;50;;0.7;0.9210526315789473;0.7;0.7954545454545453;35;3;15
448;birdhouse;50;;0.66;1.0;0.66;0.7951807228915663;33;0;17
967;espresso;50;;0.66;1.0;0.66;0.7951807228915663;33;0;17
25;European_fire_salamander;50;;0.66;1.0;0.66;0.7951807228915663;33;0;17
951;lemon;50;;0.8;0.7843137254901961;0.8;0.792079207920792;40;11;10
964;potpie;50;;0.76;0.8260869565217391;0.76;0.7916666666666667;38;8;12
447;binoculars;50;;0.66;0.9705882352941176;0.66;0.7857142857142857;33;1;17
207;golden_retriever;50;;0.82;0.7454545454545455;0.82;0.780952380952381;41;14;9
988;acorn;50;;0.64;1.0;0.64;0.7804878048780487;32;0;18
704;parking_meter;50;;0.64;1.0;0.64;0.7804878048780487;32;0;18
338;guinea_pig;50;;0.64;1.0;0.64;0.7804878048780487;32;0;18
349;bighorn;50;;0.66;0.9428571428571428;0.66;0.7764705882352942;33;2;17
113;snail;50;;0.68;0.8947368421052632;0.68;0.7727272727272727;34;4;16
437;beacon;50;;0.68;0.8947368421052632;0.68;0.7727272727272727;34;4;16
853;thatch;50;;0.78;0.7647058823529411;0.78;0.7722772277227723;39;12;11
532;dining_table;50;;0.7;0.8536585365853658;0.7;0.7692307692307692;35;6;15
612;jinrikisha;50;;0.94;0.6438356164383562;0.94;0.7642276422764229;47;26;3
372;baboon;50;;0.62;0.96875;0.62;0.7560975609756097;31;1;19
957;pomegranate;50;;0.62;0.96875;0.62;0.7560975609756097;31;1;19
707;pay-phone;50;;0.62;0.96875;0.62;0.7560975609756097;31;1;19
970;alp;50;;0.64;0.9142857142857143;0.64;0.7529411764705883;32;3;18
932;pretzel;50;;0.6;1.0;0.6;0.7499999999999999;30;0;20
107;jellyfish;50;;0.6;1.0;0.6;0.7499999999999999;30;0;20
888;viaduct;50;;0.6;1.0;0.6;0.7499999999999999;30;0;20
543;dumbbell;50;;0.64;0.8888888888888888;0.64;0.7441860465116279;32;4;18
765;rocking_chair;50;;0.58;1.0;0.58;0.7341772151898733;29;0;21
425;barn;50;;0.58;1.0;0.58;0.7341772151898733;29;0;21
122;American_lobster;50;;0.8;0.6779661016949152;0.8;0.7339449541284404;40;19;10
683;oboe;50;;0.8;0.6666666666666666;0.8;0.7272727272727272;40;20;10
675;moving_van;50;;0.9;0.6081081081081081;0.9;0.7258064516129032;45;29;5
511;convertible;50;;0.82;0.6507936507936508;0.82;0.7256637168141592;41;22;9
386;African_elephant;50;;0.58;0.9666666666666667;0.58;0.725;29;1;21
562;fountain;50;;0.58;0.9666666666666667;0.58;0.725;29;1;21
786;sewing_machine;50;;0.56;1.0;0.56;0.717948717948718;28;0;22
286;cougar;50;;0.56;1.0;0.56;0.717948717948718;28;0;22
720;pill_bottle;50;;0.56;1.0;0.56;0.717948717948718;28;0;22
614;kimono;50;;0.56;0.9655172413793104;0.56;0.7088607594936709;28;1;22
471;cannon;50;;0.56;0.9655172413793104;0.56;0.7088607594936709;28;1;22
474;cardigan;50;;0.58;0.90625;0.58;0.7073170731707317;29;3;21
849;teapot;50;;0.54;1.0;0.54;0.7012987012987013;27;0;23
500;cliff_dwelling;50;;0.58;0.8787878787878788;0.58;0.6987951807228915;29;4;21
427;barrel;50;;0.6;0.8333333333333334;0.6;0.6976744186046512;30;6;20
281;tabby;50;;0.72;0.6666666666666666;0.72;0.6923076923076923;36;18;14
874;trolleybus;50;;0.54;0.9642857142857143;0.54;0.6923076923076923;27;1;23
470;candle;50;;0.56;0.9032258064516129;0.56;0.691358024691358;28;3;22
467;butcher_shop;50;;0.52;1.0;0.52;0.6842105263157895;26;0;24
458;brass;50;;0.52;1.0;0.52;0.6842105263157895;26;0;24
682;obelisk;50;;0.52;1.0;0.52;0.6842105263157895;26;0;24
627;limousine;50;;0.52;1.0;0.52;0.6842105263157895;26;0;24
761;remote_control;50;;0.52;1.0;0.52;0.6842105263157895;26;0;24
568;fur_coat;50;;0.52;1.0;0.52;0.6842105263157895;26;0;24
406;altar;50;;0.64;0.7111111111111111;0.64;0.6736842105263158;32;13;18
811;space_heater;50;;0.52;0.9285714285714286;0.52;0.6666666666666666;26;2;24
963;pizza;50;;0.5;1.0;0.5;0.6666666666666666;25;0;25
731;plunger;50;;0.5;1.0;0.5;0.6666666666666666;25;0;25
319;dragonfly;50;;0.5;1.0;0.5;0.6666666666666666;25;0;25
973;coral_reef;50;;0.6;0.75;0.6;0.6666666666666665;30;10;20
32;tailed_frog;50;;0.72;0.6101694915254238;0.72;0.6605504587155964;36;23;14
801;snorkel;50;;0.5;0.9615384615384616;0.5;0.6578947368421052;25;1;25
821;steel_arch_bridge;50;;0.88;0.5238095238095238;0.88;0.6567164179104478;44;40;6
329;sea_cucumber;50;;0.5;0.9259259259259259;0.5;0.6493506493506493;25;2;25
79;centipede;50;;0.48;1.0;0.48;0.6486486486486487;24;0;26
75;black_widow;50;;0.48;1.0;0.48;0.6486486486486487;24;0;26
929;ice_lolly;50;;0.48;1.0;0.48;0.6486486486486487;24;0;26
817;sports_car;50;;0.48;1.0;0.48;0.6486486486486487;24;0;26
525;dam;50;;0.48;1.0;0.48;0.6486486486486487;24;0;26
890;volleyball;50;;0.48;0.96;0.48;0.64;24;1;26
445;bikini;50;;0.48;0.9230769230769231;0.48;0.631578947368421;24;2;26
839;suspension_bridge;50;;0.46;1.0;0.46;0.6301369863013699;23;0;27
806;sock;50;;0.46;0.92;0.46;0.6133333333333333;23;2;27
954;banana;50;;0.46;0.92;0.46;0.6133333333333333;23;2;27
71;scorpion;50;;0.44;1.0;0.44;0.6111111111111112;22;0;28
345;ox;50;;0.44;1.0;0.44;0.6111111111111112;22;0;28
570;gasmask;50;;0.44;1.0;0.44;0.6111111111111112;22;0;28
421;bannister;50;;0.5;0.78125;0.5;0.6097560975609756;25;7;25
605;iPod;50;;0.44;0.9565217391304348;0.44;0.6027397260273973;22;1;28
962;meat_loaf;50;;0.6;0.6;0.6;0.6;30;20;20
267;standard_poodle;50;;0.42;1.0;0.42;0.5915492957746479;21;0;29
621;lawn_mower;50;;0.42;1.0;0.42;0.5915492957746479;21;0;29
760;refrigerator;50;;0.42;1.0;0.42;0.5915492957746479;21;0;29
508;computer_keyboard;50;;0.42;1.0;0.42;0.5915492957746479;21;0;29
435;bathtub;50;;0.44;0.88;0.44;0.5866666666666667;22;3;28
457;bow_tie;50;;0.42;0.9545454545454546;0.42;0.5833333333333334;21;1;29
842;swimming_trunks;50;;0.48;0.7272727272727273;0.48;0.5783132530120482;24;9;26
887;vestment;50;;0.42;0.9130434782608695;0.42;0.5753424657534246;21;2;29
509;confectionery;50;;0.46;0.7666666666666667;0.46;0.575;23;7;27
480;cash_machine;50;;0.4;1.0;0.4;0.5714285714285715;20;0;30
687;organ;50;;0.4;1.0;0.4;0.5714285714285715;20;0;30
341;hog;50;;0.4;0.9523809523809523;0.4;0.5633802816901408;20;1;30
285;Egyptian_cat;50;;0.42;0.84;0.42;0.5599999999999999;21;4;29
517;crane;50;;0.4;0.9090909090909091;0.4;0.5555555555555556;20;2;30
123;spiny_lobster;50;;0.4;0.9090909090909091;0.4;0.5555555555555556;20;2;30
567;frying_pan;50;;0.52;0.5909090909090909;0.52;0.5531914893617023;26;18;24
69;trilobite;50;;0.38;1.0;0.38;0.5507246376811594;19;0;31
315;mantis;50;;0.38;1.0;0.38;0.5507246376811594;19;0;31
735;poncho;50;;0.4;0.8333333333333334;0.4;0.5405405405405406;20;4;30
924;guacamole;50;;0.36;1.0;0.36;0.5294117647058824;18;0;32
187;Yorkshire_terrier;100;;0.36;1.0;0.36;0.5294117647058824;36;0;64
30;bullfrog;50;;0.36;0.9473684210526315;0.36;0.5217391304347826;18;1;32
463;bucket;50;;0.36;0.9473684210526315;0.36;0.5217391304347826;18;1;32
314;cockroach;50;;0.34;0.8947368421052632;0.34;0.4927536231884058;17;2;33
655;miniskirt;50;;0.34;0.85;0.34;0.4857142857142858;17;3;33
935;mashed_potato;50;;0.32;1.0;0.32;0.48484848484848486;16;0;34
208;Labrador_retriever;50;;0.32;1.0;0.32;0.48484848484848486;16;0;34
737;pop_bottle;50;;0.32;0.9411764705882353;0.32;0.4776119402985075;16;1;34
734;police_van;50;;0.3;1.0;0.3;0.4615384615384615;15;0;35
975;lakeside;50;;0.34;0.7083333333333334;0.34;0.45945945945945954;17;7;33
311;grasshopper;50;;0.3;0.9375;0.3;0.45454545454545453;15;1;35
436;beach_wagon;50;;0.3;0.8333333333333334;0.3;0.4411764705882353;15;3;35
313;walking_stick;50;;0.28;0.9333333333333333;0.28;0.4307692307692308;14;1;36
774;sandal;50;;0.28;0.875;0.28;0.42424242424242425;14;2;36
414;backpack;50;;0.26;1.0;0.26;0.41269841269841273;13;0;37
424;barbershop;50;;0.26;1.0;0.26;0.41269841269841273;13;0;37
440;beer_bottle;50;;0.28;0.7368421052631579;0.28;0.40579710144927544;14;5;36
928;ice_cream;50;;0.24;1.0;0.24;0.3870967741935484;12;0;38
50;American_alligator;50;;0.24;1.0;0.24;0.3870967741935484;12;0;38
815;spider_web;50;;0.24;1.0;0.24;0.3870967741935484;12;0;38
115;sea_slug;50;;0.24;1.0;0.24;0.3870967741935484;12;0;38
978;seashore;50;;0.3;0.5357142857142857;0.3;0.38461538461538464;15;13;35
909;wok;50;;0.24;0.8571428571428571;0.24;0.375;12;2;38
879;umbrella;50;;0.22;1.0;0.22;0.36065573770491804;11;0;39
76;tarantula;50;;0.2;1.0;0.2;0.33333333333333337;10;0;40
400;academic_gown;50;;0.2;1.0;0.2;0.33333333333333337;10;0;40
837;sunglasses;50;;0.2;1.0;0.2;0.33333333333333337;10;0;40
744;projectile;50;;0.2;0.9090909090909091;0.2;0.32786885245901637;10;1;40
492;chest;50;;0.14;1.0;0.14;0.24561403508771928;7;0;43
899;water_jug;50;;0.14;0.875;0.14;0.24137931034482757;7;1;43
619;lampshade;50;;0.14;0.875;0.14;0.24137931034482757;7;1;43
845;syringe;50;;0.12;1.0;0.12;0.21428571428571425;6;0;44
61;boa_constrictor;50;;0.08;1.0;0.08;0.14814814814814814;4;0;46
526;desk;50;;0.06;1.0;0.06;0.11320754716981131;3;0;47
652;military_uniform;50;;0.06;1.0;0.06;0.11320754716981131;3;0;47
972;cliff;50;;0.06;0.5;0.06;0.10714285714285712;3;3;47
199;class_199;50;;0.0;0.0;0.0;0.0;0;0;50
198;class_198;50;;0.0;0.0;0.0;0.0;0;0;50
54;class_54;50;;0.0;0.0;0.0;0.0;0;0;50
93;class_93;50;;0.0;0.0;0.0;0.0;0;0;50
164;class_164;50;;0.0;0.0;0.0;0.0;0;3;50
153;class_153;50;;0.0;0.0;0.0;0.0;0;0;50
170;class_170;50;;0.0;0.0;0.0;0.0;0;0;50
171;class_171;50;;0.0;0.0;0.0;0.0;0;0;50
172;class_172;50;;0.0;0.0;0.0;0.0;0;0;50
166;class_166;50;;0.0;0.0;0.0;0.0;0;2;50
184;class_184;50;;0.0;0.0;0.0;0.0;0;0;50
185;class_185;50;;0.0;0.0;0.0;0.0;0;0;50
