class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
387;lesser_panda;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
779;school_bus;50;;0.96;0.96;0.96;0.96;48;2;2
604;hourglass;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
1;goldfish;50;;0.92;0.9787234042553191;0.92;0.9484536082474226;46;1;4
466;bullet_train;50;;0.9;0.9782608695652174;0.9;0.9375;45;1;5
128;black_stork;50;;0.9;0.9782608695652174;0.9;0.9375;45;1;5
565;freight_car;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
353;gazelle;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
781;scoreboard;50;;0.88;0.9565217391304348;0.88;0.9166666666666666;44;2;6
291;lion;50;;0.86;0.9772727272727273;0.86;0.9148936170212766;43;1;7
145;king_penguin;50;;0.84;1.0;0.84;0.9130434782608696;42;0;8
612;jinrikisha;50;;0.84;0.9767441860465116;0.84;0.9032258064516129;42;1;8
945;bell_pepper;50;;0.88;0.9166666666666666;0.88;0.8979591836734694;44;4;6
365;orangutan;50;;0.88;0.9166666666666666;0.88;0.8979591836734694;44;4;6
323;monarch;50;;0.86;0.9347826086956522;0.86;0.8958333333333334;43;3;7
294;brown_bear;50;;0.94;0.8545454545454545;0.94;0.8952380952380952;47;8;3
576;gondola;50;;0.82;0.9761904761904762;0.82;0.8913043478260869;41;1;9
354;Arabian_camel;50;;0.8;0.975609756097561;0.8;0.8791208791208791;40;1;10
496;Christmas_stocking;50;;0.8;0.975609756097561;0.8;0.8791208791208791;40;1;10
146;albatross;50;;0.78;1.0;0.78;0.8764044943820225;39;0;11
105;koala;50;;0.78;1.0;0.78;0.8764044943820225;39;0;11
573;go-kart;50;;0.78;1.0;0.78;0.8764044943820225;39;0;11
347;bison;50;;0.82;0.9318181818181818;0.82;0.8723404255319149;41;3;9
739;potter's_wheel;50;;0.78;0.975;0.78;0.8666666666666667;39;1;11
768;rugby_ball;50;;0.76;1.0;0.76;0.8636363636363636;38;0;12
325;sulphur_butterfly;50;;0.76;1.0;0.76;0.8636363636363636;38;0;12
283;Persian_cat;50;;0.8;0.9302325581395349;0.8;0.8602150537634408;40;3;10
301;ladybug;50;;0.76;0.9743589743589743;0.76;0.853932584269663;38;1;12
682;obelisk;50;;0.76;0.9743589743589743;0.76;0.853932584269663;38;1;12
678;neck_brace;50;;0.8;0.9090909090909091;0.8;0.8510638297872342;40;4;10
873;triumphal_arch;50;;0.74;1.0;0.74;0.8505747126436781;37;0;13
235;German_shepherd;50;;0.74;1.0;0.74;0.8505747126436781;37;0;13
386;African_elephant;50;;0.74;0.9736842105263158;0.74;0.8409090909090909;37;1;13
