class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
128;black_stork;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
387;lesser_panda;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
291;lion;50;;0.98;0.98;0.98;0.98;49;1;1
354;Arabian_camel;50;;0.98;0.9607843137254902;0.98;0.9702970297029702;49;2;1
1;goldfish;50;;0.96;0.9795918367346939;0.96;0.9696969696969697;48;1;2
323;monarch;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
466;bullet_train;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
576;gondola;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
945;bell_pepper;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
353;gazelle;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
347;bison;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
779;school_bus;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
430;basketball;50;;0.96;0.9411764705882353;0.96;0.9504950495049505;48;3;2
365;orangutan;50;;0.94;0.9591836734693877;0.94;0.9494949494949495;47;2;3
349;bighorn;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
294;brown_bear;50;;0.96;0.9230769230769231;0.96;0.9411764705882353;48;4;2
325;sulphur_butterfly;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
145;king_penguin;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
107;jellyfish;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
146;albatross;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
105;koala;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
873;triumphal_arch;50;;0.88;0.9777777777777777;0.88;0.9263157894736842;44;1;6
900;water_tower;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
400;academic_gown;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
149;dugong;50;;0.98;0.875;0.98;0.9245283018867924;49;7;1
573;go-kart;50;;0.88;0.9565217391304348;0.88;0.9166666666666666;44;2;6
565;freight_car;50;;0.86;0.9772727272727273;0.86;0.9148936170212766;43;1;7
874;trolleybus;50;;0.86;0.9772727272727273;0.86;0.9148936170212766;43;1;7
853;thatch;50;;0.86;0.9772727272727273;0.86;0.9148936170212766;43;1;7
768;rugby_ball;50;;0.84;1.0;0.84;0.9130434782608696;42;0;8
957;pomegranate;50;;0.84;1.0;0.84;0.9130434782608696;42;0;8
988;acorn;50;;0.84;1.0;0.84;0.9130434782608696;42;0;8
496;Christmas_stocking;50;;0.84;1.0;0.84;0.9130434782608696;42;0;8
338;guinea_pig;50;;0.84;1.0;0.84;0.9130434782608696;42;0;8
890;volleyball;50;;0.84;1.0;0.84;0.9130434782608696;42;0;8
604;hourglass;50;;0.94;0.8867924528301887;0.94;0.912621359223301;47;6;3
862;torch;50;;0.92;0.9019607843137255;0.92;0.9108910891089109;46;5;4
635;magnetic_compass;50;;0.88;0.9361702127659575;0.88;0.9072164948453608;44;3;6
781;scoreboard;50;;0.86;0.9555555555555556;0.86;0.9052631578947369;43;2;7
877;turnstile;50;;0.86;0.9555555555555556;0.86;0.9052631578947369;43;2;7
645;maypole;50;;0.84;0.9767441860465116;0.84;0.9032258064516129;42;1;8
532;dining_table;50;;0.84;0.9767441860465116;0.84;0.9032258064516129;42;1;8
739;potter's_wheel;50;;0.9;0.9;0.9;0.9;45;5;5
970;alp;50;;0.88;0.9166666666666666;0.88;0.8979591836734694;44;4;6
808;sombrero;50;;0.82;0.9761904761904762;0.82;0.8913043478260869;41;1;9
682;obelisk;50;;0.82;0.9761904761904762;0.82;0.8913043478260869;41;1;9
286;cougar;50;;0.82;0.9761904761904762;0.82;0.8913043478260869;41;1;9
235;German_shepherd;50;;0.8;1.0;0.8;0.888888888888889;40;0;10
301;ladybug;50;;0.8;1.0;0.8;0.888888888888889;40;0;10
744;projectile;50;;0.8;1.0;0.8;0.888888888888889;40;0;10
938;cauliflower;50;;0.8;1.0;0.8;0.888888888888889;40;0;10
612;jinrikisha;50;;0.94;0.8392857142857143;0.94;0.8867924528301886;47;9;3
437;beacon;50;;0.82;0.9534883720930233;0.82;0.8817204301075269;41;2;9
367;chimpanzee;50;;0.8;0.975609756097561;0.8;0.8791208791208791;40;1;10
786;sewing_machine;50;;0.78;1.0;0.78;0.8764044943820225;39;0;11
