class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
1;goldfish;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
347;bison;50;;0.96;0.9795918367346939;0.96;0.9696969696969697;48;1;2
128;black_stork;50;;0.96;0.9795918367346939;0.96;0.9696969696969697;48;1;2
576;gondola;50;;0.96;0.9795918367346939;0.96;0.9696969696969697;48;1;2
612;jinrikisha;50;;0.96;0.9795918367346939;0.96;0.9696969696969697;48;1;2
323;monarch;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
294;brown_bear;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
353;gazelle;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
945;bell_pepper;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
149;dugong;50;;1.0;0.9090909090909091;1.0;0.9523809523809523;50;5;0
354;Arabian_camel;50;;0.96;0.9411764705882353;0.96;0.9504950495049505;48;3;2
325;sulphur_butterfly;50;;0.94;0.9591836734693877;0.94;0.9494949494949495;47;2;3
430;basketball;50;;0.92;0.9787234042553191;0.92;0.9484536082474226;46;1;4
291;lion;50;;0.92;0.9787234042553191;0.92;0.9484536082474226;46;1;4
349;bighorn;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
387;lesser_panda;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
338;guinea_pig;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
365;orangutan;50;;0.9;0.9782608695652174;0.9;0.9375;45;1;5
779;school_bus;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
146;albatross;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
105;koala;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
107;jellyfish;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
877;turnstile;50;;0.9;0.9574468085106383;0.9;0.9278350515463918;45;2;5
466;bullet_train;50;;0.9;0.9574468085106383;0.9;0.9278350515463918;45;2;5
573;go-kart;50;;0.9;0.9574468085106383;0.9;0.9278350515463918;45;2;5
890;volleyball;50;;0.9;0.9574468085106383;0.9;0.9278350515463918;45;2;5
145;king_penguin;50;;0.88;0.9777777777777777;0.88;0.9263157894736842;44;1;6
447;binoculars;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
873;triumphal_arch;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
781;scoreboard;50;;0.9;0.9375;0.9;0.9183673469387755;45;3;5
400;academic_gown;50;;0.9;0.9375;0.9;0.9183673469387755;45;3;5
862;torch;50;;0.9;0.9375;0.9;0.9183673469387755;45;3;5
874;trolleybus;50;;0.84;1.0;0.84;0.9130434782608696;42;0;8
900;water_tower;50;;0.84;1.0;0.84;0.9130434782608696;42;0;8
957;pomegranate;50;;0.84;1.0;0.84;0.9130434782608696;42;0;8
532;dining_table;50;;0.88;0.9361702127659575;0.88;0.9072164948453608;44;3;6
